﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1c4OpZ2G1MEcEKSknUZjdD","Ceremony - Version 1; 2016 Remaster","New Order","Singles (2016 Remaster)","1","1","278760","spotify:user:padishahpiper","2018-02-10T15:44:56Z"
"spotify:track:1wAvaUHRV7ThdmEgBT3W2A","Everything's Gone Green - 7" Version; 2015 Remaster","New Order","Singles (2016 Remaster)","1","3","259293","spotify:user:padishahpiper","2018-02-10T15:50:15Z"
"spotify:track:2NphJ0mVP7y3qtLt5H5URY","Regret","New Order","Republic","1","1","249840","spotify:user:padishahpiper","2018-02-10T15:41:18Z"
"spotify:track:32TKQVwtSGCHIqmbmaNdFj","Dreams Never End - 2015 Remaster","New Order","Movement","1","1","195306","spotify:user:padishahpiper","2018-02-10T15:42:27Z"
"spotify:track:1gsQmDnyXfq6jPIXYCPKHB","Love Vigilantes - 2015 Remaster","New Order","Low-Life","1","1","259306","spotify:user:padishahpiper","2018-02-10T15:42:00Z"
"spotify:track:4oX5RBbeNrLsMVSWs1eO2E","Run - 2015 Remaster","New Order","Technique","1","6","271706","spotify:user:padishahpiper","2018-06-14T17:30:09Z"
"spotify:track:0yWcuH9q7tOvfMFzMAGGUT","Face Up - 2015 Remaster","New Order","Low-Life","1","8","307013","spotify:user:padishahpiper","2018-02-10T15:42:13Z"
"spotify:track:0YZ7Q5i99vt9OEF8AEEaBV","Getting Away with It","Electronic","Electronic","1","5","314600","spotify:user:padishahpiper","2018-02-10T22:32:56Z"
"spotify:track:4quX6Y6cvrP9hY4hiZBHiG","Transmission","Joy Division","TOTAL","1","1","218213","spotify:user:padishahpiper","2018-02-10T15:43:45Z"
"spotify:track:4N42ow0h4JoK68OQwOzsQn","Love Will Tear Us Apart","Joy Division","TOTAL","1","2","206226","spotify:user:padishahpiper","2018-02-10T15:43:29Z"
