﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5NIPsWpDjJTFBoPxCUUeXp","Welcome To The Jungle","Guns N' Roses","Appetite For Destruction","1","1","273600","spotify:user:padishahpiper","2018-06-11T00:07:23Z"
"spotify:track:0XIvZ82aDF7JiSi3ZE320u","Rock You Like A Hurricane","Scorpions","Love At First Sting","1","2","252493","spotify:user:padishahpiper","2018-06-11T00:07:30Z"
"spotify:track:7LRMbd3LEoV5wZJvXT1Lwb","T.N.T.","AC/DC","High Voltage","1","5","214666","spotify:user:padishahpiper","2018-06-11T00:07:36Z"
"spotify:track:5B6Z7NwVqA7W3UFiqBdEJC","Round and Round","Ratt","Out Of The Cellar","1","3","265893","spotify:user:padishahpiper","2018-06-11T00:07:43Z"
"spotify:track:18URo35acNKRTHfEdjTcGn","Photograph","Def Leppard","Pyromania","1","2","247962","spotify:user:padishahpiper","2018-06-11T00:11:25Z"
"spotify:track:0qgrrDnUUhyxpxbBznUnzg","18 and Life","Skid Row","Skid Row","1","5","229960","spotify:user:padishahpiper","2018-06-11T00:08:36Z"
"spotify:track:1Y373MqadDRtclJNdnUXVc","Paranoid - 2016 Remaster","Black Sabbath","Paranoid (2014 Remaster)","1","2","168405","spotify:user:padishahpiper","2018-06-11T00:08:42Z"
"spotify:track:4f3RDq9nYPBeR1yMSgnmBm","You've Got Another Thing Coming","Judas Priest","Screaming For Vengeance Special 30th Anniversary Edition","1","8","310080","spotify:user:padishahpiper","2018-06-11T00:09:05Z"
"spotify:track:3MXA2BkBk0lSuMpRoM7SK2","The Trooper - 1998 Remastered Version","Iron Maiden","Piece of Mind (1998 Remastered Version)","1","5","250946","spotify:user:padishahpiper","2018-06-11T16:47:10Z"
"spotify:track:08mG3Y1vljYA6bvDt4Wqkj","Back In Black","AC/DC","Back In Black","1","6","255493","spotify:user:padishahpiper","2018-06-11T16:47:40Z"
