﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:13CtMmnEyGZ15US2ZfW662","Pinion","Nine Inch Nails","Broken","1","1","63160","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:0XfNjyJcb7d2ZAscVM4K7J","Wish","Nine Inch Nails","Broken","1","2","226733","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:0vyoxWYsDYduwnYuiEHOZg","Last","Nine Inch Nails","Broken","1","3","284573","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:6yMnXeUm5aDfY7ZUOYn7XP","Help Me I Am In Hell","Nine Inch Nails","Broken","1","4","116200","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:7yBAC2USmpFf3Enqgx0uo7","Happiness In Slavery","Nine Inch Nails","Broken","1","5","321093","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:4xP6YtLiFJpRUrKwqDPXka","Gave Up","Nine Inch Nails","Broken","1","6","248573","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:6zhnqFMuQ8Q2GCY9X89KXb","Physical (You're So)","Nine Inch Nails","Broken","1","7","329866","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:4icLrbOnArwJwOp8QQW296","Suck","Nine Inch Nails","Broken","1","8","307866","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:14DGbWvaU7R21qFDnjzrbv","Gave Up - Remix","Nine Inch Nails, Danny Hyde, Coil","Fixed","1","1","322466","spotify:user:padishahpiper","2019-04-24T15:41:42Z"
"spotify:track:4OwKkFtE0JD9icsj6c6CqT","Wish - Remix","Nine Inch Nails, JG Thirlwell","Fixed","1","2","548000","spotify:user:padishahpiper","2019-04-24T15:41:42Z"
"spotify:track:0dxkPZCp5tPuVuO3EHmxdL","Happiness In Slavery - Remix","Nine Inch Nails, Trent Reznor, Chris Vrenna","Fixed","1","3","368800","spotify:user:padishahpiper","2019-04-24T15:41:42Z"
"spotify:track:1MR7kmieGk5hOd9gx4E2L2","Throw This Away","Nine Inch Nails, Trent Reznor, Chris Vrenna, Butch Vig","Fixed","1","4","254000","spotify:user:padishahpiper","2019-04-24T15:41:42Z"
"spotify:track:5UB6lwsK2YvZUs7idQyl2M","Fist F**k - Remix","Nine Inch Nails, JG Thirlwell","Fixed","1","5","439293","spotify:user:padishahpiper","2019-04-24T15:41:42Z"
"spotify:track:3mEYCimTWgN788S5AxlaMc","Screaming Slave","Nine Inch Nails, Trent Reznor, Chris Vrenna, Bill Kennedy, Sean Beavan, Martin Brumbach, Bob Flanagan","Fixed","1","6","480333","spotify:user:padishahpiper","2019-04-24T15:41:42Z"
