﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1c4OpZ2G1MEcEKSknUZjdD","Ceremony - Version 1; 2016 Remaster","New Order","Singles (2016 Remaster)","1","1","278760","spotify:user:padishahpiper","2019-03-15T03:02:29Z"
"spotify:track:58TSnL4BqEh8na5mXzPdjX","Goth Star","Pictureplane","Dark Rift","1","6","199000","spotify:user:padishahpiper","2019-03-14T16:08:34Z"
"spotify:track:65LHCsuVCdN0IUYHvC0Tz8","The Trees Grew Emotions and Died","Cold Cave","Love Comes Close","1","6","244933","spotify:user:padishahpiper","2019-03-14T16:02:17Z"
"spotify:track:1gb9zMcEcCx8A4uPUfzLY3","Alice Practice","Crystal Castles","Crystal Castles","1","2","161373","spotify:user:padishahpiper","2019-03-14T16:06:36Z"
"spotify:track:6JQFuxLwhvtHRmRMebgiLB","Silent Shout","The Knife","Silent Shout","1","1","293626","spotify:user:padishahpiper","2019-03-14T16:06:51Z"
"spotify:track:4CkgWaxHSASNWKF7waSYBR","I.C.D.K.","Cold Cave","Love Comes Close","1","9","229386","spotify:user:padishahpiper","2019-03-14T16:02:30Z"
"spotify:track:4E0GvuF0fAPAbAJ4EEEfnH","Destroy Everything You Touch","Ladytron","Witching Hour","1","2","276493","spotify:user:padishahpiper","2019-03-14T16:07:14Z"
"spotify:track:1r8oPEXqnhUVgkUkJNqEuF","Love Will Tear Us Apart - 2010 Remaster","Joy Division","Substance","1","10","204621","spotify:user:padishahpiper","2019-03-14T16:40:08Z"
"spotify:track:3vyKSb9sAdXl0kQ1KnS9fY","Emerge","Fischerspooner","#1","1","3","288306","spotify:user:padishahpiper","2019-04-30T17:08:09Z"
"spotify:track:1s6WVdrN6kz1ly1blsO4d3","Stay Ugly","Crim3s","Stay Ugly EP","1","4","149090","spotify:user:padishahpiper","2019-04-30T17:23:26Z"
"spotify:track:5kNbpvJ5b6R9Zqfm6c9sIX","Strict Machine","Goldfrapp","Black Cherry","1","8","231453","spotify:user:padishahpiper","2019-03-14T16:08:02Z"
"spotify:track:0WAL1ehQjmNQe6MrSHQ5Lo","Never Let Me Down Again - Aggro Mix","Depeche Mode","Never Let Me Down Again","1","5","297293","spotify:user:padishahpiper","2019-03-14T16:34:14Z"
"spotify:track:6E1YebXpPPtujMUljDNlOo","Kerosene","Crystal Castles","(III)","1","2","192000","spotify:user:padishahpiper","2019-04-30T16:45:08Z"
"spotify:track:0tN52AfL2DnP7L7P5ssJIf","Dominion / Mother Russia - New Version for Digital","Sisters of Mercy","Floodland Collection","1","1","420300","spotify:user:padishahpiper","2019-03-14T16:39:24Z"
"spotify:track:46Xnj8vZFwOZCE4aZNXlTf","Not In Love - Radio Version","Crystal Castles, Robert Smith","(II)","1","12","226986","spotify:user:padishahpiper","2019-03-14T16:00:51Z"
