﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7GFkI7nUBlLLEhhF9Uvxc9","PDA","Interpol","Turn On The Bright Lights","1","4","299773","spotify:user:padishahpiper","2019-08-30T15:55:22Z"
"spotify:track:3c6rSVShPJ1e3DYgrUnz2b","Slow Hands","Interpol","Antics","1","5","184133","spotify:user:padishahpiper","2019-08-30T15:55:46Z"
"spotify:track:1waaD2WH1qgcDPVJ3Txsqa","Not Even Jail","Interpol","Antics","1","6","346626","spotify:user:padishahpiper","2019-08-30T15:55:52Z"
"spotify:track:6ooluO7DiEhI1zmK94nRCM","Take Me Out","Franz Ferdinand","Franz Ferdinand","1","3","237026","spotify:user:padishahpiper","2019-08-30T15:56:29Z"
"spotify:track:7HQLKk3khzRVPSzOzRwFX6","I Was A Lover","TV On The Radio","Return To Cookie Mountain","1","1","261000","spotify:user:padishahpiper","2019-08-30T15:57:20Z"
"spotify:track:7FXOSpqXFms6JTeGfaRQua","The Skin of My Yellow Country Teeth","Clap Your Hands Say Yeah","Clap Your Hands Say Yeah","1","6","343773","spotify:user:padishahpiper","2019-08-30T15:58:06Z"
"spotify:track:5PurHGjwfAQel15O4ZIiGu","7/4 (Shoreline)","Broken Social Scene","Broken Social Scene","1","3","293840","spotify:user:padishahpiper","2019-08-30T15:58:38Z"
"spotify:track:508DaBmbskpmQoU11CWhQq","Fire Eye'd Boy","Broken Social Scene","Broken Social Scene","1","6","238920","spotify:user:padishahpiper","2019-08-30T15:58:48Z"
"spotify:track:4wNKEUTSUjX7QOmeV9BP5R","KC Accidental","Broken Social Scene","You Forgot It In People","1","2","230773","spotify:user:padishahpiper","2019-08-30T15:59:15Z"
"spotify:track:2VGDntFPvgvqSiUf9ITEfW","Someone Great","LCD Soundsystem","Sound of Silver","1","4","390013","spotify:user:padishahpiper","2019-08-30T16:00:05Z"
"spotify:track:2Ud3deeqLAG988pfW0Kwcl","All My Friends","LCD Soundsystem","Sound of Silver","1","5","462266","spotify:user:padishahpiper","2019-08-30T16:00:11Z"
"spotify:track:0iHZnbbFHDO9MzHWlJI0Hb","Romantic Rights","Death From Above 1979","You're A Woman, I'm A Machine","1","2","195106","spotify:user:padishahpiper","2019-08-30T16:00:30Z"
"spotify:track:2gE0khQ948RYQOeTgCUL2a","My Girls","Animal Collective","Merriweather Post Pavilion","1","2","340786","spotify:user:padishahpiper","2019-08-30T16:00:42Z"
"spotify:track:5CoF26ZbRlrwRuNf3XuOYY","A Final Warning","Caribou","The Milk of Human Kindness","1","3","435373","spotify:user:padishahpiper","2019-08-30T16:02:53Z"
"spotify:track:0hZS5wwoAata1MzZj8M9uI","Nothing Better","The Postal Service","Give Up","1","4","226613","spotify:user:padishahpiper","2019-08-30T16:05:42Z"
"spotify:track:0okDcoHZd9smhMxEwGi4lZ","Shine A Light","Wolf Parade","Apologies To The Queen Mary","1","7","227360","spotify:user:padishahpiper","2019-08-30T16:17:43Z"
"spotify:track:76mGXJsbIO52vcAA8LLcOd","Drive on, Driver","The Magnetic Fields","Distortion","1","7","169666","spotify:user:padishahpiper","2019-08-30T16:20:32Z"
"spotify:track:5773KSWFzg9kCc8yazjbSt","Deceptacon","Le Tigre","Le Tigre","1","1","184626","spotify:user:padishahpiper","2019-08-30T16:21:11Z"
"spotify:track:4iG2gAwKXsOcijVaVXzRPW","Time to Pretend","MGMT","Oracular Spectacular","1","1","261000","spotify:user:padishahpiper","2019-08-30T16:25:45Z"
"spotify:track:3FM33HqRlV7J1QJoPOnd2u","1901","Phoenix","Wolfgang Amadeus Phoenix","1","2","193106","spotify:user:padishahpiper","2019-08-30T16:26:22Z"
"spotify:track:3kb38wezoUA8ki5jPYy3t5","Little Secrets","Passion Pit","Manners","1","2","238973","spotify:user:padishahpiper","2019-08-30T16:26:41Z"
"spotify:track:1WETgXqmJ2NaziQhtav0pK","Moth's Wings","Passion Pit","Manners","1","3","256320","spotify:user:padishahpiper","2019-08-30T16:26:45Z"
"spotify:track:4prEPl61C8qZpeo3IkYSMl","Sleepyhead","Passion Pit","Manners","1","9","174760","spotify:user:padishahpiper","2019-08-30T16:26:54Z"
"spotify:track:6vSq5q5DCs1IvwKIq53hj2","Animal","Miike Snow","Miike Snow","1","1","263426","spotify:user:padishahpiper","2019-08-30T16:27:17Z"
"spotify:track:2Ml0l8YWJLQhPrRDLpQaDM","Oxford Comma","Vampire Weekend","Vampire Weekend","1","2","195733","spotify:user:padishahpiper","2019-08-30T16:27:49Z"
"spotify:track:24Dr7i66mAru2lUDaAE6xu","Tell 'Em","Sleigh Bells","Treats","1","1","176426","spotify:user:padishahpiper","2019-08-30T16:28:23Z"
