﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1gsQmDnyXfq6jPIXYCPKHB","Love Vigilantes - 2015 Remaster","New Order","Low-Life","1","1","259306","spotify:user:padishahpiper","2019-03-05T20:13:59Z"
"spotify:track:5JH3r4gIvBbyPSGiXlN0dL","No. One","Ms. John Soda","Notes And The Like","1","5","300440","spotify:user:padishahpiper","2019-03-05T20:14:29Z"
"spotify:track:58TSnL4BqEh8na5mXzPdjX","Goth Star","Pictureplane","Dark Rift","1","6","199000","spotify:user:padishahpiper","2019-03-05T20:14:46Z"
"spotify:track:6omXPpAJH4ap2jMGPqjv0C","Disco Infiltrator","LCD Soundsystem","LCD Soundsystem","1","8","296026","spotify:user:padishahpiper","2019-03-05T20:15:34Z"
"spotify:track:64FQId1zlu45pAoH4gXvAu","Dreambender","Com Truise","In Decay","1","3","260000","spotify:user:padishahpiper","2019-03-05T20:16:10Z"
"spotify:track:6JQFuxLwhvtHRmRMebgiLB","Silent Shout","The Knife","Silent Shout","1","1","293626","spotify:user:padishahpiper","2019-03-05T20:16:42Z"
"spotify:track:5QmolkpuE6IfPdr7j2MGn5","Celestica","Crystal Castles","(II)","1","2","228400","spotify:user:padishahpiper","2019-03-05T20:17:18Z"
"spotify:track:2WKUlNDPcUrsF2VT123EkL","A Final Warning","Caribou","The Milk of Human Kindness","1","3","435373","spotify:user:padishahpiper","2019-03-05T22:36:38Z"
"spotify:track:5C6BbrGRGOzcadaqXwLhm5","We Work Nights","Gold Panda","Half Of Where You Live","1","7","357773","spotify:user:padishahpiper","2019-03-05T22:37:57Z"
"spotify:track:3FUq5TseOjqUU4RXbO2y66","In The Morning","Junior Boys","So This Is Goodbye","1","5","286093","spotify:user:padishahpiper","2019-03-05T22:38:15Z"
"spotify:track:6OI4SUhPhLFQva56RiB1oM","Scan The Ways","Ms. John Soda","Notes And The Like","1","3","203800","spotify:user:padishahpiper","2019-03-05T22:38:56Z"
"spotify:track:7xqeIdLJSf3bgmZ7vUvHrE","Idioteque","Radiohead","Kid A","1","8","309093","spotify:user:padishahpiper","2019-03-05T22:39:32Z"
"spotify:track:10jr2L2ZkbdwtT9KvG7Jp5","Alfa Beach","Com Truise","In Decay","1","6","256000","spotify:user:padishahpiper","2019-03-05T22:39:54Z"
"spotify:track:1wAIZpqZrngqAjQ00d8SWn","My Radio","Solvent","Apples & Synthesizers","1","3","274426","spotify:user:padishahpiper","2019-03-05T22:40:17Z"
"spotify:track:3T0pP3P2klg5NMjlV9FTgP","Pearl’s Girl - Remastered","Underworld","Second Toughest In The Infants (Remastered)","1","5","577053","spotify:user:padishahpiper","2019-03-05T22:41:37Z"
"spotify:track:46Xnj8vZFwOZCE4aZNXlTf","Not In Love - Radio Version","Crystal Castles, Robert Smith","(II)","1","12","226986","spotify:user:padishahpiper","2019-03-08T18:41:01Z"
"spotify:track:2VGDntFPvgvqSiUf9ITEfW","Someone Great","LCD Soundsystem","Sound of Silver","1","4","390013","spotify:user:padishahpiper","2020-03-30T20:05:49Z"
