﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3kKVqFF4pv4EXeQe428zl2","Protection","Massive Attack, Tracey Thorn","Protection","1","1","471560","spotify:user:padishahpiper","2020-04-07T16:16:22Z"
"spotify:track:68oUQRwGJGExtkpaSvSbgb","Glory Box","Portishead","Dummy (Non UK Version)","1","11","305560","spotify:user:padishahpiper","2020-04-07T16:15:06Z"
"spotify:track:3USAAb0W0n99SOensmme2D","Ponderosa","Tricky","Maxinquaye","1","2","210533","spotify:user:padishahpiper","2020-04-07T16:21:26Z"
"spotify:track:7KvSuH86lIT2aTl9PBCAfd","6 Underground","Sneaker Pimps","Becoming X","1","3","228840","spotify:user:padishahpiper","2020-04-07T16:19:17Z"
"spotify:track:0uKrhHBDUQ4w5fv4qwOubP","Breathe","Télépopmusik, Angela McCluskey","Genetic World","1","1","282240","spotify:user:padishahpiper","2020-04-09T16:35:39Z"
"spotify:track:67Hna13dNDkZvBpTXRIaOJ","Teardrop","Massive Attack","Mezzanine","1","3","330773","spotify:user:padishahpiper","2020-04-07T16:15:24Z"
"spotify:track:413DSZdM15Uz3oHHLycuKK","Christiansands","Tricky","Pre Millennium Tension","1","2","232160","spotify:user:padishahpiper","2020-04-07T16:21:18Z"
"spotify:track:1iMiDCOk9e2yxwaM38Z346","Radiation Ruling The Nation (Protection)","Massive Attack Vs. Mad Professor","No Protection","1","1","515106","spotify:user:padishahpiper","2020-04-07T16:24:49Z"
"spotify:track:74LWS5C11wy23kIKKaM3t4","She Cries Your Name - 2008 Remastered Version","Beth Orton, Victor Van Vught","Trailer Park","1","1","287626","spotify:user:padishahpiper","2020-04-08T22:01:17Z"
"spotify:track:66KcXPDs1hr8T06KvlJCeA","Lebanese Blonde","Thievery Corporation","The Mirror Conspiracy","1","4","288826","spotify:user:padishahpiper","2020-04-08T16:29:49Z"
"spotify:track:4f3hGEjA7BnujnDYz7gHZ6","Trigger Hippie","Morcheeba","Who Can You Trust? / Beats & B-Sides","1","2","332370","spotify:user:padishahpiper","2020-04-08T22:05:09Z"
"spotify:track:1kNibs3jSckF6fLen9dWzu","Believe","GusGus","Polydistortion","1","3","438173","spotify:user:padishahpiper","2020-04-08T16:59:04Z"
"spotify:track:1pBGC12f7GFdbyyEy8KwtJ","Press Pause","Pretty Lights","A Color Map of the Sun (Deluxe Version)","1","2","289287","spotify:user:padishahpiper","2020-04-08T16:52:40Z"
"spotify:track:7IuxuJBP6kwOOu1ShFzmR1","Insomniac Olympics","Blockhead","Music By Cavelight","1","1","306586","spotify:user:padishahpiper","2020-04-08T17:28:42Z"
"spotify:track:5IapIlqooJJ0CmJmrEY8Ir","Sweet Tides","Thievery Corporation","Radio Retaliation","1","15","288933","spotify:user:padishahpiper","2020-04-08T16:36:16Z"
"spotify:track:1z6zJqayfsAiiYtQ3minb7","Midnight In A Perfect World","DJ Shadow","Endtroducing.....","1","13","298373","spotify:user:padishahpiper","2020-04-09T16:42:10Z"
"spotify:track:6dgFhHtleZmYABhqiX8MKV","Alive Alone","The Chemical Brothers","Exit Planet Dust","1","11","316200","spotify:user:padishahpiper","2020-04-07T16:17:06Z"
