﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4m3OS54KWywYhP7WD7z1cg","Life in a Northern Town","The Dream Academy","The Dream Academy","1","1","259293","spotify:user:padishahpiper","2019-10-19T01:20:17Z"
"spotify:track:1RCtHLyq1xIbgGMrYRrKJ2","Under the Milky Way","The Church","Starfish","1","2","297600","spotify:user:padishahpiper","2019-10-19T01:22:57Z"
"spotify:track:7zSAI7Ae6DPVepN8MksKVZ","Space Age Love Song","A Flock Of Seagulls","We Are The '80s","1","2","226693","spotify:user:padishahpiper","2019-10-19T01:23:34Z"
"spotify:track:0ZYf6N5eBeXStMri0mf3DZ","Voices Carry","'Til Tuesday","Voices Carry (Expanded Edition)","1","5","263573","spotify:user:padishahpiper","2019-10-19T01:23:36Z"
"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Everybody Wants To Rule The World","Tears For Fears","Songs From The Big Chair (Super Deluxe Edition)","1","3","251488","spotify:user:padishahpiper","2019-10-19T01:23:39Z"
"spotify:track:4aWn4NHlELpOehxsBaQeoe","Don't You (Forget About Me)","Simple Minds","Once Upon A Time (Deluxe)","2","1","263040","spotify:user:padishahpiper","2019-10-19T01:23:42Z"
"spotify:track:3Oa8vnNXStoOHLbJwwMEDP","Lips Like Sugar","Echo & the Bunnymen","Echo & the Bunnymen","1","6","291866","spotify:user:padishahpiper","2019-10-19T01:23:57Z"
"spotify:track:1YrnDTqvcnUKxAIeXyaEmU","How Soon Is Now? - 2011 Remaster","The Smiths","Hatful of Hollow","1","5","408173","spotify:user:padishahpiper","2019-10-19T01:24:02Z"
"spotify:track:5lwQGZYF4BXOzFtXc5zk8q","Head Over Heels - Dave Bascombe 7" N.Mix","Tears For Fears, Dave Bascombe","Songs From The Big Chair (Deluxe)","2","5","257315","spotify:user:padishahpiper","2019-10-19T01:24:07Z"
"spotify:track:4ijNab1GM0JSZoe0I2KCOd","Cuts You Up","Peter Murphy","Deep","1","7","327133","spotify:user:padishahpiper","2019-10-19T01:24:11Z"
"spotify:track:1tAFvq63jO3n9WaDCZPJNh","In A Big Country","Big Country","The Crossing","1","1","284066","spotify:user:padishahpiper","2019-10-19T01:24:24Z"
"spotify:track:2gQaQUhDCNGfBVXTvxAmXQ","Shout","Tears For Fears","Songs From The Big Chair","1","1","393666","spotify:user:padishahpiper","2019-10-19T01:24:32Z"
"spotify:track:3ZXcjz3A5vNsR5dA1e6ITl","Always Something There to Remind Me - 2018 Remaster","Naked Eyes","Naked Eyes (2018 Remaster)","1","1","219373","spotify:user:padishahpiper","2019-10-19T01:24:39Z"
"spotify:track:6HZ67VImxqr8aMBEEhblzf","Cars","Gary Numan","The Pleasure Principle","1","9","238906","spotify:user:padishahpiper","2019-10-19T01:24:44Z"
"spotify:track:7FlwylpJSe3ea6m1IrkizS","West End Girls - 2001 Remaster","Pet Shop Boys","Please: Further Listening 1984-1986","1","2","245360","spotify:user:padishahpiper","2019-10-19T01:24:53Z"
"spotify:track:3L7RtEcu1Hw3OXrpnthngx","Don't You Want Me","The Human League","Dare!","1","10","236920","spotify:user:padishahpiper","2019-10-19T01:24:57Z"
"spotify:track:0pUVeEgZuNyFzIMKp67RbS","Eyes Without A Face","Billy Idol","Rebel Yell","1","3","299240","spotify:user:padishahpiper","2019-10-19T01:25:03Z"
"spotify:track:5B37ocpk2zxeZL1lq5F6ui","One Thing Leads To Another","The Fixx","Reach The Beach","1","1","199826","spotify:user:padishahpiper","2019-10-19T01:25:11Z"
"spotify:track:3OM0cHwmJv6ZpsCgrEzXPh","Dance Hall Days","Wang Chung","Points On The Curve","1","1","240800","spotify:user:padishahpiper","2019-10-19T01:25:16Z"
"spotify:track:3N7GqZMpZJW69Te1bfUTc3","Obsession","Animotion","Obsession: The Best Of Animotion","1","1","337266","spotify:user:padishahpiper","2019-10-19T01:25:36Z"
"spotify:track:6WEBIVqiEsevfgJefTyuQQ","Too Shy","Kajagoogoo","White Feathers","1","2","222320","spotify:user:padishahpiper","2019-10-19T01:25:40Z"
"spotify:track:43eBgYRTmu5BJnCJDBU5Hb","Rio - 2009 Remaster","Duran Duran","Rio (Collector's Edition)","1","1","337333","spotify:user:padishahpiper","2019-10-19T01:25:50Z"
"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","Take on Me","a-ha","Hunting High and Low","1","1","225280","spotify:user:padishahpiper","2019-10-19T01:25:53Z"
"spotify:track:39lSeqnyjZJejRuaREfyLL","Hungry Like the Wolf - 2009 Remaster","Duran Duran","Rio (Collector's Edition)","1","4","220626","spotify:user:padishahpiper","2019-10-19T01:25:57Z"
"spotify:track:78RIER8V6EhrqVPOBi2GYa","Here Comes the Rain Again - Remastered Version","Eurythmics, Annie Lennox, Dave Stewart","Touch (Reissue - Deluxe Edition)","1","1","294586","spotify:user:padishahpiper","2019-10-19T01:26:05Z"
