﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3jOe76pBf4aoLVSvggBjFJ","A Telegram From The Future","The Russian Futurists","Let's Get Ready To Crumble","1","5","225200","spotify:user:padishahpiper","2019-08-30T17:10:39Z"
"spotify:track:4y7VfYUU5OW8Q2VAQMPgr4","Teen Angst","M83","Before The Dawn Heals Us","1","8","302800","spotify:user:padishahpiper","2019-08-30T16:53:07Z"
"spotify:track:1VTbTYOOhkD7ZpdI39sgV0","Bboy","The Hidden Cameras","Mississauga Goddam","1","8","162426","spotify:user:padishahpiper","2019-08-30T16:51:18Z"
"spotify:track:1mS5iPeIAMITH5U1kcB4MO","Staring at the Sun","TV On The Radio","Desperate Youth, Blood Thirsty Babes","1","2","206986","spotify:user:padishahpiper","2019-09-01T20:33:53Z"
"spotify:track:1CQJ9u2ktQMQILsvB7b6NQ","Red, White & Blonde","Subtle","A New White","1","4","198240","spotify:user:padishahpiper","2019-08-30T17:06:12Z"
"spotify:track:3DM7oKzStq9uA4M2RTsKpj","Salvador Sanchez","Sun Kil Moon","Ghosts of the Great Highway","1","3","389613","spotify:user:padishahpiper","2020-02-05T22:32:35Z"
"spotify:track:1GpayphhLDg9GCsBR48axO","*","M83","Before The Dawn Heals Us","1","6","162800","spotify:user:padishahpiper","2019-08-30T16:53:00Z"
"spotify:track:1kAZE1Wtwg8sd7lCyLUweb","Neighborhood #3 (Power Out)","Arcade Fire","Funeral","1","4","312906","spotify:user:padishahpiper","2019-09-01T20:07:43Z"
"spotify:track:77SPrxY5gn6VPrKPGrfLnM","There, There","Radiohead","Hail To the Thief","1","9","323600","spotify:user:padishahpiper","2019-09-01T20:00:20Z"
"spotify:track:4EwNG7uCvLEm5a6KgerCHf","Maps","Yeah Yeah Yeahs","Fever To Tell (Explicit Version)","1","9","219760","spotify:user:padishahpiper","2019-09-01T20:14:02Z"
"spotify:track:11wqRDtNPUa3NMiTttDbU7","Mr. Brightside","The Killers","Hot Fuss (France)","1","2","222973","spotify:user:padishahpiper","2019-09-01T20:18:49Z"
"spotify:track:0ct4ws55SFBY6BcrEfTdz4","Formed a Band","Art Brut","Top Of The Pops","1","1","180693","spotify:user:padishahpiper","2019-09-01T20:27:56Z"
"spotify:track:1YdxzPXgwh7i4bz1ho6cud","I Luv the Valley OH!","Xiu Xiu","Fabulous Muscles","1","2","179133","spotify:user:padishahpiper","2019-09-01T20:15:59Z"
"spotify:track:5Y8sPOwWupGEGM7ifBDR7F","Run Into Flowers","M83","Dead Cities, Red Seas & Lost Ghosts","1","3","249426","spotify:user:padishahpiper","2019-08-30T16:53:18Z"
"spotify:track:2AV7dRxahH7vF4Fsk9hreo","What Are You To Me?","UNKLE","Never, Never, Land","1","6","412800","spotify:user:padishahpiper","2019-08-30T17:07:33Z"
