﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5NIPsWpDjJTFBoPxCUUeXp","Welcome To The Jungle","Guns N' Roses","Appetite For Destruction","1","1","273600","spotify:user:padishahpiper","2018-01-05T17:57:39Z"
"spotify:track:0XIvZ82aDF7JiSi3ZE320u","Rock You Like A Hurricane","Scorpions","Love At First Sting","1","2","252493","spotify:user:padishahpiper","2018-01-05T17:21:50Z"
"spotify:track:7LRMbd3LEoV5wZJvXT1Lwb","T.N.T.","AC/DC","High Voltage","1","5","214666","spotify:user:padishahpiper","2018-01-05T17:13:12Z"
"spotify:track:1j06ieEC2BOCM0fTmYhn2l","Alone Again","Dokken","Tooth And Nail","1","9","262200","spotify:user:padishahpiper","2018-01-05T17:10:39Z"
"spotify:track:5B6Z7NwVqA7W3UFiqBdEJC","Round and Round","Ratt","Out Of The Cellar","1","3","265893","spotify:user:padishahpiper","2018-01-05T17:11:48Z"
"spotify:track:3MT0uaKFJ259NrGDib8EO5","Photograph","Def Leppard","Viva! Hysteria (Original Soundtrack)","1","14","373653","spotify:user:padishahpiper","2018-01-05T17:41:57Z"
"spotify:track:0qgrrDnUUhyxpxbBznUnzg","18 and Life","Skid Row","Skid Row","1","5","229960","spotify:user:padishahpiper","2018-01-05T17:21:47Z"
"spotify:track:1Y373MqadDRtclJNdnUXVc","Paranoid - 2016 Remaster","Black Sabbath","Paranoid (2014 Remaster)","1","2","168405","spotify:user:padishahpiper","2018-01-08T19:23:41Z"
"spotify:track:2PpNgmrS9mAyrkRAwn6YPq","Rainbow in the Dark","Dio","Holy Diver","1","8","256933","spotify:user:padishahpiper","2018-01-05T17:11:05Z"
"spotify:track:4f3RDq9nYPBeR1yMSgnmBm","You've Got Another Thing Coming","Judas Priest","Screaming For Vengeance Special 30th Anniversary Edition","1","8","310080","spotify:user:padishahpiper","2018-01-05T17:58:13Z"
"spotify:track:0OsPUcSeoqnalP2GIsCwgI","Wasted Years - 1998 Remaster","Iron Maiden","Somewhere Back in Time (The Best of 1980 - 1989)","1","5","306160","spotify:user:padishahpiper","2018-01-05T18:01:06Z"
"spotify:track:10HlI5OL8VIdMh2CaymhbD","One (Remastered)","Metallica","...And Justice For All","1","4","447440","spotify:user:padishahpiper","2018-01-05T17:17:25Z"
