﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5Xm6mv7AwiWssTaG6FMX6M","III (feat. Lotte Kestner)","Blue Sky Black Death","Glaciers","1","3","806613","spotify:user:padishahpiper","2018-06-25T21:47:26Z"
"spotify:track:6SUmTySwk1PSvZisANfr78","Haze","AES DANA","Memory Shell","1","6","446757","spotify:user:padishahpiper","2018-06-25T21:48:47Z"
"spotify:track:1FjPdZtodJFUZJfWTeeIMx","Elixir","Sorrow","Dreamstone","1","1","286666","spotify:user:padishahpiper","2018-06-25T21:49:20Z"
"spotify:track:4SIShpnsc4IJRgwXhPxKEp","Window Seat","ID3, Soundmouse","Window Seat - EP","1","3","354206","spotify:user:padishahpiper","2018-06-25T21:49:50Z"
"spotify:track:1wLvKHWG0spGUz4ac28dCE","Beside Me","Sun Glitters","Everything Could Be Fine","1","1","189714","spotify:user:padishahpiper","2018-06-25T21:50:24Z"
"spotify:track:36tGMdG9ycbDfTa2w5I8Vh","As Long as I Can Hold My Breath","Harold Budd","Avalon Sutra","1","14","225080","spotify:user:padishahpiper","2018-06-25T21:51:14Z"
"spotify:track:15j4iuXi1OZfSBKmaVTeN7","If Rah","Underworld","Barbara Barbara, we face a shining future","1","2","432933","spotify:user:padishahpiper","2018-06-25T21:51:42Z"
"spotify:track:1Nk1awPkxV6x1r9ZKH6gej","Asleep","Rumpistol","Away","1","5","373073","spotify:user:padishahpiper","2018-06-25T21:52:19Z"
"spotify:track:1ZOO1cMEMpNuDQbMSjxHec","Colour Show","Ambassadeurs","Trouble","1","3","302707","spotify:user:padishahpiper","2018-06-25T21:52:51Z"
"spotify:track:3bT4VIeqQHDEEMg609pwH6","Conflict","Different Sleep","Conflict EP","1","1","225000","spotify:user:padishahpiper","2018-06-25T21:53:43Z"
"spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE","Aquarium","Nosaj Thing","Views/Octopus EP","1","4","184000","spotify:user:padishahpiper","2018-06-25T21:54:00Z"
"spotify:track:6PB1ccffcxDUvsJtViNEdo","Thrown","Kiasmos","Kiasmos","1","5","539229","spotify:user:padishahpiper","2018-06-25T21:54:20Z"
"spotify:track:2lJ4d8MCT6ZlDRHKJ1br14","Cirrus","Bonobo","The North Borders","1","3","352246","spotify:user:padishahpiper","2018-06-25T21:59:49Z"
"spotify:track:0BSJ1iQEmGibLCPMHGtdo7","Lost In Thought","Jon Hopkins","Opalescent","1","5","376733","spotify:user:padishahpiper","2018-06-25T22:00:46Z"
"spotify:track:0wxyf5n7T4V5MgoPkZd2gE","Lucid","Ambassadeurs","Trouble","1","6","233478","spotify:user:padishahpiper","2018-06-25T21:55:01Z"
"spotify:track:1gkBTMlj2yzRcjfBuYWhxH","Special Place - Ruxpin Remix","Muted","Special Place","1","2","234049","spotify:user:padishahpiper","2018-06-25T21:56:41Z"
"spotify:track:3YUMeRQhNOhcT729kLuCrA","Auto Pilot - Deru Remix","Lusine, Deru","Podgelism","1","6","369777","spotify:user:padishahpiper","2018-06-25T21:57:29Z"
"spotify:track:7HUi3HxJ6VQ17HjGSGrrmR","Departure - Original Mix","Love Echo","I Promise You Always The Sky","1","1","271615","spotify:user:padishahpiper","2018-06-25T21:57:53Z"
"spotify:track:5PetE0A5i68TwlHsya4hoP","Shine","Ulrich Schnauss","Goodbye","1","2","349026","spotify:user:padishahpiper","2018-06-25T21:58:26Z"
"spotify:track:4SzeQVgNjow4JdsrXMBzwU","Nebula","Mr FijiWiji, Soulero","Friends EP","1","2","324853","spotify:user:padishahpiper","2018-06-25T21:59:20Z"
