﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4YEKwC3ipNg9LdR02OL8h2","Nothing It Can","Helios","Moiety","1","1","287520","spotify:user:padishahpiper","2018-12-29T02:50:54Z"
"spotify:track:1EKk6Xvei9N9scaQcrax2S","The World Is Our ___","This Will Destroy You","Young Mountain","1","2","432306","spotify:user:padishahpiper","2018-12-05T20:32:54Z"
"spotify:track:6A50E3zELBlo0491Hv4oZa","Snow And Lights - Remastered","Explosions In The Sky","How Strange, Innocence (Anniversary Edition)","1","2","497794","spotify:user:padishahpiper","2018-12-05T19:26:23Z"
"spotify:track:7IJsXawsFrWU7KC4Kr7lQy","Darker","Doves","Lost Sides","1","2","351653","spotify:user:padishahpiper","2018-12-05T19:15:30Z"
"spotify:track:2ZIaH69kaz55RM4Pjx6KXl","Two Thousand and Seventeen","Four Tet","New Energy","1","2","252255","spotify:user:padishahpiper","2018-11-27T17:26:52Z"
"spotify:track:1sotD6Cn8aOtUsL0bd5HTJ","Never Mess With Sunday","Yppah","Ninja Tune XX (Volume 2)","1","6","196000","spotify:user:padishahpiper","2018-10-30T22:23:22Z"
"spotify:track:6pxWghcPKRSjZPj8Ba9vpB","Satellite Anthem Icarus","Boards of Canada","The Campfire Headphase","1","3","364533","spotify:user:padishahpiper","2018-10-30T22:20:11Z"
"spotify:track:0dE9ro91KUtV5Xi7bDPy6b","Coastal Brake","Tycho","Dive","1","5","334129","spotify:user:padishahpiper","2018-10-23T18:21:10Z"
"spotify:track:3CwK0oEtu9bCl0R5nuMzjx","Cyanide Sisters","Com Truise","Cyanide Sisters EP","1","1","183609","spotify:user:padishahpiper","2018-10-23T18:02:46Z"
"spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE","Aquarium","Nosaj Thing","Views/Octopus EP","1","4","184000","spotify:user:padishahpiper","2018-10-23T17:53:35Z"
"spotify:track:5eS6dUL1WjRbAwZqvEBA0H","Ramblin' Man","Lemon Jelly","Lost Horizons","1","3","426173","spotify:user:padishahpiper","2018-10-23T17:52:29Z"
"spotify:track:1WOxGNutRwrbik8BA5f2AY","Immunity","Jon Hopkins","Immunity","1","8","596773","spotify:user:padishahpiper","2018-10-23T17:18:12Z"
"spotify:track:57iDDD9N9tTWe75x6qhStw","Bitter Sweet Symphony","The Verve","Urban Hymns (Remastered 2016)","1","1","357266","spotify:user:padishahpiper","2018-09-11T03:59:16Z"
"spotify:track:0iTpQYzJnYgh7kIxyq8A2O","Two Weeks","Grizzly Bear","Veckatimest","1","2","243160","spotify:user:padishahpiper","2018-09-11T03:50:25Z"
"spotify:track:4YFcGTdgmEuw8xTO4XrxbB","Zero - Remastered 2012","The Smashing Pumpkins","Mellon Collie And The Infinite Sadness (Deluxe Edition)","1","4","160173","spotify:user:padishahpiper","2018-09-11T03:16:33Z"
"spotify:track:5ccbNdMFwRPtzzOkAflQ9Q","Low Tide","ISIS, Aereogramme","In The Fishtank 14","1","1","569000","spotify:user:padishahpiper","2018-07-26T22:05:29Z"
"spotify:track:7rbllPSJ7BI3EG6FqxKvgj","Flugufrelsarinn","Sigur Rós","Ágætis Byrjun","1","4","468506","spotify:user:padishahpiper","2018-07-26T18:02:36Z"
"spotify:track:5154t1ROIfmVpNkIshh7Co","Crazy for You","Slowdive","Pygmalion","1","2","359120","spotify:user:padishahpiper","2018-07-26T17:41:00Z"
"spotify:track:5xh3n7IBWhrn8jhuw3wA8a","Lit","Kiasmos","Kiasmos","1","1","384763","spotify:user:padishahpiper","2018-07-13T15:48:04Z"
