﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1LwP9g1Hjbs64jXM2Qsxry","Just Like Honey","The Jesus and Mary Chain","Psychocandy (Expanded Version)","1","1","182493","spotify:user:padishahpiper","2018-08-24T03:24:47Z"
"spotify:track:58AWfmYbSeMywgJtXkey7Q","Vapour Trail - 2001 Remaster","Ride","Nowhere (Expanded)","1","8","257666","spotify:user:padishahpiper","2018-08-24T03:02:55Z"
"spotify:track:338gPBomyqx33wfeF1AGOd","Girlfriend","Matthew Sweet","Girlfriend (Legacy Edition)","1","3","220000","spotify:user:padishahpiper","2018-08-24T03:36:58Z"
"spotify:track:3vNzDPSTgUr1d812rkaCvU","Breadcrumb Trail","Slint","Spiderland","1","1","355533","spotify:user:padishahpiper","2018-08-24T02:53:42Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","My Bloody Valentine","Loveless","1","1","257519","spotify:user:padishahpiper","2018-08-24T02:59:38Z"
"spotify:track:2RG3KoPJ4OUk9wR3rNsojK","Belong","R.E.M.","Out Of Time (25th Anniversary Edition)","1","7","246546","spotify:user:padishahpiper","2018-08-24T03:54:55Z"
"spotify:track:0jmyo9QOmFbjDCYpNaPDhy","Black Metallic","Catherine Wheel","Ferment","1","3","438906","spotify:user:padishahpiper","2018-08-24T03:25:22Z"
"spotify:track:41TVMXb9THdtTlo2KojUDe","Somebody to Shove","Soul Asylum","Grave Dancers Union","1","1","194733","spotify:user:padishahpiper","2018-08-24T03:11:20Z"
"spotify:track:3z5ggGtcs4t8pizW521gW9","Pretend We're Dead","L7","Bricks Are Heavy","1","3","235093","spotify:user:padishahpiper","2018-08-24T03:33:39Z"
"spotify:track:7yThIhNzpgDBIGoL2y1y6u","Start Choppin'","Dinosaur Jr.","Where You Been","1","2","340186","spotify:user:padishahpiper","2018-08-24T03:27:19Z"
"spotify:track:6YIggUJW3ttAAPRdnki8RM","Disarm - Remastered","The Smashing Pumpkins","Siamese Dream (Deluxe Edition)","1","6","196905","spotify:user:padishahpiper","2018-08-24T02:49:59Z"
"spotify:track:3L19vBWH4jTHNXbuBaHbUN","Feed the Tree","Belly","Star","1","9","209000","spotify:user:padishahpiper","2018-08-24T03:33:20Z"
