﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0xUzr3YfnBzdZa21UNDojX","Alex Chilton","The Replacements","Pleased to Meet Me","1","2","195706","spotify:user:padishahpiper","2018-11-16T17:52:43Z"
"spotify:track:6bHdc4wvRGaNWnFga18dB5","It's Not Peculiar","Hüsker Dü","Warehouse: Songs And Stories","1","14","249706","spotify:user:padishahpiper","2018-11-16T18:12:11Z"
"spotify:track:0oYVSTay1EyC1JrYUgIruz","Stevie Nix","The Hold Steady","Separation Sunday (Deluxe Version)","1","6","325600","spotify:user:padishahpiper","2018-11-16T18:08:35Z"
"spotify:track:1A5V1sxyCLpKJezp75tUXn","Closing Time","Semisonic","20th Century Masters: The Millennium Collection: Best Of Semisonic","1","1","274160","spotify:user:padishahpiper","2018-11-16T18:29:04Z"
"spotify:track:7LdKMBKthcdBnAqlAIGqCB","See A Little Light","Bob Mould","Workbook","1","4","212066","spotify:user:padishahpiper","2018-11-16T18:44:21Z"
"spotify:track:5lPXKmlRLwpO3OxmYnof8c","Visionary","Hüsker Dü","Warehouse: Songs And Stories","1","10","152573","spotify:user:padishahpiper","2018-11-16T18:11:55Z"
"spotify:track:41TVMXb9THdtTlo2KojUDe","Somebody to Shove","Soul Asylum","Grave Dancers Union","1","1","194733","spotify:user:padishahpiper","2018-11-16T18:12:46Z"
"spotify:track:5Yhtl4uzxrAigO0IbiaEmz","Can't Hardly Wait","The Replacements","Pleased to Meet Me","1","11","183226","spotify:user:padishahpiper","2018-11-16T17:52:54Z"
"spotify:track:6eAgYOkZry9MLhWOS6BsQb","Turtledove","Trip Shakespeare","Across The Universe","1","1","216533","spotify:user:padishahpiper","2018-11-16T18:34:49Z"
"spotify:track:4o1zi6PeR3Nf54oW37cwL0","Broadway (So Many People)","Low","The Great Destroyer","1","10","434306","spotify:user:padishahpiper","2018-11-16T18:35:42Z"
