﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:71OeleUvvObLd3jnN8DhwU","Headhunter V1.0","Front 242","FRONT BY FRONT","1","11","301240","spotify:user:padishahpiper","2018-09-17T16:19:42Z"
"spotify:track:34vs8Nv1UbY63eWgMR1Tb2","Join In The Chant","Nitzer Ebb","That Total Age","1","5","365706","spotify:user:padishahpiper","2018-09-17T16:19:51Z"
"spotify:track:2D9q6ht41Hrpq6k8Jm3ev3","Mindphaser","Front Line Assembly","Reclamation","1","10","404466","spotify:user:padishahpiper","2018-09-17T16:20:15Z"
"spotify:track:0Vcpo9El50PNNbZXfKbNti","Just One Fix","Ministry","KE*A*H** (Psalm 69)","1","2","310293","spotify:user:padishahpiper","2018-09-17T16:24:25Z"
"spotify:track:1oa7FftQZhcJfYYnfH5Rlz","Murderous","Nitzer Ebb","That Total Age","1","3","343493","spotify:user:padishahpiper","2018-09-17T16:20:56Z"
"spotify:track:2bUUMb6Xo8G1hhBjzXlb5b","I Sit on Acid","Lords Of Acid","Lust (Special Remastered Band Edition)","1","5","352586","spotify:user:padishahpiper","2018-09-17T16:28:53Z"
"spotify:track:0eBlkkenpIUKzDHQJihrRG","Control I'm Here","Nitzer Ebb","Belief","1","3","232800","spotify:user:padishahpiper","2018-09-17T16:21:17Z"
"spotify:track:6edjmG40nog79sxCw5gt5X","Over the Shoulder - 12" Version","Ministry","Twitch","1","8","407333","spotify:user:padishahpiper","2018-09-17T16:25:59Z"
"spotify:track:10qpFX1a1nWD2fQd7ZQ34m","Spasmolytic","Skinny Puppy","Too Dark Park","1","3","233906","spotify:user:padishahpiper","2018-09-17T16:30:58Z"
"spotify:track:5gin6bz5GYJbPDPGKdGedx","Psyche-Out","Meat Beat Manifesto","99%","1","2","284533","spotify:user:padishahpiper","2018-09-25T22:50:12Z"
"spotify:track:1d3iQh4fTm5D6iRtgrZPZ9","Megalomaniac","KMFDM","Symbols","1","1","367933","spotify:user:padishahpiper","2018-09-17T16:35:55Z"
"spotify:track:7KK8bsqefhdomQDksYRd7c","Burning Inside - 12" Remix","Ministry","Box","1","6","408893","spotify:user:padishahpiper","2018-09-17T16:27:59Z"
"spotify:track:2QWN7qtkuNT6nELJCvCkEP","Masterhit (Part I & II)","Front 242","Official Version","1","5","424066","spotify:user:padishahpiper","2018-09-17T16:33:54Z"
"spotify:track:1S1FOHAY69aH6TuXPO6gjZ","Inquisition","Skinny Puppy","Last Rights","1","5","317626","spotify:user:padishahpiper","2018-09-17T16:31:20Z"
"spotify:track:2JtVDBrTE7bydPkOA11eeI","Tanz Mit Laibach","Laibach","WAT","1","2","255680","spotify:user:padishahpiper","2018-09-25T17:55:07Z"
"spotify:track:3gIxT1s0gqauz95wbwBzLj","Stigmata - Update Mix","Ministry","Land Of Rape and Honey","1","1","344933","spotify:user:padishahpiper","2018-09-17T16:27:33Z"
"spotify:track:3vLsv6gSzgoOA8ytbyv5vB","Now","Meat Beat Manifesto","99%","1","1","319266","spotify:user:padishahpiper","2018-09-25T22:20:21Z"
"spotify:track:4fJ8ryUjPvaURtbbOwP5v0","Crapage","Front 242","06:21:03:11 UP EVIL","1","1","297040","spotify:user:padishahpiper","2018-09-17T16:32:58Z"
"spotify:track:1OY3V4AB64zZanzBQ4b8Z1","Worlock","Skinny Puppy","Rabies (Remastered)","1","5","330240","spotify:user:padishahpiper","2018-09-17T16:19:12Z"
"spotify:track:5QledwVLn6JjGtsC9fwDCa","Rhythm Of Time","Front 242","TYRANNY >FOR YOU<","1","2","245533","spotify:user:padishahpiper","2018-09-17T16:33:17Z"
"spotify:track:6Hh5u5c6eTWLYE7R9RgL7M","So What","Ministry","The Mind Is A Terrible Thing To Taste","1","6","493826","spotify:user:padishahpiper","2018-09-17T16:35:38Z"
"spotify:track:0vyoxWYsDYduwnYuiEHOZg","Last","Nine Inch Nails","Broken","1","3","284573","spotify:user:padishahpiper","2018-09-25T17:52:24Z"
"spotify:track:2D9LxUcR9zWxQtxiHsMA0n","N.W.O.","Ministry","KE*A*H** (Psalm 69)","1","1","330706","spotify:user:padishahpiper","2018-09-17T16:36:06Z"
"spotify:track:2XF5JEoPwGIKd8iaUYV8HZ","Welcome To Paradise","Front 242","FRONT BY FRONT","1","10","317773","spotify:user:padishahpiper","2018-09-25T18:10:26Z"
"spotify:track:6KCthSzW230fnf6IygPaI0","Thieves","Ministry","The Mind Is A Terrible Thing To Taste","1","1","301426","spotify:user:padishahpiper","2018-09-27T17:01:40Z"
"spotify:track:72VK0BfYZFxoMkPWA5a5Iz","Destillat - VNV Nation Remix","Das Ich","Addendum","1","13","367573","spotify:user:padishahpiper","2018-09-27T17:02:10Z"
"spotify:track:7i4r4Va4nFf5sLfa2xcWoa","Butterfly Wings","Machines Of Loving Grace","Concentration","1","2","217666","spotify:user:padishahpiper","2018-09-27T17:02:32Z"
"spotify:track:5b4JJaNJfrrLQk8qzGif0s","Death","Skinny Puppy","The Process","1","2","236893","spotify:user:padishahpiper","2018-09-27T21:04:48Z"
"spotify:track:046tls2P4B9tUq3mq9GP7g","Violent Mood Swings","Stabbing Westward","Ungod","1","8","312466","spotify:user:padishahpiper","2018-10-01T16:09:16Z"
"spotify:track:4YhqUU66bIqBapat2XD1Cg","Guilty","Gravity Kills","Gravity Kills","1","2","242026","spotify:user:padishahpiper","2018-10-01T16:10:56Z"
"spotify:track:4hU4xH9wKHssXSe282FkK3","Resist","Front Line Assembly","Caustic Grip","1","1","326666","spotify:user:padishahpiper","2018-10-01T16:52:54Z"
"spotify:track:5Y1juC9r3pY8DOv8TjMPCA","Suicide King","Machines Of Loving Grace","Gilt","1","3","244360","spotify:user:padishahpiper","2018-10-01T17:05:23Z"
"spotify:track:6LX9XZG2W6fo0hNcArSCOn","We Believe","Ministry","Twitch","1","2","356533","spotify:user:padishahpiper","2018-10-03T02:44:48Z"
"spotify:track:53nAm1wgg9mBcei20Zt6AQ","Suicide Jag (Mark Blasquez Mix)","Chemlab","Burn Out At The Hydrogen Bar","1","15","314306","spotify:user:padishahpiper","2018-10-04T16:08:59Z"
"spotify:track:1Ozxm0vUJv2YMqYKUgiJGo","Ride The Mindway","Buzz McCoy","Confessions Of A Knife","1","6","430186","spotify:user:padishahpiper","2018-10-04T16:17:28Z"
"spotify:track:3o1nX61oecxnqXieA2ma0U","Terrible Lie","Nine Inch Nails","Pretty Hate Machine","1","2","278960","spotify:user:padishahpiper","2018-10-04T16:30:47Z"
"spotify:track:00IkBm3TRmnaM65MiM3Wil","It's Not My Problem","The Future Sound Of London","Accelerator","1","5","242133","spotify:user:padishahpiper","2018-10-12T21:23:15Z"
"spotify:track:6qmY21MWIcAEPf9G80wKfb","Everyday Is Like Halloween","Ministry","Twelve Inch Singles","1","1","386226","spotify:user:padishahpiper","2019-06-25T19:33:27Z"
"spotify:track:4zHRHotgEcUcQzheUld3n9","Juke-Joint Jezebel","KMFDM","Nihil","1","2","339986","spotify:user:padishahpiper","2020-02-12T16:57:48Z"
"spotify:track:1LkYAkYzqq7TbJTGfx3ixY","Supernaut","1000 Homo DJs","Supernaut","1","1","402706","spotify:user:padishahpiper","2020-02-12T17:04:19Z"
"spotify:track:04J3C463zWF1SEGxD8Z4U9","Let Your Body Learn","Nitzer Ebb","That Total Age","1","7","168666","spotify:user:padishahpiper","2020-02-12T17:04:33Z"
