﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3XZKylgjOC4SHdoIK4gd9X","Spectre - Bibio Remix","Tycho, Bibio","Awake Remixes","1","7","258265","spotify:user:padishahpiper","2018-08-20T03:33:46Z"
"spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE","Aquarium","Nosaj Thing","Views/Octopus EP","1","4","184000","spotify:user:padishahpiper","2018-08-20T03:34:26Z"
"spotify:track:3oGqaG8lbdMzw4kgRb0CYz","Places","Shlohmo","Bad Vibes","1","2","302210","spotify:user:padishahpiper","2018-08-20T03:34:31Z"
"spotify:track:2lJ4d8MCT6ZlDRHKJ1br14","Cirrus","Bonobo","The North Borders","1","3","352246","spotify:user:padishahpiper","2018-08-20T03:34:36Z"
"spotify:track:5WwaKGBmg0TpG8mRQpksl2","Horizon","Tycho","Epoch","1","2","249925","spotify:user:padishahpiper","2018-08-20T03:34:42Z"
"spotify:track:1depKpsqGCvr8wtjFFaFoO","Aminals","Baths","Cerulean","1","5","198400","spotify:user:padishahpiper","2018-08-20T03:34:43Z"
"spotify:track:2SPTGg9SC5MT1FwNX4IYfx","Greenland","Emancipator","Safe In the Steep Cliffs","1","1","191066","spotify:user:padishahpiper","2018-08-20T03:34:43Z"
"spotify:track:4Y2W4zKa3q72ztbkA0r8Va","Dayvan Cowboy","Boards of Canada","The Campfire Headphase","1","5","300186","spotify:user:padishahpiper","2018-08-20T03:34:49Z"
"spotify:track:4zSbFrERDuBdZ1Bio9uee4","Looped","Kiasmos","Kiasmos","1","3","360705","spotify:user:padishahpiper","2018-08-20T03:35:03Z"
"spotify:track:4v8Zcrb6kxKLokntjpSqyc","Strong Again (Teach Me to Feel)","Bvdub","Born In Tokyo","1","3","698182","spotify:user:padishahpiper","2018-08-20T03:35:19Z"
"spotify:track:2rxBZkJX2MXrsFEJrSWi27","Atoms For Peace (Four Tet Remix)","Thom Yorke, Four Tet","The Eraser Rmxs","1","5","352266","spotify:user:padishahpiper","2018-08-20T03:35:27Z"
"spotify:track:0KdqnfkXehHQQZYCiRZGpe","Revolver","South London Ordnance","Revolver / Transmission Funk","1","1","355187","spotify:user:padishahpiper","2018-08-20T03:35:35Z"
"spotify:track:3H4exceNzDQZd5gi0hS70f","Black Swan (Cristian Vogel Spare Parts Remix)","Thom Yorke, Cristian Vogel","The Eraser Rmxs","1","7","362000","spotify:user:padishahpiper","2018-08-20T03:35:43Z"
"spotify:track:2dPHfe9sjJY9SlHsetKuwo","I Take Comfort In Your Ignorance","Ulrich Schnauss","A Long Way To Fall","1","5","358293","spotify:user:padishahpiper","2018-08-20T03:35:48Z"
"spotify:track:6Q3jL19AxEKwqXbyaI7bnL","Tight","Sun Glitters","Mouth / Tight - EP","1","4","223509","spotify:user:padishahpiper","2018-08-20T03:35:53Z"
"spotify:track:42t4SGdsofHKTMAYJwCFt1","Moments","Lapalux, Py","When You're Gone","1","2","293768","spotify:user:padishahpiper","2018-08-20T03:36:00Z"
"spotify:track:4Vv9r2xxikyEuS83EsdiUI","Polymath - Original Mix","Sad City","Ten Years Of Phonica","1","25","359750","spotify:user:padishahpiper","2018-08-20T03:36:10Z"
"spotify:track:1NbTAQl4KAh2PvkhVatC3M","Use of Weapons","South London Ordnance","Use of Weapons","1","1","359600","spotify:user:padishahpiper","2018-08-20T03:36:16Z"
"spotify:track:6koWevx9MqN6efQ6qreIbm","A Walk","Tycho","Dive","1","1","316919","spotify:user:padishahpiper","2018-08-20T03:36:22Z"
"spotify:track:6VctxfHGtzDFoMty7raTlX","Sirocco","Ulrich Schnauss, Jonas Munk","Ulrich Schnauss and Jonas Munk","1","11","486643","spotify:user:padishahpiper","2018-08-20T03:36:26Z"
"spotify:track:5Xm6mv7AwiWssTaG6FMX6M","III (feat. Lotte Kestner)","Blue Sky Black Death","Glaciers","1","3","806613","spotify:user:padishahpiper","2018-08-20T03:37:03Z"
"spotify:track:6SUmTySwk1PSvZisANfr78","Haze","AES DANA","Memory Shell","1","6","446757","spotify:user:padishahpiper","2018-08-20T03:37:08Z"
"spotify:track:1FjPdZtodJFUZJfWTeeIMx","Elixir","Sorrow","Dreamstone","1","1","286666","spotify:user:padishahpiper","2018-08-20T03:37:13Z"
"spotify:track:4SIShpnsc4IJRgwXhPxKEp","Window Seat","ID3, Soundmouse","Window Seat - EP","1","3","354206","spotify:user:padishahpiper","2018-08-20T03:37:19Z"
"spotify:track:1wLvKHWG0spGUz4ac28dCE","Beside Me","Sun Glitters","Everything Could Be Fine","1","1","189714","spotify:user:padishahpiper","2018-08-20T03:37:25Z"
"spotify:track:36tGMdG9ycbDfTa2w5I8Vh","As Long as I Can Hold My Breath","Harold Budd","Avalon Sutra","1","14","225080","spotify:user:padishahpiper","2018-08-20T03:37:31Z"
"spotify:track:15j4iuXi1OZfSBKmaVTeN7","If Rah","Underworld","Barbara Barbara, we face a shining future","1","2","432933","spotify:user:padishahpiper","2018-08-20T03:37:35Z"
"spotify:track:1Nk1awPkxV6x1r9ZKH6gej","Asleep","Rumpistol","Away","1","5","373073","spotify:user:padishahpiper","2018-08-20T03:37:42Z"
"spotify:track:1ZOO1cMEMpNuDQbMSjxHec","Colour Show","Ambassadeurs","Trouble","1","3","302707","spotify:user:padishahpiper","2018-08-20T03:37:48Z"
"spotify:track:3bT4VIeqQHDEEMg609pwH6","Conflict","Different Sleep","Conflict EP","1","1","225000","spotify:user:padishahpiper","2018-08-20T03:37:53Z"
"spotify:track:0BSJ1iQEmGibLCPMHGtdo7","Lost In Thought","Jon Hopkins","Opalescent","1","5","376733","spotify:user:padishahpiper","2018-08-20T03:38:03Z"
"spotify:track:0wxyf5n7T4V5MgoPkZd2gE","Lucid","Ambassadeurs","Trouble","1","6","233478","spotify:user:padishahpiper","2018-08-20T03:38:07Z"
"spotify:track:1gkBTMlj2yzRcjfBuYWhxH","Special Place - Ruxpin Remix","Muted","Special Place","1","2","234049","spotify:user:padishahpiper","2018-08-20T03:38:14Z"
"spotify:track:3YUMeRQhNOhcT729kLuCrA","Auto Pilot - Deru Remix","Lusine, Deru","Podgelism","1","6","369777","spotify:user:padishahpiper","2018-08-20T03:38:20Z"
"spotify:track:7HUi3HxJ6VQ17HjGSGrrmR","Departure - Original Mix","Love Echo","I Promise You Always The Sky","1","1","271615","spotify:user:padishahpiper","2018-08-20T03:38:26Z"
"spotify:track:5PetE0A5i68TwlHsya4hoP","Shine","Ulrich Schnauss","Goodbye","1","2","349026","spotify:user:padishahpiper","2018-08-20T03:38:30Z"
"spotify:track:4SzeQVgNjow4JdsrXMBzwU","Nebula","Mr FijiWiji, Soulero","Friends EP","1","2","324853","spotify:user:padishahpiper","2018-08-20T03:38:34Z"
"spotify:track:5RL7Pq7FlVHDu4ZFivKTeU","Expiration Date","Blockhead","Downtown Science","1","1","341986","spotify:user:padishahpiper","2018-08-20T03:39:55Z"
"spotify:track:5T5YrHrReAewSmP95yBFyw","Held","Holy Other","Held","1","8","367514","spotify:user:padishahpiper","2018-08-20T03:39:59Z"
"spotify:track:1zbqTlokWQXlVpNkClEpoj","Kinetic 2017","Orbital","Kinetic 2017","1","1","372173","spotify:user:padishahpiper","2018-08-20T03:40:10Z"
"spotify:track:6N759vFYolaNbbdd4As2Wi","Sixtyten","Boards of Canada","Music Has The Right To Children","1","6","348346","spotify:user:padishahpiper","2018-08-20T03:40:22Z"
"spotify:track:6OI4SUhPhLFQva56RiB1oM","Scan The Ways","Ms. John Soda","Notes And The Like","1","3","203800","spotify:user:padishahpiper","2018-08-20T16:40:40Z"
