﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3XZKylgjOC4SHdoIK4gd9X","Spectre - Bibio Remix","Tycho, Bibio","Awake Remixes","1","7","258265","spotify:user:padishahpiper","2018-07-06T21:42:17Z"
"spotify:track:4v8Zcrb6kxKLokntjpSqyc","Strong Again (Teach Me to Feel)","Bvdub","Born In Tokyo","1","3","698182","spotify:user:padishahpiper","2018-07-06T21:43:04Z"
"spotify:track:2rxBZkJX2MXrsFEJrSWi27","Atoms For Peace (Four Tet Remix)","Thom Yorke, Four Tet","The Eraser Rmxs","1","5","352266","spotify:user:padishahpiper","2018-07-06T21:45:43Z"
"spotify:track:4zSbFrERDuBdZ1Bio9uee4","Looped","Kiasmos","Kiasmos","1","3","360705","spotify:user:padishahpiper","2018-07-06T21:46:07Z"
"spotify:track:0KdqnfkXehHQQZYCiRZGpe","Revolver","South London Ordnance","Revolver / Transmission Funk","1","1","355187","spotify:user:padishahpiper","2018-07-06T21:46:52Z"
"spotify:track:3H4exceNzDQZd5gi0hS70f","Black Swan (Cristian Vogel Spare Parts Remix)","Thom Yorke, Cristian Vogel","The Eraser Rmxs","1","7","362000","spotify:user:padishahpiper","2018-07-06T21:45:50Z"
"spotify:local:Ulrich+Schnauss:A+Long+Way+to+Fall:I+Take+Comfort+in+Your+Ignorance:358","I Take Comfort in Your Ignorance","Ulrich Schnauss","A Long Way to Fall","0","0","358000","spotify:user:padishahpiper","2018-07-16T18:49:01Z"
"spotify:track:6Q3jL19AxEKwqXbyaI7bnL","Tight","Sun Glitters","Mouth / Tight - EP","1","4","223509","spotify:user:padishahpiper","2018-07-06T21:51:05Z"
"spotify:track:42t4SGdsofHKTMAYJwCFt1","Moments","Lapalux, Py","When You're Gone","1","2","293768","spotify:user:padishahpiper","2018-07-06T21:51:44Z"
"spotify:track:3oGqaG8lbdMzw4kgRb0CYz","Places","Shlohmo","Bad Vibes","1","2","302210","spotify:user:padishahpiper","2018-07-06T21:52:17Z"
"spotify:track:2SPTGg9SC5MT1FwNX4IYfx","Greenland","Emancipator","Safe In the Steep Cliffs","1","1","191066","spotify:user:padishahpiper","2018-07-06T21:52:31Z"
"spotify:local:Sad+City:Ten+Years+Of+Phonica:Polymath+%28Original+Mix%29:359","Polymath (Original Mix)","Sad City","Ten Years Of Phonica","0","0","359000","spotify:user:padishahpiper","2018-07-16T18:47:43Z"
"spotify:track:1NbTAQl4KAh2PvkhVatC3M","Use of Weapons","South London Ordnance","Use of Weapons","1","1","359600","spotify:user:padishahpiper","2018-07-06T21:54:48Z"
"spotify:track:6koWevx9MqN6efQ6qreIbm","A Walk","Tycho","Dive","1","1","316919","spotify:user:padishahpiper","2018-07-16T18:39:15Z"
"spotify:track:6VctxfHGtzDFoMty7raTlX","Sirocco","Ulrich Schnauss, Jonas Munk","Ulrich Schnauss and Jonas Munk","1","11","486643","spotify:user:padishahpiper","2018-07-16T18:39:57Z"
