﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1c4OpZ2G1MEcEKSknUZjdD","Ceremony - Version 1; 2016 Remaster","New Order","Singles (2016 Remaster)","1","1","278760","spotify:user:padishahpiper","2018-02-09T20:35:55Z"
"spotify:local:TV+on+the+Radio:Return+to+Cookie+Mountain:I+Was+a+Lover:261","I Was a Lover","TV on the Radio","Return to Cookie Mountain","0","0","261000","spotify:user:padishahpiper","2018-02-09T20:29:36Z"
"spotify:track:5Y8sPOwWupGEGM7ifBDR7F","Run Into Flowers","M83","Dead Cities, Red Seas & Lost Ghosts","1","3","249426","spotify:user:padishahpiper","2018-02-09T20:25:51Z"
"spotify:track:2VGDntFPvgvqSiUf9ITEfW","Someone Great","LCD Soundsystem","Sound of Silver","1","4","390013","spotify:user:padishahpiper","2018-02-09T20:28:05Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","My Bloody Valentine","Loveless","1","1","257519","spotify:user:padishahpiper","2018-02-09T20:26:14Z"
"spotify:track:0Gk2NWITP9Q1QJewMr28po","Midnight In A Perfect World","DJ Shadow","Endtroducing.....","1","13","298373","spotify:user:padishahpiper","2018-02-10T23:24:42Z"
"spotify:track:3kKVqFF4pv4EXeQe428zl2","Protection","Massive Attack, Tracey Thorn","Protection","1","1","471560","spotify:user:padishahpiper","2018-02-09T20:27:16Z"
"spotify:track:4aOAzvRdOsZSwZIgwcdeL0","Let Down","Radiohead","OK Computer","1","5","299560","spotify:user:padishahpiper","2018-02-09T20:28:48Z"
"spotify:track:10NlLzAqfzw09h1CIdHtGC","Tracy","Mogwai","Young Team","1","5","439933","spotify:user:padishahpiper","2018-02-10T23:23:59Z"
"spotify:track:7vM4BwX5bVCEzlJcfOLt7Q","Death Rays","Mogwai","Hardcore Will Never Die, But You Will","1","4","360640","spotify:user:padishahpiper","2018-02-10T23:23:41Z"
"spotify:track:1eyzqe2QqGZUmfcPZtrIyt","Midnight City","M83","Hurry Up, We're Dreaming","1","2","241440","spotify:user:padishahpiper","2018-02-09T20:30:14Z"
"spotify:track:5PurHGjwfAQel15O4ZIiGu","7/4 (Shoreline)","Broken Social Scene","Broken Social Scene","1","3","293840","spotify:user:padishahpiper","2018-02-09T20:30:57Z"
"spotify:track:46Xnj8vZFwOZCE4aZNXlTf","Not In Love - Radio Version","Crystal Castles, Robert Smith","(II)","1","12","226986","spotify:user:padishahpiper","2019-03-08T18:41:21Z"
