﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4lteJuSjb9Jt9W1W7PIU2U","Derezzed - Remixed by The Glitch Mob","Daft Punk, The Glitch Mob","TRON: Legacy Reconfigured","1","1","262240","spotify:user:padishahpiper","2020-04-21T20:43:50Z"
"spotify:track:48n92l7OnLEURhalUBtsl7","We Can Make The World Stop","The Glitch Mob","We Can Make the World Stop - EP","1","1","325908","spotify:user:padishahpiper","2020-04-21T20:44:14Z"
"spotify:track:5QmolkpuE6IfPdr7j2MGn5","Celestica","Crystal Castles","(II)","1","2","228400","spotify:user:padishahpiper","2020-04-21T20:52:24Z"
"spotify:track:3vVlScRCPisn6VPs40VdL2","Chemical Beats","The Chemical Brothers","Exit Planet Dust","1","6","290333","spotify:user:padishahpiper","2020-04-21T20:45:58Z"
"spotify:track:7MwzZjPYw5wJUBpS6Ns6va","Mr G","deadmau5","At Play Vol. 2","1","3","321352","spotify:user:padishahpiper","2020-04-21T20:47:25Z"
"spotify:track:6sfArKmXzMS70WHzlD7c7g","Homeless","Fatali","Homeless - Promo","1","1","469920","spotify:user:padishahpiper","2020-04-21T20:51:13Z"
"spotify:track:5W3cjX2J3tjhG8zb6u0qHn","Harder, Better, Faster, Stronger","Daft Punk","Discovery","1","4","224693","spotify:user:padishahpiper","2020-04-21T20:54:36Z"
"spotify:track:5kTBiVnjq9xKmZL9dNs8zL","Come With Us","The Chemical Brothers","Come With Us","1","1","297586","spotify:user:padishahpiper","2020-04-21T20:51:44Z"
"spotify:track:1Ow9ZsMYJ1XmaXmUeKYJGT","Baptism","Crystal Castles","(II)","1","4","251440","spotify:user:padishahpiper","2020-04-21T20:44:50Z"
"spotify:track:7kXmJwrZGIhDaLT9sNo3ut","Hey Boy Hey Girl","The Chemical Brothers","Surrender","1","9","290493","spotify:user:padishahpiper","2020-04-21T20:52:45Z"
"spotify:track:4bz7uB4edifWKJXSDxwHcs","Galvanize","The Chemical Brothers","Push The Button","1","1","393813","spotify:user:padishahpiper","2020-04-21T20:52:57Z"
"spotify:track:47DIDWc46cy6doDwoYKDYy","Another World","The Chemical Brothers","Further","1","3","340786","spotify:user:padishahpiper","2020-04-21T20:53:24Z"
