﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1zTmKEtaxIqi2ByGBLmI3s","Daydream","Tycho","Dive","1","3","334459","spotify:user:padishahpiper","2019-05-29T17:07:13Z"
"spotify:track:7CEmvOrMOUXFUzYhktGCsH","Shy","A Sunny Day In Glasgow","Ashes Grammar","1","7","344000","spotify:user:padishahpiper","2018-05-30T17:18:36Z"
"spotify:track:5l1jbVH8NqW2MIqQMyULLW","Black Spider","Mogwai","Zidane, A 21st Century Portrait, An Original Soundtrack by Mogwai","1","1","306480","spotify:user:padishahpiper","2019-02-28T16:14:13Z"
"spotify:track:2ZIaH69kaz55RM4Pjx6KXl","Two Thousand and Seventeen","Four Tet","New Energy","1","2","252255","spotify:user:padishahpiper","2018-11-27T17:31:26Z"
"spotify:track:1y9iSAufFmLrfXuYMTnV4T","Eyes Be Closed","Washed Out","Within and Without","1","1","287666","spotify:user:padishahpiper","2018-11-27T17:31:17Z"
"spotify:track:0EbIifYAM9wTYlPzKgTwFA","Lift","Radiohead","OK Computer OKNOTOK 1997 2017","2","3","246840","spotify:user:padishahpiper","2018-05-30T17:17:23Z"
"spotify:track:16VrEJGnTFbJx9WlocKCFB","Dea","The American Dollar","The Technicolour Sleep","1","10","241546","spotify:user:padishahpiper","2018-05-30T21:18:55Z"
"spotify:track:4TosLVcCT9XmxhENfC5XIV","Emergency Trap","Mogwai","Mr. Beast","1","7","213320","spotify:user:padishahpiper","2018-05-30T17:19:23Z"
"spotify:track:1bAnW1SPd5iof57Unaqfzd","Sigur 4 (Untitled)","Sigur Rós","(Untitled)","1","4","417076","spotify:user:padishahpiper","2018-11-27T20:41:42Z"
"spotify:track:3wLmg6wH6Srv8546aTJcpP","Dark Moves Of Love","M83","Saturdays = Youth","1","10","198853","spotify:user:padishahpiper","2018-05-30T17:21:47Z"
"spotify:track:0UZ9dWQ8fM6inQB96QA8N2","The Birth and Death of the Day - Jesu Mix","Explosions In The Sky, Jesu","All of a Sudden I Miss Everyone (Remixes)","1","1","588080","spotify:user:padishahpiper","2019-08-02T16:58:19Z"
"spotify:track:5FNntZQolb7gLfBs0H1RZZ","Co-Conspirators","Maybeshewill","Sing the Word Hope in Four Part Harmony","1","2","246642","spotify:user:padishahpiper","2018-11-27T21:36:19Z"
"spotify:track:1JYml5HzXGCOQDfCJCRjTa","Bosses Hang, Pt. I","Godspeed You! Black Emperor","Luciferian Towers","1","2","279840","spotify:user:padishahpiper","2018-05-30T17:36:03Z"
"spotify:track:4TUUqHttZS3pBvWGjlzLk6","Ratts Of The Capital","Mogwai","Happy Songs For Happy People","1","6","505413","spotify:user:padishahpiper","2018-05-30T17:23:30Z"
