"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1c4OpZ2G1MEcEKSknUZjdD","Ceremony - Version 1; 2016 Remaster","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:2ODAEaYlqS88SU4ZZu1bI6","Singles (2016 Remaster)","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","2005-09-30","https://i.scdn.co/image/ab67616d0000b273f142205e336ec0af3e1a4eb0","1","1","278760","https://p.scdn.co/mp3-preview/2a4cc64dd6236a0f2368973f778c14b0b1424b70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:padishahpiper","2018-02-10T15:44:56Z"
"spotify:track:1wAvaUHRV7ThdmEgBT3W2A","Everything's Gone Green - 7"" Version; 2015 Remaster","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:2ODAEaYlqS88SU4ZZu1bI6","Singles (2016 Remaster)","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","2005-09-30","https://i.scdn.co/image/ab67616d0000b273f142205e336ec0af3e1a4eb0","1","3","259293","https://p.scdn.co/mp3-preview/ef85657947fa256ccc70cff6b8372e0c3dc2ed9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:padishahpiper","2018-02-10T15:50:15Z"
"spotify:track:4N42ow0h4JoK68OQwOzsQn","Love Will Tear Us Apart","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","spotify:album:3rPC5Y8e9S6dGGkWvRYPRD","TOTAL","spotify:artist:0yNLKJebCb8Aueb54LYya3, spotify:artist:432R46LaYsJZV2Gmc4jUV5","New Order, Joy Division","2011-06-03","https://i.scdn.co/image/ab67616d0000b273c9ea1ebfc4cb7b2a9937c42d","1","2","206226","https://p.scdn.co/mp3-preview/d83d18f2c3f8ba8fc2dfa78d60515b98c9bae76d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:padishahpiper","2018-02-10T15:43:29Z"
"spotify:track:2H1BmB1b6Px9KJXIUpD03u","Never Let Me Down Again - 2006 Remaster","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:4tPRXghD4ago6NYyyfrtES","Music for the Masses (2006 Remaster)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1987-09-28","https://i.scdn.co/image/ab67616d0000b273da32a1816a110aae5a4ecea0","1","1","290493","https://p.scdn.co/mp3-preview/9f0c88d8209c52b1f83fe9a257f5d44edf5176b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:padishahpiper","2020-10-28T16:35:26Z"
"spotify:track:1luZMYo5dt0HaKiaPjkkYZ","Wishing Well","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","spotify:album:3VhSB8ozURez6qOSptLb15","Workbook","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","1989","https://i.scdn.co/image/ab67616d0000b273c09d0759175534092784264d","1","2","313133","https://p.scdn.co/mp3-preview/de8b2f9c35a7d6a6f06f7cae638e4e56883a3e9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:padishahpiper","2020-10-28T16:25:48Z"
"spotify:track:0vkUqmXgUJxvuJ0yVRCmni","The Kiss - 2006 Remaster","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1987-05-25","https://i.scdn.co/image/ab67616d0000b273ba091f0014c77a2d898fea8a","1","1","376320","https://p.scdn.co/mp3-preview/1d045b28531b1beb95fe05be86c620c6124ce31e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","spotify:user:padishahpiper","2020-10-28T16:34:07Z"
"spotify:track:32TKQVwtSGCHIqmbmaNdFj","Dreams Never End - 2015 Remaster","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:2DI73ocB6x1ExxoJbT4QI8","Movement","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","1981-01-13","https://i.scdn.co/image/ab67616d0000b2733799b162f6b365f781b07515","1","1","195306","https://p.scdn.co/mp3-preview/325dba41c52916dad4873854794f02e73d3c7e32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:padishahpiper","2018-02-10T15:42:27Z"
"spotify:track:2NphJ0mVP7y3qtLt5H5URY","Regret","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:7ha9sBu0lsKuW6PRhfSMzg","Republic","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","1993-05-03","https://i.scdn.co/image/ab67616d0000b273d2466e11179c4daf669eb301","1","1","249840","https://p.scdn.co/mp3-preview/2abd61f85d1b1792c034b1b0f3537f575f1961e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:padishahpiper","2018-02-10T15:41:18Z"
"spotify:track:7LdKMBKthcdBnAqlAIGqCB","See A Little Light","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","spotify:album:3VhSB8ozURez6qOSptLb15","Workbook","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","1989","https://i.scdn.co/image/ab67616d0000b273c09d0759175534092784264d","1","4","212066","https://p.scdn.co/mp3-preview/595c7dda92ce69adf8c388d56eb7b4f99a49ed06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:padishahpiper","2020-10-28T16:27:57Z"
"spotify:track:0C6EIiQu8CS4eYtOCMEiAd","Policy of Truth - 2006 Remaster","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:5g3Yi15plTSMaq6tYiuw8p","Violator (2006 Remaster)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273e5158bfb0005da06d5d7c0eb","1","7","294040","https://p.scdn.co/mp3-preview/6de1749cc62af18f1ab05e16e479e8c754f653ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:padishahpiper","2020-10-28T16:38:19Z"
"spotify:track:4quX6Y6cvrP9hY4hiZBHiG","Transmission","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","spotify:album:3rPC5Y8e9S6dGGkWvRYPRD","TOTAL","spotify:artist:0yNLKJebCb8Aueb54LYya3, spotify:artist:432R46LaYsJZV2Gmc4jUV5","New Order, Joy Division","2011-06-03","https://i.scdn.co/image/ab67616d0000b273c9ea1ebfc4cb7b2a9937c42d","1","1","218213","https://p.scdn.co/mp3-preview/00ffdc6a9c83cbccd4f93e62b367b00672b2f26f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:padishahpiper","2018-02-10T15:43:45Z"
"spotify:track:3GREm6zSHwKZsJxl0hqbAQ","People Are People - 2006 Remaster","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:7DbpWj9i5uZ1UggeGRo1LZ","Some Great Reward (2006 Remaster)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1984-09-24","https://i.scdn.co/image/ab67616d0000b27374679f84439901836cfdb752","1","3","232080","https://p.scdn.co/mp3-preview/15053a2129ccf2d23c8231a9d9eea36cd359691a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2020-10-28T16:37:21Z"
