"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1gkn90ExKRNAOlhDs4RoW0","Working Man","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:57ystaP7WpAOxvCxKFxByS","Rush","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1974-01-01","https://i.scdn.co/image/ab67616d0000b273b5ad3ae448fd8e160c341b7a","1","8","429973","https://p.scdn.co/mp3-preview/b7435dfa2884f2d12c3011b1145fb50b927a7fc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:padishahpiper","2020-08-05T17:13:49Z"
"spotify:track:54TaGh2JKs1pO9daXNXI5q","Fly By Night","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:3ZtICWkqezf0bBTUwY1Khe","Fly By Night","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1975-02-15","https://i.scdn.co/image/ab67616d0000b27311079bb97e1f95d1a917ce0b","1","5","202200","https://p.scdn.co/mp3-preview/ecf832f1148f4cfa0bdac29d5aa272576c95aeb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:padishahpiper","2020-08-05T17:14:27Z"
"spotify:track:0bh40rcAYgtvLgS77L9SRi","Beneath, Between & Behind","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:3ZtICWkqezf0bBTUwY1Khe","Fly By Night","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1975-02-15","https://i.scdn.co/image/ab67616d0000b27311079bb97e1f95d1a917ce0b","1","3","181933","https://p.scdn.co/mp3-preview/be8988ed2d661b2dde2a5c45eb79f31481af1889?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:padishahpiper","2020-08-05T17:14:35Z"
"spotify:track:5H8xFHau0x3PI1CssO6EaX","2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:5g5aKkI0ExfU4kDvADP6JK","2112","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1976-04-01","https://i.scdn.co/image/ab67616d0000b273eedead7963a4b68347dd56eb","1","1","1233666","https://p.scdn.co/mp3-preview/9677b78cc52a0c3754142f5fef05bc514e487bb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:padishahpiper","2020-08-05T17:15:28Z"
"spotify:track:4bGkklcgdZvIUtoqIc7wcd","Something For Nothing","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:5g5aKkI0ExfU4kDvADP6JK","2112","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1976-04-01","https://i.scdn.co/image/ab67616d0000b273eedead7963a4b68347dd56eb","1","6","238933","https://p.scdn.co/mp3-preview/292c523e97adf41195da15321606cfdc646a1398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:padishahpiper","2020-08-05T17:15:37Z"
"spotify:track:4Ilt9N2XASXY60DSEitW5K","A Farewell To Kings","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:18i33u5FvfvgHjZMulpyO2","A Farewell To Kings","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1977-09-01","https://i.scdn.co/image/ab67616d0000b273c3d872d5405c76e3956cbbb6","1","1","349600","https://p.scdn.co/mp3-preview/515d35db93e852cf9d7218956e8e13b480589120?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:padishahpiper","2020-08-05T17:15:55Z"
"spotify:track:4u3oXuVeOGoByIMz9pnOKf","Closer To The Heart","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:18i33u5FvfvgHjZMulpyO2","A Farewell To Kings","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1977-09-01","https://i.scdn.co/image/ab67616d0000b273c3d872d5405c76e3956cbbb6","1","3","171960","https://p.scdn.co/mp3-preview/67a5716df458bccc2403b24c7c9b50e48f9d39a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:padishahpiper","2020-08-05T17:16:15Z"
"spotify:track:5q7KiSN7znIONR76LAqm7k","Xanadu","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:18i33u5FvfvgHjZMulpyO2","A Farewell To Kings","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1977-09-01","https://i.scdn.co/image/ab67616d0000b273c3d872d5405c76e3956cbbb6","1","2","664853","https://p.scdn.co/mp3-preview/5ae7528c4f1f3e6d5a201776d723f40e6dd70674?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:padishahpiper","2020-08-05T17:16:35Z"
"spotify:track:5cHnoalJPx909Umw8EoroV","The Trees","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:2vrM9ltjKIvNg3nkwXoJuc","Hemispheres","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1978-10-29","https://i.scdn.co/image/ab67616d0000b273fe148db2d296efd0f703e61f","1","3","282506","https://p.scdn.co/mp3-preview/7caa4fe3d8f48b2277a5f7682641e4aebcd2e682?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:padishahpiper","2020-08-05T17:16:53Z"
"spotify:track:2XwYeBzumtjxVbFWwhJpsy","Freewill","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:3nUNxSh2szhmN7iifAKv5i","Permanent Waves","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1980-01-01","https://i.scdn.co/image/ab67616d0000b27306c0d7ebcabad0c39b566983","1","2","321800","https://p.scdn.co/mp3-preview/1561a053870e42d4c316188b1a04e66e907ddbd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:padishahpiper","2020-08-05T17:17:08Z"
