"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5NIPsWpDjJTFBoPxCUUeXp","Welcome To The Jungle","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:5JKFiC2WVi9HtvJEm8CUB8","Appetite For Destruction","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1987-07-21","https://i.scdn.co/image/ab67616d0000b273c8e5391a619e9e8ea2162073","1","1","273600","","false","0","spotify:user:padishahpiper","2018-06-11T00:07:23Z"
"spotify:track:0XIvZ82aDF7JiSi3ZE320u","Rock You Like A Hurricane","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","spotify:album:6d4dgGamepehj0WwsYXTKi","Love At First Sting","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","1984-05-04","https://i.scdn.co/image/ab67616d0000b273ac6c2cc344c1a1990c251539","1","2","252493","","false","0","spotify:user:padishahpiper","2018-06-11T00:07:30Z"
"spotify:track:7LRMbd3LEoV5wZJvXT1Lwb","T.N.T.","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:19AUoKWRAaQYrggVvdQnqq","High Voltage","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1976-05-14","https://i.scdn.co/image/ab67616d0000b273286a0837ff3424065a735e0a","1","5","214666","https://p.scdn.co/mp3-preview/baea5e2b5a7315322edb8fade9bb8deacc97b436?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:padishahpiper","2018-06-11T00:07:36Z"
"spotify:track:5B6Z7NwVqA7W3UFiqBdEJC","Round and Round","spotify:artist:3tufWJzpCiAGleBt5TkmTn","Ratt","spotify:album:6P3Fqm7z9wr5GeatpVZ5ut","Out of the Cellar","spotify:artist:3tufWJzpCiAGleBt5TkmTn","Ratt","1984-02-14","https://i.scdn.co/image/ab67616d0000b2731eee199add98ba258d18fea4","1","3","265893","https://p.scdn.co/mp3-preview/570cceb2bbf4dce6ec380783a632f37bf2906585?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:padishahpiper","2018-06-11T00:07:43Z"
"spotify:track:18URo35acNKRTHfEdjTcGn","Photograph","spotify:artist:6H1RjVyNruCmrBEWRbD0VZ","Def Leppard","spotify:album:5ab6RIlAGwbVAacV1JIr2d","Pyromania","spotify:artist:6H1RjVyNruCmrBEWRbD0VZ","Def Leppard","1983-01-20","https://i.scdn.co/image/ab67616d0000b273e45161990e83649071399525","1","2","247962","https://p.scdn.co/mp3-preview/44fabe8da2638c72afc35557209aa97823fac1f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:padishahpiper","2018-06-11T00:11:25Z"
"spotify:track:0qgrrDnUUhyxpxbBznUnzg","18 and Life","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","spotify:album:0kSTuMp9GpX9pJR45Bksgi","Skid Row","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","1989-01-24","https://i.scdn.co/image/ab67616d0000b273ae63b58e90bef8888658ae21","1","5","229960","https://p.scdn.co/mp3-preview/902c83db7111a73bb508dd5d981621be8cf3e5e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:padishahpiper","2018-06-11T00:08:36Z"
"spotify:track:1Y373MqadDRtclJNdnUXVc","Paranoid - 2012 - Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:6r7LZXAVueS5DqdrvXJJK7","Paranoid (Remaster)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b273d5fccf9ce08b6a1e7d12a222","1","2","168405","https://p.scdn.co/mp3-preview/131d70c378afc18cbd141cca3b68998ec2f05d8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:padishahpiper","2018-06-11T00:08:42Z"
"spotify:track:4f3RDq9nYPBeR1yMSgnmBm","You've Got Another Thing Coming","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:55MZQrenomrTq0aQneC7Pi","Screaming For Vengeance (Expanded Edition)","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","1982","https://i.scdn.co/image/ab67616d0000b273475bd4fb40ba687fbf002c82","1","8","310080","https://p.scdn.co/mp3-preview/a887493b2a5995230f606074a43f14a9410f9be6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:padishahpiper","2018-06-11T00:09:05Z"
"spotify:track:3MXA2BkBk0lSuMpRoM7SK2","The Trooper - 1998 Remastered Version","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:1CmH2OG9IxRZTtmMXFlVoh","Piece of Mind (1998 Remastered Version)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1983","https://i.scdn.co/image/ab67616d0000b273b5cdcf1ef2e36735fdfd4185","1","5","250946","","false","0","spotify:user:padishahpiper","2018-06-11T16:47:10Z"
"spotify:track:08mG3Y1vljYA6bvDt4Wqkj","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6mUdeDZCsExyJLMdAfDuwh","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1980-07-25","https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae","1","6","255493","https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","spotify:user:padishahpiper","2018-06-11T16:47:40Z"
