"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:13CtMmnEyGZ15US2ZfW662","Pinion","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:4jyWDa1yM9ul7zgUdR80hw","Broken","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992-09-22","https://i.scdn.co/image/ab67616d0000b273f1234cfed5f06fd58e76b06f","1","1","63160","https://p.scdn.co/mp3-preview/0fe42a72c21d5749e424c197b119b44d29f4f188?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:0XfNjyJcb7d2ZAscVM4K7J","Wish","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:4jyWDa1yM9ul7zgUdR80hw","Broken","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992-09-22","https://i.scdn.co/image/ab67616d0000b273f1234cfed5f06fd58e76b06f","1","2","226733","https://p.scdn.co/mp3-preview/bb438de504cb7f69831b397eb6f035dc92dafca6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:0vyoxWYsDYduwnYuiEHOZg","Last","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:4jyWDa1yM9ul7zgUdR80hw","Broken","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992-09-22","https://i.scdn.co/image/ab67616d0000b273f1234cfed5f06fd58e76b06f","1","3","284573","https://p.scdn.co/mp3-preview/ec3d699f6ba9d2e44251b5a1ebcdf1cac053f608?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:6yMnXeUm5aDfY7ZUOYn7XP","Help Me I Am In Hell","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:4jyWDa1yM9ul7zgUdR80hw","Broken","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992-09-22","https://i.scdn.co/image/ab67616d0000b273f1234cfed5f06fd58e76b06f","1","4","116200","https://p.scdn.co/mp3-preview/84fdbfe810d38b5a2f5f7e10b7b95465e2fe2a87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:7yBAC2USmpFf3Enqgx0uo7","Happiness In Slavery","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:4jyWDa1yM9ul7zgUdR80hw","Broken","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992-09-22","https://i.scdn.co/image/ab67616d0000b273f1234cfed5f06fd58e76b06f","1","5","321093","https://p.scdn.co/mp3-preview/c096b9aa9a348c3d88d1d868cdd5b99794e07ea6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:4xP6YtLiFJpRUrKwqDPXka","Gave Up","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:4jyWDa1yM9ul7zgUdR80hw","Broken","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992-09-22","https://i.scdn.co/image/ab67616d0000b273f1234cfed5f06fd58e76b06f","1","6","248573","https://p.scdn.co/mp3-preview/170443a26b3d4c9006cd577c6c4dadc75db8e38b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:6zhnqFMuQ8Q2GCY9X89KXb","Physical (You're So)","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:4jyWDa1yM9ul7zgUdR80hw","Broken","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992-09-22","https://i.scdn.co/image/ab67616d0000b273f1234cfed5f06fd58e76b06f","1","7","329866","https://p.scdn.co/mp3-preview/9d260670ef564a2a789668a68f9a689f8060f98b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:4icLrbOnArwJwOp8QQW296","Suck","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:4jyWDa1yM9ul7zgUdR80hw","Broken","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992-09-22","https://i.scdn.co/image/ab67616d0000b273f1234cfed5f06fd58e76b06f","1","8","307866","https://p.scdn.co/mp3-preview/fd4a7739281d03c4a79ab95128dd870d99c89af8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:padishahpiper","2019-04-24T15:41:28Z"
"spotify:track:14DGbWvaU7R21qFDnjzrbv","Gave Up - Remix","spotify:artist:0X380XXQSNBYuleKzav5UO, spotify:artist:7C6ws8gza7vRtbq0jCLgbe, spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Nine Inch Nails, Danny Hyde, Coil","spotify:album:4CIaRRX0HMPdMx73oheVKi","Fixed","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992","https://i.scdn.co/image/ab67616d0000b273603e599d4b70eca69209ef3a","1","1","322466","https://p.scdn.co/mp3-preview/452c665bf6abd492e7b899976fdc9e8588f2fa9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:padishahpiper","2019-04-24T15:41:42Z"
"spotify:track:4OwKkFtE0JD9icsj6c6CqT","Wish - Remix","spotify:artist:0X380XXQSNBYuleKzav5UO, spotify:artist:50ltjTwfFz7h59pSAvxJeB","Nine Inch Nails, JG Thirlwell","spotify:album:4CIaRRX0HMPdMx73oheVKi","Fixed","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992","https://i.scdn.co/image/ab67616d0000b273603e599d4b70eca69209ef3a","1","2","548000","https://p.scdn.co/mp3-preview/6725f2215f4dafcd088ff16e40bc8fc64804c00f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","spotify:user:padishahpiper","2019-04-24T15:41:42Z"
"spotify:track:0dxkPZCp5tPuVuO3EHmxdL","Happiness In Slavery - Remix","spotify:artist:0X380XXQSNBYuleKzav5UO, spotify:artist:0hRijdwO8UsJMudc3476ma, spotify:artist:2Kw2smJMCoi6mk6KbscZG1","Nine Inch Nails, Trent Reznor, Chris Vrenna","spotify:album:4CIaRRX0HMPdMx73oheVKi","Fixed","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1992","https://i.scdn.co/image/ab67616d0000b273603e599d4b70eca69209ef3a","1","3","368800","https://p.scdn.co/mp3-preview/b66d46e24c5c6bbf70997997b074c8daa36c9f10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:padishahpiper","2019-04-24T15:41:42Z"
