"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:31KtddFzLJobEIyxBHT3gS","The Garden Path","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","spotify:album:3JDjkBLJicW3ViAuzVxpvA","The Garden Path","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","2022-02-02","https://i.scdn.co/image/ab67616d0000b27362947c62be024956ae71049b","1","1","400170","https://p.scdn.co/mp3-preview/c7c0a5d4ca2be77e7f993e4e83a387616118222f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2022-02-04T05:01:00Z"
"spotify:track:68bV95MWkeZOcuBMRezls1","Youth","spotify:artist:7sYipTRgDXS2JVOPEhRutx","Portico Quartet","spotify:album:55HaJYtXUgeT4Xs0XHbXGp","Youth","spotify:artist:7sYipTRgDXS2JVOPEhRutx","Portico Quartet","2022-02-02","https://i.scdn.co/image/ab67616d0000b2735d14e12c6dfa1b1b36b08eb6","1","1","308600","https://p.scdn.co/mp3-preview/4b1f12130f8bdd8b81c1b047784b1956d1bbe7d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:","2022-02-11T05:01:00Z"
"spotify:track:4UkcjltzjLVbua3HxEkeMh","Don't Break","spotify:artist:5szMuuBbDzULkagWIfI5LG, spotify:artist:1690TeToK8JkJkZiSu2Ccc","Immanuel Wilkins, Farafina Kan Percussion Ensemble","spotify:album:7yn76R4LCwjYRN8tF45mn2","Don’t Break","spotify:artist:5szMuuBbDzULkagWIfI5LG","Immanuel Wilkins","2022-01-07","https://i.scdn.co/image/ab67616d0000b2730b62cc535bfc44df91ab3b12","1","1","214432","https://p.scdn.co/mp3-preview/9286075537a5de5452fdf519da4d6991e5e9bd47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2022-01-14T21:26:29Z"
"spotify:track:6qKaQAZktNloYhd4BZxFLk","Loping","spotify:artist:26XwWqwNq8FMgZEKqqdU9b, spotify:artist:7z1PSpsIyAeniOOtaQ1iYa, spotify:artist:3Noi5BtszygxpaGkmvSNGv, spotify:artist:1bqaQBqbqbEXPxLF0v6AAH, spotify:artist:02HpkiuAylAwAnQBswaXlP","Walter Smith III, Matthew Stevens, Kris Davis, Dave Holland, Terri Lyne Carrington","spotify:album:47HeBBOOQdUShj9mWPTPiy","Loping","spotify:artist:26XwWqwNq8FMgZEKqqdU9b, spotify:artist:7z1PSpsIyAeniOOtaQ1iYa","Walter Smith III, Matthew Stevens","2022-02-04","https://i.scdn.co/image/ab67616d0000b2736dba62903e05b5e708d705a4","1","1","307055","https://p.scdn.co/mp3-preview/9d1c22cca30387651ce1204c741a6c836f67ce54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2022-02-11T05:01:00Z"
"spotify:track:0X6iM5oQxj3NViTcdGb7vL","Averti Tra Le Braccia","spotify:artist:10fF7C0hOnj8V3lDxH6PQH","Enzo Orefice Trio","spotify:album:45TGcIzgYej61XQD8GaLsW","Averti tra le Braccia","spotify:artist:10fF7C0hOnj8V3lDxH6PQH","Enzo Orefice Trio","2022-01-14","https://i.scdn.co/image/ab67616d0000b273b51d5f7041a2755a5408ec86","1","1","302323","https://p.scdn.co/mp3-preview/cef29601593a31b7d830cfd37f83aaa18e3d1225?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2022-01-21T05:02:00Z"
"spotify:track:50VxERP6MGmAtug4JoYhFw","Nature's Kiss","spotify:artist:4XfIiCq9teZp4gSPE0iYC9, spotify:artist:2Ljy5B4j9O8O3cYwCgcZQI, spotify:artist:2iI13MSOIhXO6Dsfcsxfxo","Matthew Shell, Douglas Lira, Jackie Bertone","spotify:album:6PMSdB8ofYarmEyqWDWtmO","Nature's Kiss","spotify:artist:4XfIiCq9teZp4gSPE0iYC9","Matthew Shell","2022-01-21","https://i.scdn.co/image/ab67616d0000b27375ca2847e134f6a1b0326448","1","1","362848","https://p.scdn.co/mp3-preview/c7ad17bbcf0e04515b7d02c7c797950d192f4bed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2022-02-04T05:01:00Z"
"spotify:track:0wIjLBtF13wkJ5MGPYmFSZ","First Light","spotify:artist:2i1CPudyCUjL50Wqjv8AMI","Alfa Mist","spotify:album:7lQnb1YRhpJnlX86NYqq7N","Two For Mistake","spotify:artist:2i1CPudyCUjL50Wqjv8AMI","Alfa Mist","2021-11-17","https://i.scdn.co/image/ab67616d0000b2733922c2c33e2ff797533901ef","1","1","372548","https://p.scdn.co/mp3-preview/6d0014f4c0f75b96741da706510d575c514ccb50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2021-11-30T18:02:30Z"
"spotify:track:6GEV8VT0VetzFzlGLGYzub","Falling","spotify:artist:56qrzp61GEif1i0UjqkHrz","Melissa Aldana","spotify:album:0N9ntp4Z6FrDf9rWIR0tyc","Falling","spotify:artist:56qrzp61GEif1i0UjqkHrz","Melissa Aldana","2022-01-12","https://i.scdn.co/image/ab67616d0000b273799ba5abbfbdfa2e04d7d95a","1","1","381925","https://p.scdn.co/mp3-preview/929aad4b0c80d1a260770a884a24afb1b13a8bf2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2022-01-21T05:02:00Z"
"spotify:track:2ZLAy0dm2u9NmHSG6dbfNe","Goodbye for Now","spotify:artist:31iZhDu1NFs0PVOnvzAk0t","Nathaniel Cross","spotify:album:6pwCh7X6DU4Kv8qaizQykc","The Description Is Not The Described","spotify:artist:31iZhDu1NFs0PVOnvzAk0t","Nathaniel Cross","2021-06-25","https://i.scdn.co/image/ab67616d0000b273dd98a2d628f4ee203ce6de87","1","1","433160","https://p.scdn.co/mp3-preview/f5d9e126727f68342ce4f26e1317f39436c81a65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2022-02-04T05:01:00Z"
"spotify:track:6YWRBLWUADcq25nQmroCsb","Dance of the Nile - New Young Lions","spotify:artist:6zvf7WeBSm26ESYpE9amLc, spotify:artist:15v2xkHenbZ9l2dURXSnPn, spotify:artist:4FDlrSZ3mEv5Jvn482sCbZ, spotify:artist:0hZXvDnljkma4aThiBMQ6h, spotify:artist:0spbTiThbYmwEMscsGzuoh, spotify:artist:5d6aXYjjVza872kwWoGXFv","Arkadia Jazz All-Stars, T.K. Blue, Stefon Harris, Jeff ""Tain"" Watts, Lonnie Plaxico, James Weidman","spotify:album:2gMautvaUrYZrKkGHD43jK","The New Young Lions of Jazz","spotify:artist:6zvf7WeBSm26ESYpE9amLc, spotify:artist:6xTZJ3wPbBqduZQWHPAoFA, spotify:artist:6aIBBSprVv4xXTT6vzONXU","Arkadia Jazz All-Stars, Joanne Brackeen, Eric Reed","2021-12-03","https://i.scdn.co/image/ab67616d0000b2731820a666f6ffe59da5040f99","1","2","343040","https://p.scdn.co/mp3-preview/df55d153893fb823c8148c31edbe5e544521ea93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:","2022-01-06T15:14:51Z"
