"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7GFkI7nUBlLLEhhF9Uvxc9","PDA","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","spotify:album:3o0yqWz9EsyBSmMFiq6lwl","Turn On The Bright Lights","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","2002-08-20","https://i.scdn.co/image/ab67616d0000b273d3dbd74f07f1b7d86be24cd0","1","4","299773","","false","0","spotify:user:padishahpiper","2019-08-30T15:55:22Z"
"spotify:track:3c6rSVShPJ1e3DYgrUnz2b","Slow Hands","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","spotify:album:35nhRlIbpZLPzGUCnePzow","Antics","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","2004-09-27","https://i.scdn.co/image/ab67616d0000b27304869891f1b8f1dc7db146d5","1","5","184133","","false","0","spotify:user:padishahpiper","2019-08-30T15:55:46Z"
"spotify:track:1waaD2WH1qgcDPVJ3Txsqa","Not Even Jail","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","spotify:album:35nhRlIbpZLPzGUCnePzow","Antics","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","2004-09-27","https://i.scdn.co/image/ab67616d0000b27304869891f1b8f1dc7db146d5","1","6","346626","","false","0","spotify:user:padishahpiper","2019-08-30T15:55:52Z"
"spotify:track:6ooluO7DiEhI1zmK94nRCM","Take Me Out","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","spotify:album:0mUEGMT2YlzCWGeWOJjBKD","Franz Ferdinand","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","2004","https://i.scdn.co/image/ab67616d0000b273bf68b5be16edfc6f489a17d7","1","3","237026","","false","4","spotify:user:padishahpiper","2019-08-30T15:56:29Z"
"spotify:track:7HQLKk3khzRVPSzOzRwFX6","I Was A Lover","spotify:artist:3HJIB8sYPyxrFGuwvKXSLR","TV On The Radio","spotify:album:0DhHH51UpnzqzxrwOwH1HY","Return To Cookie Mountain","spotify:artist:3HJIB8sYPyxrFGuwvKXSLR","TV On The Radio","2006-01-01","https://i.scdn.co/image/ab67616d0000b273d4d1aa5543a58bf29f7f9d44","1","1","261000","","false","0","spotify:user:padishahpiper","2019-08-30T15:57:20Z"
"spotify:track:7FXOSpqXFms6JTeGfaRQua","The Skin of My Yellow Country Teeth","spotify:artist:1jSaZgaKHmgc7VTgML528r","Clap Your Hands Say Yeah","spotify:album:6393kbmZ8NoTl172RKEoCv","Clap Your Hands Say Yeah","spotify:artist:1jSaZgaKHmgc7VTgML528r","Clap Your Hands Say Yeah","2005-10-18","https://i.scdn.co/image/ab67616d0000b273ffc58b9e0f53fb771206d3d4","1","6","343773","","false","0","spotify:user:padishahpiper","2019-08-30T15:58:06Z"
"spotify:track:5PurHGjwfAQel15O4ZIiGu","7/4 (Shoreline)","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","spotify:album:0y7KfUbof07yf2bHFYdPJZ","Broken Social Scene","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","2005-10-11","https://i.scdn.co/image/ab67616d0000b273587227ac29ff1f83ccbd1623","1","3","293840","https://p.scdn.co/mp3-preview/f9eb8306623520ae5dec754662befb1fb712dc14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:padishahpiper","2019-08-30T15:58:38Z"
"spotify:track:508DaBmbskpmQoU11CWhQq","Fire Eye'd Boy","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","spotify:album:0y7KfUbof07yf2bHFYdPJZ","Broken Social Scene","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","2005-10-11","https://i.scdn.co/image/ab67616d0000b273587227ac29ff1f83ccbd1623","1","6","238920","https://p.scdn.co/mp3-preview/50f97c3ae3dcd5e6e96a50f993a4f7a38cf536ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:padishahpiper","2019-08-30T15:58:48Z"
"spotify:track:4wNKEUTSUjX7QOmeV9BP5R","KC Accidental","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","spotify:album:6nL0U84JsEJ0cRsGCnsDnJ","You Forgot It In People","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","2003-03-11","https://i.scdn.co/image/ab67616d0000b27303da841c188eb597c6cf3611","1","2","230773","https://p.scdn.co/mp3-preview/28d7b04083fa1dd876fed826179a0d17272b3637?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:padishahpiper","2019-08-30T15:59:15Z"
"spotify:track:2VGDntFPvgvqSiUf9ITEfW","Someone Great","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:1R8kkopLT4IAxzMMkjic6X","Sound of Silver","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2007-03-12","https://i.scdn.co/image/ab67616d0000b273e6272ad26e7a55bc342a6dd0","1","4","390013","https://p.scdn.co/mp3-preview/8cd01b585be5903f2a9b5740b59ecb3bd9333272?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:padishahpiper","2019-08-30T16:00:05Z"
"spotify:track:2Ud3deeqLAG988pfW0Kwcl","All My Friends","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:1R8kkopLT4IAxzMMkjic6X","Sound of Silver","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2007-03-12","https://i.scdn.co/image/ab67616d0000b273e6272ad26e7a55bc342a6dd0","1","5","462266","https://p.scdn.co/mp3-preview/050eca5f5502ce77a428db59e96fb4aaf5482cc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:padishahpiper","2019-08-30T16:00:11Z"
