"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1gsQmDnyXfq6jPIXYCPKHB","Love Vigilantes - 2015 Remaster","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:6ls958BLJbeFT3OqAYTvQB","Low-Life","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","1985-05-13","https://i.scdn.co/image/ab67616d0000b273d3495c4785236068ebc7fdc8","1","1","259306","https://p.scdn.co/mp3-preview/d7ffcc2ce068c84276eac733cee69fc977ba8ae4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:padishahpiper","2019-03-05T20:13:59Z"
"spotify:track:5JH3r4gIvBbyPSGiXlN0dL","No. One","spotify:artist:0zCGwfjfccjoEE7vorQKy3","Ms. John Soda","spotify:album:1NZ6I91KXlPziKzdBvsNMA","Notes And The Like","spotify:artist:0zCGwfjfccjoEE7vorQKy3","Ms. John Soda","2006-03-03","https://i.scdn.co/image/ab67616d0000b2733edf2f8a8f0701f7d1c8a818","1","5","300440","https://p.scdn.co/mp3-preview/863350b9dfa8fc8745b825d7a75be746a81fa25c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:padishahpiper","2019-03-05T20:14:29Z"
"spotify:track:58TSnL4BqEh8na5mXzPdjX","Goth Star","spotify:artist:5E1yjMbMNS3ghJbXtEvQCe","Pictureplane","spotify:album:5oE9wrUuaDs1IMFB9Qzbr6","Dark Rift","spotify:artist:5E1yjMbMNS3ghJbXtEvQCe","Pictureplane","2009-08-04","https://i.scdn.co/image/ab67616d0000b273227d28f3b8abd15ccb17dce1","1","6","199000","","false","0","spotify:user:padishahpiper","2019-03-05T20:14:46Z"
"spotify:track:6omXPpAJH4ap2jMGPqjv0C","Disco Infiltrator","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:6aSk2vxoY3xtz7cXKuY9EL","LCD Soundsystem","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2005-01-24","https://i.scdn.co/image/ab67616d0000b27375ec666254c50336a378ad01","1","8","296026","https://p.scdn.co/mp3-preview/854df7e9344e2b7cf615fc8efe1b4935afc3c85d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:padishahpiper","2019-03-05T20:15:34Z"
"spotify:track:64FQId1zlu45pAoH4gXvAu","Dreambender","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:3HR1jXEtOCeikUAd3fNiWq","In Decay","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2012-07-16","https://i.scdn.co/image/ab67616d0000b273955ae0de4ebdbeda809e0185","1","3","260000","","false","0","spotify:user:padishahpiper","2019-03-05T20:16:10Z"
"spotify:track:6JQFuxLwhvtHRmRMebgiLB","Silent Shout","spotify:artist:7eQZTqEMozBcuSubfu52i4","The Knife","spotify:album:6rdNbdV3T4muFFFSjGdOj9","Silent Shout","spotify:artist:7eQZTqEMozBcuSubfu52i4","The Knife","2006-02-17","https://i.scdn.co/image/ab67616d0000b2735222ee4ec91edccef625de52","1","1","293626","https://p.scdn.co/mp3-preview/c715205c1b65246c970d2b86a71b2de0588f964c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:padishahpiper","2019-03-05T20:16:42Z"
"spotify:track:5QmolkpuE6IfPdr7j2MGn5","Celestica","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","spotify:album:37TeO5usN4vsGSfpg4dPNA","(II)","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","2011-01-01","https://i.scdn.co/image/ab67616d0000b2735ac6226a668978bf43185e97","1","2","228400","https://p.scdn.co/mp3-preview/7a3f87f2abe957312211f3335346cdfd1e32666d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2019-03-05T20:17:18Z"
"spotify:track:2WKUlNDPcUrsF2VT123EkL","A Final Warning","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","spotify:album:13brYST7qYGqqnn0yqt1ga","The Milk of Human Kindness","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","2005-04-18","https://i.scdn.co/image/ab67616d0000b2730b253dbd02e0bf37962d4ea8","1","3","435373","","false","0","spotify:user:padishahpiper","2019-03-05T22:36:38Z"
"spotify:track:5C6BbrGRGOzcadaqXwLhm5","We Work Nights","spotify:artist:6xS3zemJD9h94iueQvGqVk","Gold Panda","spotify:album:3QmT8WQ85Sc0bqkM0VAONw","Half Of Where You Live","spotify:artist:6xS3zemJD9h94iueQvGqVk","Gold Panda","2013-09-09","https://i.scdn.co/image/ab67616d0000b273b2ec33f7a81b1b31f4826b44","1","7","357773","","false","0","spotify:user:padishahpiper","2019-03-05T22:37:57Z"
"spotify:track:3FUq5TseOjqUU4RXbO2y66","In The Morning","spotify:artist:39x9e2QDpAxK8xTuJDwRqR","Junior Boys","spotify:album:2SK0Fk4qGuZiDRBNEiPg8e","So This Is Goodbye","spotify:artist:39x9e2QDpAxK8xTuJDwRqR","Junior Boys","2006-09-12","https://i.scdn.co/image/ab67616d0000b2737b684bc2b5e3f4aa816cef89","1","5","286093","https://p.scdn.co/mp3-preview/012ba46d7f432688961b0d5fcb3c035f81ff5b4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:padishahpiper","2019-03-05T22:38:15Z"
"spotify:track:6OI4SUhPhLFQva56RiB1oM","Scan The Ways","spotify:artist:0zCGwfjfccjoEE7vorQKy3","Ms. John Soda","spotify:album:1NZ6I91KXlPziKzdBvsNMA","Notes And The Like","spotify:artist:0zCGwfjfccjoEE7vorQKy3","Ms. John Soda","2006-03-03","https://i.scdn.co/image/ab67616d0000b2733edf2f8a8f0701f7d1c8a818","1","3","203800","https://p.scdn.co/mp3-preview/3902ec62335db9f245350aff8337a2927dcae48b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:padishahpiper","2019-03-05T22:38:56Z"
