"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3kKVqFF4pv4EXeQe428zl2","Protection","spotify:artist:6FXMGgJwohJLUSr5nVlf9X, spotify:artist:7xFnmid57ZE6iWEXdEXO3b","Massive Attack, Tracey Thorn","spotify:album:5CnZjFfPDmxOX7KnWLLqpC","Protection","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1994-09-26","https://i.scdn.co/image/ab67616d0000b273b129ba321c1903f9990a2612","1","1","471560","https://p.scdn.co/mp3-preview/e89d80ec279064d804d5f89b825ce7906136e318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:padishahpiper","2020-04-07T16:16:22Z"
"spotify:track:68oUQRwGJGExtkpaSvSbgb","Glory Box","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3gxOtUSRzweDWBKlpj7cG6","Dummy (Non UK Version)","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1994-01-01","https://i.scdn.co/image/ab67616d0000b273573cff1d3368acdb113f24a9","1","11","305560","","false","0","spotify:user:padishahpiper","2020-04-07T16:15:06Z"
"spotify:track:3USAAb0W0n99SOensmme2D","Ponderosa","spotify:artist:6hhA8TKRNryM8FNzqCqdDO","Tricky","spotify:album:7qlZpMib7D0riFPQ5JHDT8","Maxinquaye","spotify:artist:6hhA8TKRNryM8FNzqCqdDO","Tricky","1995-01-01","https://i.scdn.co/image/ab67616d0000b273032e395e4a79caf92cc924c9","1","2","210533","https://p.scdn.co/mp3-preview/760b7b3ac141478168ee9d3f6400de9e0e954148?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:padishahpiper","2020-04-07T16:21:26Z"
"spotify:track:7KvSuH86lIT2aTl9PBCAfd","6 Underground","spotify:artist:1EJWNhiYbOyeUHbsS7Kp1P","Sneaker Pimps","spotify:album:74nAYi5aVDBdb5jGx8OM7s","Becoming X","spotify:artist:1EJWNhiYbOyeUHbsS7Kp1P","Sneaker Pimps","1996-08-18","https://i.scdn.co/image/ab67616d0000b273332e80447a4ddc2843ea332a","1","3","228840","https://p.scdn.co/mp3-preview/84a4541a805a031dad534defcafe8ab3797ad9d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:padishahpiper","2020-04-07T16:19:17Z"
"spotify:track:0uKrhHBDUQ4w5fv4qwOubP","Breathe","spotify:artist:3aKCo8gLJfuPYtr88aWKjF, spotify:artist:5AlIxbb8HarTSm2tdA5F0x","Télépopmusik, Angela McCluskey","spotify:album:1H10CTGW4xbk0IQewKbK50","Genetic World","spotify:artist:3aKCo8gLJfuPYtr88aWKjF","Télépopmusik","2001-01-01","https://i.scdn.co/image/ab67616d0000b273c65b1f9d6ca322de8b85c505","1","1","282240","https://p.scdn.co/mp3-preview/0722f495a8542072259dee8ce902c9c03136039c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:padishahpiper","2020-04-09T16:35:39Z"
"spotify:track:67Hna13dNDkZvBpTXRIaOJ","Teardrop","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","3","330773","https://p.scdn.co/mp3-preview/7b9c22dbd27bd948cb6a515bb79c19f1e73ffe1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:padishahpiper","2020-04-07T16:15:24Z"
"spotify:track:413DSZdM15Uz3oHHLycuKK","Christiansands","spotify:artist:6hhA8TKRNryM8FNzqCqdDO","Tricky","spotify:album:540zw9ShTu9bsY984xS3Hu","Pre Millennium Tension","spotify:artist:6hhA8TKRNryM8FNzqCqdDO","Tricky","1996-01-01","https://i.scdn.co/image/ab67616d0000b273c0556a6bd8647b2475abbecd","1","2","232160","https://p.scdn.co/mp3-preview/6e377f207ed49f522df0b1ab3b20a33d6e321507?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:padishahpiper","2020-04-07T16:21:18Z"
"spotify:track:1iMiDCOk9e2yxwaM38Z346","Radiation Ruling The Nation (Protection)","spotify:artist:6c7VejnIDA3cyB9gBPbx6f","Massive Attack Vs. Mad Professor","spotify:album:31m3CasBlRFcf8exTSkM1r","No Protection","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1995-02-17","https://i.scdn.co/image/ab67616d0000b273960a13893fba161b3f0339e8","1","1","515106","https://p.scdn.co/mp3-preview/2c5643d83a8eee23211b9870de949afde84c2690?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:padishahpiper","2020-04-07T16:24:49Z"
"spotify:track:74LWS5C11wy23kIKKaM3t4","She Cries Your Name - 2008 Remastered Version","spotify:artist:6cLEWhEKQl6nAvgr60M7zC, spotify:artist:1PD6xxPwlNBAewjvADEgYt","Beth Orton, Victor Van Vught","spotify:album:76x7cewoq49tgFcbjEeSmY","Trailer Park","spotify:artist:6cLEWhEKQl6nAvgr60M7zC","Beth Orton","2009-03-09","https://i.scdn.co/image/ab67616d0000b273c692c0e5ad4c805ade3a42be","1","1","287626","https://p.scdn.co/mp3-preview/6c4d0df608fc6daa8677b34a7b1e43fde7a52145?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:padishahpiper","2020-04-08T22:01:17Z"
"spotify:track:66KcXPDs1hr8T06KvlJCeA","Lebanese Blonde","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","spotify:album:2CPYbHU0udS9tbx8PmBEV2","The Mirror Conspiracy","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","2000-08-09","https://i.scdn.co/image/ab67616d0000b273e61e33f9dedd11b81b1d08d3","1","4","288826","https://p.scdn.co/mp3-preview/74f8c264347d366ea0e2bdf3fb18b34eb9a51a44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2020-04-08T16:29:49Z"
