"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4m3OS54KWywYhP7WD7z1cg","Life in a Northern Town","spotify:artist:1JVoO5bwfU8GNuAZLpBoHe","The Dream Academy","spotify:album:3T77PrRnq17gBhcctDtDC1","The Dream Academy","spotify:artist:1JVoO5bwfU8GNuAZLpBoHe","The Dream Academy","1985","https://i.scdn.co/image/ab67616d0000b27365ad3497dc02a54091a7c6db","1","1","259293","https://p.scdn.co/mp3-preview/87300f47a8efac55c26eac37e9a935d451834c21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:padishahpiper","2019-10-19T01:20:17Z"
"spotify:track:1RCtHLyq1xIbgGMrYRrKJ2","Under the Milky Way","spotify:artist:2ZfogSsOWP4mVfEqfpLXCt","The Church","spotify:album:3gz1CZk5wFg2inBuUWDa8x","Starfish","spotify:artist:2ZfogSsOWP4mVfEqfpLXCt","The Church","1988-02-16","https://i.scdn.co/image/ab67616d0000b2734b75b4c598bbf7c852d3b3fe","1","2","297600","https://p.scdn.co/mp3-preview/c67199a820456dffacb2c8911cb51f054dcaab39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:padishahpiper","2019-10-19T01:22:57Z"
"spotify:track:7zSAI7Ae6DPVepN8MksKVZ","Space Age Love Song","spotify:artist:0uAjBatvB4ubpd4kCfjmNt","A Flock Of Seagulls","spotify:album:48ajNqhmdKrGVwJo0UGMiV","We Are The '80s","spotify:artist:0uAjBatvB4ubpd4kCfjmNt","A Flock Of Seagulls","1981","https://i.scdn.co/image/ab67616d0000b273b3704cb907f6638aeed16abf","1","2","226693","https://p.scdn.co/mp3-preview/29221d35a5f6c95c476c6f51b4ec317774c9f7d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:padishahpiper","2019-10-19T01:23:34Z"
"spotify:track:0ZYf6N5eBeXStMri0mf3DZ","Voices Carry","spotify:artist:1L0y9srZMyh9XUnYGv37IP","'Til Tuesday","spotify:album:1y4s0JN8CQMRwPTJ64jCUp","Voices Carry (Expanded Edition)","spotify:artist:1L0y9srZMyh9XUnYGv37IP","'Til Tuesday","1985-06-01","https://i.scdn.co/image/ab67616d0000b27322dc4d39d74c4c541f495103","1","5","263573","https://p.scdn.co/mp3-preview/ab6c5ad653b722f44b004f25f7ec6a8c0da7a66d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:padishahpiper","2019-10-19T01:23:36Z"
"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Everybody Wants To Rule The World","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","spotify:album:3myPwaMYjdwhtq0nFgeG6W","Songs From The Big Chair (Super Deluxe Edition)","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","1985-02-25","https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235","1","3","251488","https://p.scdn.co/mp3-preview/d7cb27def7ab1ef7f69317dfed0ba6620bd476d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","spotify:user:padishahpiper","2019-10-19T01:23:39Z"
"spotify:track:4aWn4NHlELpOehxsBaQeoe","Don't You (Forget About Me)","spotify:artist:6hN9F0iuULZYWXppob22Aj","Simple Minds","spotify:album:2H2eNZClayR5jbgBa2iZx1","Once Upon A Time (Deluxe)","spotify:artist:6hN9F0iuULZYWXppob22Aj","Simple Minds","1985","https://i.scdn.co/image/ab67616d0000b2733cfeb0dcffd952b5bfb3e434","2","1","263040","","false","0","spotify:user:padishahpiper","2019-10-19T01:23:42Z"
"spotify:track:3Oa8vnNXStoOHLbJwwMEDP","Lips Like Sugar","spotify:artist:0fgYKF9Avljex0L9Wt5b8Z","Echo & the Bunnymen","spotify:album:6HvylYOCXVdHFtpODOiQCo","Echo & The Bunnymen","spotify:artist:0fgYKF9Avljex0L9Wt5b8Z","Echo & the Bunnymen","1987-07-06","https://i.scdn.co/image/ab67616d0000b27368bd6aaa6e1bf0efcdb43ba8","1","6","291866","https://p.scdn.co/mp3-preview/097fd1c00a26304732de7a2d2311c34546a358ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:padishahpiper","2019-10-19T01:23:57Z"
"spotify:track:1YrnDTqvcnUKxAIeXyaEmU","How Soon Is Now? - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:1j57Q5ntVi7crpibb0h4sv","Hatful of Hollow","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984","https://i.scdn.co/image/ab67616d0000b273786b44c75ebf915866523f5b","1","5","408173","https://p.scdn.co/mp3-preview/6dd06be4bed3d138430e56d74cb7c5ebad671e1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:padishahpiper","2019-10-19T01:24:02Z"
"spotify:track:5lwQGZYF4BXOzFtXc5zk8q","Head Over Heels - Dave Bascombe 7"" N.Mix","spotify:artist:4bthk9UfsYUYdcFyqxmSUU, spotify:artist:3pAVaThptde5bneOqDfY1I","Tears For Fears, Dave Bascombe","spotify:album:06J93pgtDCUw6bsAQINhCs","Songs From The Big Chair (Deluxe)","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","1985-02-25","https://i.scdn.co/image/ab67616d0000b27306b6bd6a604768e044abbd38","2","5","257315","https://p.scdn.co/mp3-preview/7f0ede9fcdce7eb6cec9aea4de79d5d874ecc3f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:padishahpiper","2019-10-19T01:24:07Z"
"spotify:track:4ijNab1GM0JSZoe0I2KCOd","Cuts You Up","spotify:artist:7zeHJIIfNStVfxlbT72UwY","Peter Murphy","spotify:album:4evNdyZjrJGLHWf2azyaCh","Deep","spotify:artist:7zeHJIIfNStVfxlbT72UwY","Peter Murphy","1989-05-01","https://i.scdn.co/image/ab67616d0000b2732ade1c496bf29c2376688387","1","7","327133","","false","0","spotify:user:padishahpiper","2019-10-19T01:24:11Z"
