"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3jOe76pBf4aoLVSvggBjFJ","A Telegram From The Future","spotify:artist:0uGyANcZgkWGgDptMyfBHt","The Russian Futurists","spotify:album:2Xs1KpHmSlLIcnoiC8Irza","Let's Get Ready To Crumble","spotify:artist:0uGyANcZgkWGgDptMyfBHt","The Russian Futurists","2002","https://i.scdn.co/image/ab67616d0000b273468b5797e85547037c803481","1","5","225200","","false","0","spotify:user:padishahpiper","2019-08-30T17:10:39Z"
"spotify:track:4y7VfYUU5OW8Q2VAQMPgr4","Teen Angst","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","spotify:album:3l2yrGYoorWgamklnDhnQ1","Before The Dawn Heals Us","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","2005","https://i.scdn.co/image/ab67616d0000b273f663f77fb3176051ffd27038","1","8","302800","https://p.scdn.co/mp3-preview/2990e8fc89cbf3aec2877a69b4ccba525e80feee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:padishahpiper","2019-08-30T16:53:07Z"
"spotify:track:1VTbTYOOhkD7ZpdI39sgV0","Bboy","spotify:artist:6qJSWLT4bvL49hEyXxc3G9","The Hidden Cameras","spotify:album:3XeTzx0BHwZMXpKR0vkYmz","Mississauga Goddam","spotify:artist:6qJSWLT4bvL49hEyXxc3G9","The Hidden Cameras","2004-10-01","https://i.scdn.co/image/ab67616d0000b27395a78f6ab9b27e32bc7d3c84","1","8","162426","","false","0","spotify:user:padishahpiper","2019-08-30T16:51:18Z"
"spotify:track:1mS5iPeIAMITH5U1kcB4MO","Staring at the Sun","spotify:artist:3HJIB8sYPyxrFGuwvKXSLR","TV On The Radio","spotify:album:1Yyd14ATTmUP17KCtUYgLg","Desperate Youth, Blood Thirsty Babes","spotify:artist:3HJIB8sYPyxrFGuwvKXSLR","TV On The Radio","2004-03-09","https://i.scdn.co/image/ab67616d0000b273130b84e73557bb38296712cc","1","2","206986","","false","1","spotify:user:padishahpiper","2019-09-01T20:33:53Z"
"spotify:track:1CQJ9u2ktQMQILsvB7b6NQ","Red, White & Blonde","spotify:artist:2DB2QfgW2GhDAsS0J3mtGn","Subtle","spotify:album:24bsS8qSdJVd6zH3WB9Fmg","A New White","spotify:artist:2DB2QfgW2GhDAsS0J3mtGn","Subtle","2004-10-04","https://i.scdn.co/image/ab67616d0000b273fe56bfcf6907cdf3b8595575","1","4","198240","","false","2","spotify:user:padishahpiper","2019-08-30T17:06:12Z"
"spotify:track:3DM7oKzStq9uA4M2RTsKpj","Salvador Sanchez","spotify:artist:4G0XDEk7RbA4BBCTs917U9","Sun Kil Moon","spotify:album:1JpwFoxVVutPXtSBohj0rJ","Ghosts of the Great Highway","spotify:artist:4G0XDEk7RbA4BBCTs917U9","Sun Kil Moon","2003-11-04","https://i.scdn.co/image/ab67616d0000b2739eb39412ac03eb70cd2a8ddc","1","3","389613","https://p.scdn.co/mp3-preview/8eb78d9ef9de26c36c79a0a9978df6826e1a3ad8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:padishahpiper","2020-02-05T22:32:35Z"
"spotify:track:1GpayphhLDg9GCsBR48axO","*","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","spotify:album:3l2yrGYoorWgamklnDhnQ1","Before The Dawn Heals Us","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","2005","https://i.scdn.co/image/ab67616d0000b273f663f77fb3176051ffd27038","1","6","162800","https://p.scdn.co/mp3-preview/c4146807915e5c790149ad03baf317dc10bf6804?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:padishahpiper","2019-08-30T16:53:00Z"
"spotify:track:1kAZE1Wtwg8sd7lCyLUweb","Neighborhood #3 (Power Out)","spotify:artist:3kjuyTCjPG1WMFCiyc5IuB","Arcade Fire","spotify:album:6ZB8qaR9JNuS0Q0bG1nbcH","Funeral","spotify:artist:3kjuyTCjPG1WMFCiyc5IuB","Arcade Fire","2004-06-16","https://i.scdn.co/image/ab67616d0000b2737870762a58313ad6f981d664","1","4","312906","https://p.scdn.co/mp3-preview/cd54f4011a1597853a61aa7f3967d57b096d4fd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:padishahpiper","2019-09-01T20:07:43Z"
"spotify:track:77SPrxY5gn6VPrKPGrfLnM","There, There","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:1oW3v5Har9mvXnGk0x4fHm","Hail To the Thief","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2003","https://i.scdn.co/image/ab67616d0000b27395347e34e39c67bbf9f36c49","1","9","323600","","false","0","spotify:user:padishahpiper","2019-09-01T20:00:20Z"
"spotify:track:4EwNG7uCvLEm5a6KgerCHf","Maps","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","spotify:album:23YpPKzhIwTKxe3xnc1dbz","Fever To Tell (Explicit Version)","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","2003-04-29","https://i.scdn.co/image/ab67616d0000b273f6dff13d518a61cf81d0ff4f","1","9","219760","","false","0","spotify:user:padishahpiper","2019-09-01T20:14:02Z"
