"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5Xm6mv7AwiWssTaG6FMX6M","III (feat. Lotte Kestner)","spotify:artist:0dU2EKM6vca3xmJ9kl8zoI","Blue Sky Black Death","spotify:album:0iH7PZv4zMN20pkICUanYm","Glaciers","spotify:artist:0dU2EKM6vca3xmJ9kl8zoI","Blue Sky Black Death","2013-10-01","https://i.scdn.co/image/ab67616d0000b273b9ae374b5b4e155d39178220","1","3","806613","","false","0","spotify:user:padishahpiper","2018-06-25T21:47:26Z"
"spotify:track:6SUmTySwk1PSvZisANfr78","Haze","spotify:artist:6n1fB5NgTsFNdT4JHpVMe1","AES DANA","spotify:album:3Df4rlp5voh0pfpjfIfmvy","Memory Shell","spotify:artist:6n1fB5NgTsFNdT4JHpVMe1","AES DANA","2016-01-19","https://i.scdn.co/image/ab67616d0000b27361f688dc8eee831b8951fd22","1","6","446757","","false","0","spotify:user:padishahpiper","2018-06-25T21:48:47Z"
"spotify:track:1FjPdZtodJFUZJfWTeeIMx","Elixir","spotify:artist:3PHeRud25vIfvIChlwBMlC","Sorrow","spotify:album:2eQ3rM5uyU6AUoAgrstFsH","Dreamstone","spotify:artist:3PHeRud25vIfvIChlwBMlC","Sorrow","2013-06-11","https://i.scdn.co/image/ab67616d0000b273de438752ef209a30751cef2a","1","1","286666","https://p.scdn.co/mp3-preview/ebec9353c6913915ac9523a65795789f51e6abe6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:padishahpiper","2018-06-25T21:49:20Z"
"spotify:track:4SIShpnsc4IJRgwXhPxKEp","Window Seat","spotify:artist:1r1cn1uejHtdYt3VJ95duD, spotify:artist:6fy0RqV5OGAoGKVtbEvW6T","ID3, Soundmouse","spotify:album:4izUDACft967s6PF9wNCBe","Window Seat - EP","spotify:artist:1r1cn1uejHtdYt3VJ95duD","ID3","2012-11-20","https://i.scdn.co/image/ab67616d0000b2733b9e2dcc776e809e994dd49d","1","3","354206","https://p.scdn.co/mp3-preview/edd1a0b232af3b6b2d6d5c3063ce1ffb4d3905c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:padishahpiper","2018-06-25T21:49:50Z"
"spotify:track:1wLvKHWG0spGUz4ac28dCE","Beside Me","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","spotify:album:6A8GlBEC9g74vIe3uKc8a8","Everything Could Be Fine","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","2011-03-14","https://i.scdn.co/image/ab67616d0000b27349f060f6c874394f892595db","1","1","189714","https://p.scdn.co/mp3-preview/63d8dbdf3e45e3bc12bb760b1fc02662f96c0066?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:padishahpiper","2018-06-25T21:50:24Z"
"spotify:track:36tGMdG9ycbDfTa2w5I8Vh","As Long as I Can Hold My Breath","spotify:artist:3uOCouLFR4bVx0XeiQJSbl","Harold Budd","spotify:album:74U382QRUWf0vA9PaBnZW6","Avalon Sutra","spotify:artist:3uOCouLFR4bVx0XeiQJSbl","Harold Budd","2005-01-18","https://i.scdn.co/image/ab67616d0000b273477aa29b9c228b3e831eb153","1","14","225080","https://p.scdn.co/mp3-preview/282e02ac14d63ce8c23ccacf1b1d404b873e3725?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:padishahpiper","2018-06-25T21:51:14Z"
"spotify:track:15j4iuXi1OZfSBKmaVTeN7","If Rah","spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa","Underworld","spotify:album:1QYq1fGyMvbGtvEla84FtC","Barbara Barbara, we face a shining future","spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa","Underworld","2016-03-19","https://i.scdn.co/image/ab67616d0000b273cf5cdbf0397a8a71c9fd0395","1","2","432933","https://p.scdn.co/mp3-preview/b9c72a46218df9125616e26131773a202cc9c80b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:padishahpiper","2018-06-25T21:51:42Z"
"spotify:track:1Nk1awPkxV6x1r9ZKH6gej","Asleep","spotify:artist:3GopsVcnzdMhVAvWCzfFLv","Rumpistol","spotify:album:1fhYyH2CJBo5RCrMyUzskl","Away","spotify:artist:3GopsVcnzdMhVAvWCzfFLv","Rumpistol","2014-02-17","https://i.scdn.co/image/ab67616d0000b2733e3851e7626813d8a864137c","1","5","373073","https://p.scdn.co/mp3-preview/23c6a50f842bf2187f8292b102e5c52980b62784?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:padishahpiper","2018-06-25T21:52:19Z"
"spotify:track:1ZOO1cMEMpNuDQbMSjxHec","Colour Show","spotify:artist:6BKSRVMfQ6Aeux4rKG1h9H","Ambassadeurs","spotify:album:4pleVpVs22RlIOHdoB3YdQ","Trouble","spotify:artist:6BKSRVMfQ6Aeux4rKG1h9H","Ambassadeurs","2013-07-08","https://i.scdn.co/image/ab67616d0000b27397b620a69e29d0410e6b207e","1","3","302707","https://p.scdn.co/mp3-preview/cc2db64d5132b1fa704f296aa0bdcd39884232f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:padishahpiper","2018-06-25T21:52:51Z"
"spotify:track:3bT4VIeqQHDEEMg609pwH6","Conflict","spotify:artist:6gzITPJM4n9i5DPaTbPiel","Different Sleep","spotify:album:3icQbLnnbxO658Qq4TjhJd","Conflict EP","spotify:artist:6gzITPJM4n9i5DPaTbPiel","Different Sleep","2014-04-21","https://i.scdn.co/image/ab67616d0000b273545573b78002177420299d59","1","1","225000","","false","0","spotify:user:padishahpiper","2018-06-25T21:53:43Z"
