"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:71OeleUvvObLd3jnN8DhwU","Headhunter V1.0","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","spotify:album:4UEBO0etZ0ZezM8NG0cIvB","FRONT BY FRONT","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","1988","https://i.scdn.co/image/ab67616d0000b273d420efcc876363268477085b","1","11","301240","","false","0","spotify:user:padishahpiper","2018-09-17T16:19:42Z"
"spotify:track:34vs8Nv1UbY63eWgMR1Tb2","Join In The Chant","spotify:artist:7EnAgffrVyerTWH628TJ6f","Nitzer Ebb","spotify:album:7wm0bknBmCO7Ienh7plPz4","That Total Age","spotify:artist:7EnAgffrVyerTWH628TJ6f","Nitzer Ebb","1987-05-11","https://i.scdn.co/image/ab67616d0000b273538a6a4f4649538a435f3611","1","5","365706","https://p.scdn.co/mp3-preview/7a3379289abf61fa6db2fe190b718cb243261ec2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:padishahpiper","2018-09-17T16:19:51Z"
"spotify:track:2D9q6ht41Hrpq6k8Jm3ev3","Mindphaser","spotify:artist:5QYAExYvxixCVwX70SRf7F","Front Line Assembly","spotify:album:2ChE6CV6W0gMfRTwjbeGT2","Reclamation","spotify:artist:5QYAExYvxixCVwX70SRf7F","Front Line Assembly","1997-10-20","https://i.scdn.co/image/ab67616d0000b2738e19cfb21a93a70b52fa73a4","1","10","404466","https://p.scdn.co/mp3-preview/534c22e317e135e3bc43487a58d3158ba8f36be3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:padishahpiper","2018-09-17T16:20:15Z"
"spotify:track:0Vcpo9El50PNNbZXfKbNti","Just One Fix","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:2wz3P1w89gQd3iXdmF1IA5","KE*A*H** (Psalm 69)","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1992-07-10","https://i.scdn.co/image/ab67616d0000b27390edd2885a4865e0a4bf6f3c","1","2","310293","https://p.scdn.co/mp3-preview/4563a09aa2d928eb203db6845036b3cfa49cb025?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2018-09-17T16:24:25Z"
"spotify:track:1oa7FftQZhcJfYYnfH5Rlz","Murderous","spotify:artist:7EnAgffrVyerTWH628TJ6f","Nitzer Ebb","spotify:album:7wm0bknBmCO7Ienh7plPz4","That Total Age","spotify:artist:7EnAgffrVyerTWH628TJ6f","Nitzer Ebb","1987-05-11","https://i.scdn.co/image/ab67616d0000b273538a6a4f4649538a435f3611","1","3","343493","https://p.scdn.co/mp3-preview/7e0d49006bb08f8ed4165c252ce77225f82059c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:padishahpiper","2018-09-17T16:20:56Z"
"spotify:track:2bUUMb6Xo8G1hhBjzXlb5b","I Sit on Acid","spotify:artist:3O3qPC1hmSp7442HYefx5w","Lords Of Acid","spotify:album:568RScapveqsGN0tCmoUKu","Lust (Special Remastered Band Edition)","spotify:artist:3O3qPC1hmSp7442HYefx5w","Lords Of Acid","2017-04-28","https://i.scdn.co/image/ab67616d0000b2731cda63e3ecb0f3f8781c9000","1","5","352586","https://p.scdn.co/mp3-preview/c9056f14884f0d0f486c1b974822f01796bbce42?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","spotify:user:padishahpiper","2018-09-17T16:28:53Z"
"spotify:track:0eBlkkenpIUKzDHQJihrRG","Control I'm Here","spotify:artist:7EnAgffrVyerTWH628TJ6f","Nitzer Ebb","spotify:album:7bJkNpwROlpNc6olJyvTD2","Belief","spotify:artist:7EnAgffrVyerTWH628TJ6f","Nitzer Ebb","1989","https://i.scdn.co/image/ab67616d0000b27316b80b0e93399b05d5a2baf2","1","3","232800","https://p.scdn.co/mp3-preview/ec876a364f26419dbe14fd86ecb239cf21802e95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:padishahpiper","2018-09-17T16:21:17Z"
"spotify:track:6edjmG40nog79sxCw5gt5X","Over the Shoulder - 12"" Version","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:1CEBvP4PPZatx4SH3vTbm6","Twitch","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1986-03-12","https://i.scdn.co/image/ab67616d0000b27332bedd77641ffd76db066d2a","1","8","407333","https://p.scdn.co/mp3-preview/42bf736c9541301849f76de89ec945983f5468e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:padishahpiper","2018-09-17T16:25:59Z"
"spotify:track:10qpFX1a1nWD2fQd7ZQ34m","Spasmolytic","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","spotify:album:4X1RUkSMSNsqOnk7kcR9d4","Too Dark Park","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","1990","https://i.scdn.co/image/ab67616d0000b2738aebc5ba25fcf2a36195c141","1","3","233906","https://p.scdn.co/mp3-preview/a6beb03e967ee82cfc45a96cf9d640703046c000?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:padishahpiper","2018-09-17T16:30:58Z"
"spotify:track:5gin6bz5GYJbPDPGKdGedx","Psyche-Out","spotify:artist:3AO9jmM1JTooPNcu9tTyZx","Meat Beat Manifesto","spotify:album:4lpzq4yd4oMYDdcIIIS1OB","99%","spotify:artist:3AO9jmM1JTooPNcu9tTyZx","Meat Beat Manifesto","1990","https://i.scdn.co/image/ab67616d0000b2736de38b18303ca76a411b7cbb","1","2","284533","","false","0","spotify:user:padishahpiper","2018-09-25T22:50:12Z"
