"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4YEKwC3ipNg9LdR02OL8h2","Nothing It Can","spotify:artist:592TFYwu9Qb0RC1hKDbX2w","Helios","spotify:album:26bsye3Q78IE7Kees8v8iO","Moiety","spotify:artist:592TFYwu9Qb0RC1hKDbX2w","Helios","2014-05-20","https://i.scdn.co/image/ab67616d0000b2734520d72195eda255994236f8","1","1","287520","https://p.scdn.co/mp3-preview/808d7ab9e37d86bd79834891351a355d3429c543?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:padishahpiper","2018-12-29T02:50:54Z"
"spotify:track:1EKk6Xvei9N9scaQcrax2S","The World Is Our ___","spotify:artist:0MG4LXIw7n4x0wjDc6WYXk","This Will Destroy You","spotify:album:4In2V4QylBdWT8HJ0dLDw5","Young Mountain","spotify:artist:0MG4LXIw7n4x0wjDc6WYXk","This Will Destroy You","2006-06-06","https://i.scdn.co/image/ab67616d0000b27339522c242d7f10c0b80eb9b9","1","2","432306","https://p.scdn.co/mp3-preview/ca130af1ad614d552e62e8142baa9bc77b493c67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:padishahpiper","2018-12-05T20:32:54Z"
"spotify:track:6A50E3zELBlo0491Hv4oZa","Snow And Lights - Remastered","spotify:artist:1uQWmt1OhuHGRKmZ2ZcL6p","Explosions In The Sky","spotify:album:1goXTgNS1FnB8tzwLG2tBM","How Strange, Innocence (Anniversary Edition)","spotify:artist:1uQWmt1OhuHGRKmZ2ZcL6p","Explosions In The Sky","2000-01-17","https://i.scdn.co/image/ab67616d0000b2734e1ed12bd67c0449e9c2698b","1","2","497794","","false","0","spotify:user:padishahpiper","2018-12-05T19:26:23Z"
"spotify:track:7IJsXawsFrWU7KC4Kr7lQy","Darker","spotify:artist:0LVrQUinPUBFvVD5pLqmWY","Doves","spotify:album:6r6uzRPqwBBqajZH3aCzzU","Lost Sides","spotify:artist:0LVrQUinPUBFvVD5pLqmWY","Doves","2000","https://i.scdn.co/image/ab67616d0000b27323276e049d30c626e965132c","1","2","351653","https://p.scdn.co/mp3-preview/899b6df6f0e96293359a1f5d774d0564cd6d92c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:padishahpiper","2018-12-05T19:15:30Z"
"spotify:track:2ZIaH69kaz55RM4Pjx6KXl","Two Thousand and Seventeen","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:74r6JJ97ipO0CREXP9PMqZ","New Energy","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2017-09-29","https://i.scdn.co/image/ab67616d0000b2733f31769b727102837cb32a63","1","2","252255","https://p.scdn.co/mp3-preview/b34e109295596ba611adce3f29ddbc485e2ba777?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:padishahpiper","2018-11-27T17:26:52Z"
"spotify:track:1sotD6Cn8aOtUsL0bd5HTJ","Never Mess With Sunday","spotify:artist:3Gaqw2nGyE7yM3rcRSzE3U","Yppah","spotify:album:61bYJTYERgYGSgFUamgTCa","Ninja Tune XX (Volume 2)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-09-20","https://i.scdn.co/image/ab67616d0000b27348e2a667de482192fddfeae0","1","6","196000","https://p.scdn.co/mp3-preview/8665b599fb5f17d3f3807c8e7d02a1bafeb5cea8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2018-10-30T22:23:22Z"
"spotify:track:6pxWghcPKRSjZPj8Ba9vpB","Satellite Anthem Icarus","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:0wBiN0fKhy0ywx732SpgUs","The Campfire Headphase","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","2005-10-17","https://i.scdn.co/image/ab67616d0000b27375ea8510776626eb920260c5","1","3","364533","https://p.scdn.co/mp3-preview/336afdfc7264781379b2215d69840b9a0ecdfc75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:padishahpiper","2018-10-30T22:20:11Z"
"spotify:track:0dE9ro91KUtV5Xi7bDPy6b","Coastal Brake","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:3I3PmRvn5iFY8i6zzvEcci","Dive","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2011-10-04","https://i.scdn.co/image/ab67616d0000b2736ce6bb858321ae9bbd66d7a2","1","5","334129","","false","3","spotify:user:padishahpiper","2018-10-23T18:21:10Z"
"spotify:track:3CwK0oEtu9bCl0R5nuMzjx","Cyanide Sisters","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:1mh0Y9kHmDJgxVsfsAb6Jt","Cyanide Sisters EP","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2011-01-25","https://i.scdn.co/image/ab67616d0000b2736272670126cc20607a7e1e97","1","1","183609","","false","1","spotify:user:padishahpiper","2018-10-23T18:02:46Z"
"spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE","Aquarium","spotify:artist:0IVapwlnM3dEOiMsHXsghT","Nosaj Thing","spotify:album:3L4wUhGelZ8wyJ13O1jerU","Views/Octopus EP","spotify:artist:0IVapwlnM3dEOiMsHXsghT","Nosaj Thing","2006-01-01","https://i.scdn.co/image/ab67616d0000b273cef7d8e9957c127ef104018a","1","4","184000","https://p.scdn.co/mp3-preview/d087c3c592adbdc613062e9fb94f36e82443ea5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2018-10-23T17:53:35Z"
"spotify:track:5eS6dUL1WjRbAwZqvEBA0H","Ramblin' Man","spotify:artist:5uh8Bhewltd8j0TLZjNImc","Lemon Jelly","spotify:album:1U6K0UZJpqcZjXxoYmF1VQ","Lost Horizons","spotify:artist:5uh8Bhewltd8j0TLZjNImc","Lemon Jelly","2002-10-07","https://i.scdn.co/image/ab67616d0000b273fd11e6e9e48d2d17610e66ec","1","3","426173","","false","0","spotify:user:padishahpiper","2018-10-23T17:52:29Z"
"spotify:track:1WOxGNutRwrbik8BA5f2AY","Immunity","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","spotify:album:1rxWlYQcH945S3jpIMYR35","Immunity","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","2013-06-03","https://i.scdn.co/image/ab67616d0000b273235e762de339c6076aa824dd","1","8","596773","https://p.scdn.co/mp3-preview/5e4f7ff69aed0065c12a7d50e656bc7f2876dbd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:padishahpiper","2018-10-23T17:18:12Z"
"spotify:track:57iDDD9N9tTWe75x6qhStw","Bitter Sweet Symphony","spotify:artist:2cGwlqi3k18jFpUyTrsR84","The Verve","spotify:album:52AeC4gwbxDfFlLHgK1ByD","Urban Hymns (Remastered 2016)","spotify:artist:2cGwlqi3k18jFpUyTrsR84","The Verve","1997-09-29","https://i.scdn.co/image/ab67616d0000b273707d13d3f87652e737e94d45","1","1","357266","https://p.scdn.co/mp3-preview/aef188441bf3447bf2d6144421ce323cb9e71dfa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:padishahpiper","2018-09-11T03:59:16Z"
"spotify:track:0iTpQYzJnYgh7kIxyq8A2O","Two Weeks","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","spotify:album:6FIFqclBriPCb0SjWDaHIk","Veckatimest","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","2009-05-24","https://i.scdn.co/image/ab67616d0000b273f5819f138439b3ac881a2a6b","1","2","243160","https://p.scdn.co/mp3-preview/d7918651392a70a6f338485def1982f1865c23b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:padishahpiper","2018-09-11T03:50:25Z"
"spotify:track:4YFcGTdgmEuw8xTO4XrxbB","Zero - Remastered 2012","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:55RhFRyQFihIyGf61MgcfV","Mellon Collie And The Infinite Sadness (Deluxe Edition)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1995","https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6","1","4","160173","https://p.scdn.co/mp3-preview/dcc8dfc5ca5dd959904d9561e6c7455cbe87ebd2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:padishahpiper","2018-09-11T03:16:33Z"
"spotify:track:5ccbNdMFwRPtzzOkAflQ9Q","Low Tide","spotify:artist:2vsXeWGC8rILp3rpSN2Fyk, spotify:artist:4hZ1Rv9h9Hg7yykRW8d9Gw","ISIS, Aereogramme","spotify:album:3AxEzgmziHeFJakjU2IpMo","In The Fishtank 14","spotify:artist:2vsXeWGC8rILp3rpSN2Fyk, spotify:artist:4hZ1Rv9h9Hg7yykRW8d9Gw","ISIS, Aereogramme","2006-09-25","https://i.scdn.co/image/ab67616d0000b2733a21b73579f7808ff6980f2a","1","1","569000","https://p.scdn.co/mp3-preview/1754b0a81e63b8f24e2641e0ba273ef4a589f1cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:padishahpiper","2018-07-26T22:05:29Z"
"spotify:track:7rbllPSJ7BI3EG6FqxKvgj","Flugufrelsarinn","spotify:artist:6UUrUCIZtQeOf8tC0WuzRy","Sigur Rós","spotify:album:7LKQtdC6uWxqLzSbDonFij","Ágætis Byrjun","spotify:artist:6UUrUCIZtQeOf8tC0WuzRy","Sigur Rós","2000","https://i.scdn.co/image/ab67616d0000b27352ca9c10fcb1c25386d7f585","1","4","468506","","false","0","spotify:user:padishahpiper","2018-07-26T18:02:36Z"
"spotify:track:5154t1ROIfmVpNkIshh7Co","Crazy for You","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:6W9tObSIIqG6yCNAULcbqT","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1996-07-23","https://i.scdn.co/image/ab67616d0000b2732827d57028c36a89a30ff7d6","1","2","359120","https://p.scdn.co/mp3-preview/da875a036f3c85ec2191180666036f617266afa4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:padishahpiper","2018-07-26T17:41:00Z"
"spotify:track:5xh3n7IBWhrn8jhuw3wA8a","Lit","spotify:artist:6X8lhZ7YaRUBlOsOYimlyD","Kiasmos","spotify:album:5M7H7J3LJfIk9zqcDJVi6T","Kiasmos","spotify:artist:6X8lhZ7YaRUBlOsOYimlyD","Kiasmos","2014-10-27","https://i.scdn.co/image/ab67616d0000b2735bc340bc4ea2679a2a54d7d0","1","1","384763","","false","0","spotify:user:padishahpiper","2018-07-13T15:48:04Z"
"spotify:track:5RL7Pq7FlVHDu4ZFivKTeU","Expiration Date","spotify:artist:7bHm3B3jJju0q9FUdOgp3b","Blockhead","spotify:album:21mAEudFPw3salQ2E2Aq7N","Downtown Science","spotify:artist:7bHm3B3jJju0q9FUdOgp3b","Blockhead","2005-10-14","https://i.scdn.co/image/ab67616d0000b273fe7be0e78795db0aa63b21d5","1","1","341986","https://p.scdn.co/mp3-preview/bd490789df74a498ca8d5b18e75ad329746e0ff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:padishahpiper","2018-07-13T15:14:59Z"
"spotify:track:5T5YrHrReAewSmP95yBFyw","Held","spotify:artist:7txCfGfh46OwoUBDPj4HKL","Holy Other","spotify:album:0zrqPKgMkF9bZNNjadfO8d","Held","spotify:artist:7txCfGfh46OwoUBDPj4HKL","Holy Other","2012-08-28","https://i.scdn.co/image/ab67616d0000b2735adfc35d7ecc32e713fbe3b8","1","8","367514","","false","0","spotify:user:padishahpiper","2018-07-13T00:57:50Z"
"spotify:track:2S16GlQ9C2zfan2Fgc9qV2","The Soundless Dawn Came Alive As Cities Began To Mark The Horizon","spotify:artist:4MT9A89Dq8xRJ9hMvvPiJw","Red Sparowes","spotify:album:0q34e94aKywRDNpLbfnUrE","At The Soundless Dawn","spotify:artist:4MT9A89Dq8xRJ9hMvvPiJw","Red Sparowes","2005","https://i.scdn.co/image/ab67616d0000b273fc5d05c40658ebca0cd9a64e","1","3","259066","https://p.scdn.co/mp3-preview/6796b47d9961db7f0e2ac243a820a3b0a72a1039?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:padishahpiper","2018-05-30T20:57:46Z"
"spotify:track:4TUUqHttZS3pBvWGjlzLk6","Ratts Of The Capital","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","spotify:album:1FvIoulivmS5n4Kp3zpBr2","Happy Songs For Happy People","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","2003-05-21","https://i.scdn.co/image/ab67616d0000b273f274ef2c8892ab14c6fc3656","1","6","505413","","false","0","spotify:user:padishahpiper","2018-05-11T17:23:43Z"
"spotify:track:1zbqTlokWQXlVpNkClEpoj","Kinetic 2017","spotify:artist:3csPCeXsj2wezyvkRFzvmV","Orbital","spotify:album:1epMDT7zU6In45wDyj4tQ5","Kinetic 2017","spotify:artist:3csPCeXsj2wezyvkRFzvmV","Orbital","2017-02-03","https://i.scdn.co/image/ab67616d0000b273b9962ad9d5ae35eb2af8eda8","1","1","372173","","false","0","spotify:user:padishahpiper","2018-03-14T22:03:54Z"
"spotify:track:6N759vFYolaNbbdd4As2Wi","Sixtyten","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:1vWnB0hYmluskQuzxwo25a","Music Has The Right To Children","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","1998-04-20","https://i.scdn.co/image/ab67616d0000b2730ddcb1077d30a5ffb59b6864","1","6","348346","https://p.scdn.co/mp3-preview/47107e34a674cb93b17a4fa6b2b9a8aba1d80bcb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:padishahpiper","2018-03-14T21:11:47Z"
"spotify:track:4llDF3RuBQYj2nkjTCJY4w","Quiet","spotify:artist:0MG4LXIw7n4x0wjDc6WYXk","This Will Destroy You","spotify:album:4In2V4QylBdWT8HJ0dLDw5","Young Mountain","spotify:artist:0MG4LXIw7n4x0wjDc6WYXk","This Will Destroy You","2006-06-06","https://i.scdn.co/image/ab67616d0000b27339522c242d7f10c0b80eb9b9","1","1","293173","https://p.scdn.co/mp3-preview/b4b25807374438b34be6b4983237951c15692eae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:padishahpiper","2018-03-11T02:16:07Z"
"spotify:track:4XoQQ9ifs7nN5n2AiyLjC5","40 Days","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:76Yzub5fwYE4eMwcjlzSDd","Souvlaki","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1993","https://i.scdn.co/image/ab67616d0000b2737bf487faab3add8cfad5cb2e","1","3","196266","","false","0","spotify:user:padishahpiper","2018-03-11T02:02:49Z"
"spotify:track:3vNzDPSTgUr1d812rkaCvU","Breadcrumb Trail","spotify:artist:4IwOItqRhsIoRuD5HP4vyC","Slint","spotify:album:0cp3HJ6szImZfnVSPHDqAU","Spiderland","spotify:artist:4IwOItqRhsIoRuD5HP4vyC","Slint","1991-03-15","https://i.scdn.co/image/ab67616d0000b2733c1d085164d95d5bf4c322bb","1","1","355533","","false","2","spotify:user:padishahpiper","2018-03-11T02:02:34Z"
"spotify:track:7FlwylpJSe3ea6m1IrkizS","West End Girls - 2001 Remaster","spotify:artist:2ycnb8Er79LoH2AsR5ldjh","Pet Shop Boys","spotify:album:3rnhCB65fDQFokoeKHmM0F","Please: Further Listening 1984-1986","spotify:artist:2ycnb8Er79LoH2AsR5ldjh","Pet Shop Boys","1986-03-24","https://i.scdn.co/image/ab67616d0000b273421d7e97990720a9d55f67d7","1","2","245360","","false","0","spotify:user:padishahpiper","2018-02-23T20:54:02Z"
