"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1LwP9g1Hjbs64jXM2Qsxry","Just Like Honey","spotify:artist:4rjlerN21ygkIhmUv55irs","The Jesus and Mary Chain","spotify:album:2t1hVEwp82QebO7lq21Vto","Psychocandy (Expanded Version)","spotify:artist:4rjlerN21ygkIhmUv55irs","The Jesus and Mary Chain","1985-11-18","https://i.scdn.co/image/ab67616d0000b2734b5f115b26a0236a4e502eb9","1","1","182493","https://p.scdn.co/mp3-preview/6dc70694b3c70bbd644a7477ae66d154be28ec6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:padishahpiper","2018-08-24T03:24:47Z"
"spotify:track:58AWfmYbSeMywgJtXkey7Q","Vapour Trail - 2001 Remaster","spotify:artist:0WPY9nnBy01s5QOt4o4oQX","Ride","spotify:album:4fW7CblaSvdhPWmcCFgZbQ","Nowhere (Expanded)","spotify:artist:0WPY9nnBy01s5QOt4o4oQX","Ride","1990-10-15","https://i.scdn.co/image/ab67616d0000b273f0e3d47ac6d6d2cbe14cf8f2","1","8","257666","https://p.scdn.co/mp3-preview/b80c1450b985d9ba6aed5bcec8fabb0fc18af382?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:padishahpiper","2018-08-24T03:02:55Z"
"spotify:track:338gPBomyqx33wfeF1AGOd","Girlfriend","spotify:artist:2idymNTKUdnTxforkb12Mw","Matthew Sweet","spotify:album:0SZjTgnyODlELJWopuCt8w","Girlfriend (Legacy Edition)","spotify:artist:2idymNTKUdnTxforkb12Mw","Matthew Sweet","1991","https://i.scdn.co/image/ab67616d0000b27320dd34995f582d7f6ba99c8e","1","3","220000","https://p.scdn.co/mp3-preview/1700e8534f54cf161f3c26a4f790eab281c4e1ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:padishahpiper","2018-08-24T03:36:58Z"
"spotify:track:3vNzDPSTgUr1d812rkaCvU","Breadcrumb Trail","spotify:artist:4IwOItqRhsIoRuD5HP4vyC","Slint","spotify:album:0cp3HJ6szImZfnVSPHDqAU","Spiderland","spotify:artist:4IwOItqRhsIoRuD5HP4vyC","Slint","1991-03-15","https://i.scdn.co/image/ab67616d0000b2733c1d085164d95d5bf4c322bb","1","1","355533","","false","2","spotify:user:padishahpiper","2018-08-24T02:53:42Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/c3e2e9a753345c0a10fbc6dedc8d097ad905d085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:padishahpiper","2018-08-24T02:59:38Z"
"spotify:track:2RG3KoPJ4OUk9wR3rNsojK","Belong","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:6yEuIwTQpciH1qtj7mP5GK","Out Of Time (25th Anniversary Edition)","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1991-03-12","https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd","1","7","246546","https://p.scdn.co/mp3-preview/ad05e47e3c0cc13ef7eecd10ddf8d56be61b7549?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:padishahpiper","2018-08-24T03:54:55Z"
"spotify:track:0jmyo9QOmFbjDCYpNaPDhy","Black Metallic","spotify:artist:1QPWAsWIjRcTfvY5uH8dov","Catherine Wheel","spotify:album:7LLZLkkBTR42Kb9JPRAzKb","Ferment","spotify:artist:1QPWAsWIjRcTfvY5uH8dov","Catherine Wheel","1992-06-09","https://i.scdn.co/image/ab67616d0000b273f60e81bb6989d19fe3dea7e8","1","3","438906","https://p.scdn.co/mp3-preview/bfeb8cda4c03b24fa6fc091f93d71296d4957f7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:padishahpiper","2018-08-24T03:25:22Z"
"spotify:track:41TVMXb9THdtTlo2KojUDe","Somebody to Shove","spotify:artist:02da1vDJ2hWqfK7aJL6SJm","Soul Asylum","spotify:album:3EFhsxrJoH3yE3r8bHheE6","Grave Dancers Union","spotify:artist:02da1vDJ2hWqfK7aJL6SJm","Soul Asylum","1992-01-01","https://i.scdn.co/image/ab67616d0000b273a1b5db0138571e123e6c5894","1","1","194733","https://p.scdn.co/mp3-preview/ad731dd80503ec364726425f9ea40fd763111d60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2018-08-24T03:11:20Z"
"spotify:track:3z5ggGtcs4t8pizW521gW9","Pretend We're Dead","spotify:artist:2zMQOJ4Cyl4BYbw6WqaO3h","L7","spotify:album:0z7Dc7FRsDH7E4kj32mKyM","Bricks Are Heavy","spotify:artist:2zMQOJ4Cyl4BYbw6WqaO3h","L7","1992","https://i.scdn.co/image/ab67616d0000b273946c2a344a47393f80170cdc","1","3","235093","https://p.scdn.co/mp3-preview/137bf8b2567c0debab9b8aa778958f803f0e46b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:padishahpiper","2018-08-24T03:33:39Z"
"spotify:track:7yThIhNzpgDBIGoL2y1y6u","Start Choppin'","spotify:artist:267VY6GX5LyU5c9M85ECZQ","Dinosaur Jr.","spotify:album:5mJss6O9hjbeESfqoBX1xM","Where You Been","spotify:artist:267VY6GX5LyU5c9M85ECZQ","Dinosaur Jr.","1993-02-09","https://i.scdn.co/image/ab67616d0000b273e01ceb6f3a9751ec5d1391ab","1","2","340186","https://p.scdn.co/mp3-preview/0139c382629aeab483e4f81c464919ad5195d1c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:padishahpiper","2018-08-24T03:27:19Z"
