"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4OO2lavE7yz5Ane6fEYXp3","Everything You Do Is A Balloon","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:3FabCzGQgFLqkCqzceB5ii","Hi Scores","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","1996-12-01","https://i.scdn.co/image/ab67616d0000b2731b83c0c9aa3dbcfd259f5fe3","1","6","423933","https://p.scdn.co/mp3-preview/23857b1b7c24b88730cedac08e3f5b3e661017fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:0UMzgNAcJ7FKHO1wdUPJt8","Building Steam With A Grain Of Salt","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","spotify:album:06HRPqj5bIfhxSpXN7lAPR","Endtroducing.....","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","1996-09-16","https://i.scdn.co/image/ab67616d0000b273b137543bb0f1357f385b09f3","1","2","399026","","true","0","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:1l0aqj8C1yDkdpksIDZZSr","My Only Swerving","spotify:artist:0d1j4VJ7gzAJaDslzmjTF0","El Ten Eleven","spotify:album:0wKweXH1tHY04ONpa7Cphv","El Ten Eleven","spotify:artist:0d1j4VJ7gzAJaDslzmjTF0","El Ten Eleven","2005","https://i.scdn.co/image/ab67616d0000b273e466ae00186a6f8391ec5c6a","1","1","314586","","false","0","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:5aBdWL4ud0ovtDJIJGQLdc","Open Eye Signal","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","spotify:album:7H7UxuxjGSJuV7LcCFUxTD","Immunity","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","2013-06-03","https://i.scdn.co/image/ab67616d0000b273fd6e1388756e76f81bb63d22","1","2","468586","","false","0","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:7EE7jbv7Dv8ZkyWBlKhPXX","Hours","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:3I3PmRvn5iFY8i6zzvEcci","Dive","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2011-10-04","https://i.scdn.co/image/ab67616d0000b2736ce6bb858321ae9bbd66d7a2","1","2","344158","","false","4","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:5veFQvY6ooJ0rzjxO9cAkW","So Long, Lonesome","spotify:artist:1uQWmt1OhuHGRKmZ2ZcL6p","Explosions In The Sky","spotify:album:7LNOp3ZlUVM32K3bBczUux","All of a Sudden I Miss Everyone","spotify:artist:1uQWmt1OhuHGRKmZ2ZcL6p","Explosions In The Sky","2007-02-20","https://i.scdn.co/image/ab67616d0000b2732a4036c986b6779a61b9f692","1","6","220373","","false","0","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:1sotD6Cn8aOtUsL0bd5HTJ","Never Mess With Sunday","spotify:artist:3Gaqw2nGyE7yM3rcRSzE3U","Yppah","spotify:album:61bYJTYERgYGSgFUamgTCa","Ninja Tune XX (Volume 2)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-09-20","https://i.scdn.co/image/ab67616d0000b27348e2a667de482192fddfeae0","1","6","196000","https://p.scdn.co/mp3-preview/8665b599fb5f17d3f3807c8e7d02a1bafeb5cea8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:3L0fPX8biELkH57fF3Exkd","What You Love You Must Love Now","spotify:artist:3puKPIXi7bUDnPuJZOlJxL","The Six Parts Seven","spotify:album:3tpwV2Th7Q7sS7TzeE4viK","Everywhere And Right Here","spotify:artist:3puKPIXi7bUDnPuJZOlJxL","The Six Parts Seven","2004-08-16","https://i.scdn.co/image/ab67616d0000b2734127c21983f9a6a6e26ff359","1","1","322160","","false","1","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:2hgerKBJ7tetp3JfL5OZX9","Reach For The Dead","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:159ORixBSSemxiualv1Woj","Tomorrow's Harvest","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","2013-06-10","https://i.scdn.co/image/ab67616d0000b273839ca982b91d46380d8348f1","1","2","287403","https://p.scdn.co/mp3-preview/c6878c8374bb2dfa3cffdcf7f42042a33ee97b83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:6iPqGJ3obz0wvUGSwPgvZN","Fanshawe","spotify:artist:0d1j4VJ7gzAJaDslzmjTF0","El Ten Eleven","spotify:album:0wKweXH1tHY04ONpa7Cphv","El Ten Eleven","spotify:artist:0d1j4VJ7gzAJaDslzmjTF0","El Ten Eleven","2005","https://i.scdn.co/image/ab67616d0000b273e466ae00186a6f8391ec5c6a","1","7","312000","","false","0","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:48Dz1HTWoMLpT5voht8igk","Midnight In A Perfect World","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","spotify:album:4sYfLmgzqy0enDlFDHo9Ih","Reconstructed : The Best Of DJ Shadow","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d9571b87b27b73200a1f5667","1","1","299880","https://p.scdn.co/mp3-preview/a39b6c21d95fc540f1687ca486ac1fdbf9ab91a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:3o6RpCtAPejVvTckcd5JVt","Remember Me As A Time Of Day","spotify:artist:1uQWmt1OhuHGRKmZ2ZcL6p","Explosions In The Sky","spotify:album:2SAI7bmJDf4ExmzaAgXctd","How Strange, Innocence","spotify:artist:1uQWmt1OhuHGRKmZ2ZcL6p","Explosions In The Sky","2000-01-17","https://i.scdn.co/image/ab67616d0000b273d31bc147a5915d0f693c1fa0","1","7","318440","","false","0","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:3sXg02TJKMIqftRD82EnS7","Clarity","spotify:artist:0VOR7Ie9xUSb45fzIIVJQ1","Hammock","spotify:album:3zAjBfnsAyNM3bjA54Cqv7","Clarity","spotify:artist:0VOR7Ie9xUSb45fzIIVJQ1","Hammock","2016-03-15","https://i.scdn.co/image/ab67616d0000b27378a822abb05f9a41acbf12c7","1","1","383333","","false","0","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:2OsmOTariM8whWzvPsPAeK","Dustism","spotify:artist:0MG4LXIw7n4x0wjDc6WYXk","This Will Destroy You","spotify:album:7JbUvdIr1yepIxZy9rt3un","Another Language","spotify:artist:0MG4LXIw7n4x0wjDc6WYXk","This Will Destroy You","2014-09-16","https://i.scdn.co/image/ab67616d0000b273ca345d37afe614c124e2f589","1","2","379452","","false","0","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:2C1nOw1nRxJaBWb9I1x05A","Smoke & Mirrors","spotify:artist:1O3ZOjqFLEnbpZexcRjocn","RJD2","spotify:album:7DmNwRBDJRUEFUlk3oa2Aj","Deadringer: Deluxe","spotify:artist:1O3ZOjqFLEnbpZexcRjocn","RJD2","2002","https://i.scdn.co/image/ab67616d0000b273482be3c0abad6a3c2bcd2efd","1","3","266200","https://p.scdn.co/mp3-preview/31368048c7b9199b3574356eef7bff4bf6cdaa38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:4yX50PMifhGzVEo1wv3guc","L","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:7HWdGPosPkb9GY5MOgLgSW","Awake","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2014-03-18","https://i.scdn.co/image/ab67616d0000b27344f450eee039b69359699765","1","3","277559","","false","4","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:2OSelhrHTVKq6hdfE3fG6R","Sad Heart Of Mine","spotify:artist:4SXj7TVoA3bgfR8AVssACa","Caspian","spotify:album:1aZqgTPYSxx2ISuigQkgjD","Dust And Disquiet","spotify:artist:4SXj7TVoA3bgfR8AVssACa","Caspian","2015-09-25","https://i.scdn.co/image/ab67616d0000b273d50332e8bd85916dcfda268c","1","7","267333","","false","0","spotify:user:","2019-12-16T16:21:54Z"
"spotify:track:2mEGWzbwnYg8WTlGQGR05r","A Drifting Up","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","spotify:album:2XwHDvLu2aYpX5lMhFPR5F","Insides","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","2009-05-05","https://i.scdn.co/image/ab67616d0000b273186a2831942c9576ee1ddc32","1","9","387226","","false","0","spotify:user:","2019-12-16T16:21:54Z"
