"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4lteJuSjb9Jt9W1W7PIU2U","Derezzed - Remixed by The Glitch Mob","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:3a9qv6NLHnsVxJUtKOMHvD","Daft Punk, The Glitch Mob","spotify:album:382ObEPsp2rxGrnsizN5TX","TRON: Legacy Reconfigured","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2011-01-01","https://i.scdn.co/image/ab67616d0000b27326597c053b38c9cf93f8f3a9","1","1","262240","https://p.scdn.co/mp3-preview/52b8ecc26e581a29a9d0abb2853e3ad92df1dec7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:padishahpiper","2020-04-21T20:43:50Z"
"spotify:track:48n92l7OnLEURhalUBtsl7","We Can Make The World Stop","spotify:artist:3a9qv6NLHnsVxJUtKOMHvD","The Glitch Mob","spotify:album:6TU45s9eTkim2b7HJCRDF1","We Can Make the World Stop - EP","spotify:artist:3a9qv6NLHnsVxJUtKOMHvD","The Glitch Mob","2011-07-12","https://i.scdn.co/image/ab67616d0000b2730272b80e7311f476905c440e","1","1","325908","https://p.scdn.co/mp3-preview/fee90750076898f2f2000132071ff4cf3838a4ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:padishahpiper","2020-04-21T20:44:14Z"
"spotify:track:5QmolkpuE6IfPdr7j2MGn5","Celestica","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","spotify:album:37TeO5usN4vsGSfpg4dPNA","(II)","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","2011-01-01","https://i.scdn.co/image/ab67616d0000b2735ac6226a668978bf43185e97","1","2","228400","https://p.scdn.co/mp3-preview/7a3f87f2abe957312211f3335346cdfd1e32666d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2020-04-21T20:52:24Z"
"spotify:track:3vVlScRCPisn6VPs40VdL2","Chemical Beats","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:1Bmuyq89rXZJNK1w8pauEg","Exit Planet Dust","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","1995-01-01","https://i.scdn.co/image/ab67616d0000b2732d47d65f2938c9da2ff7f57c","1","6","290333","https://p.scdn.co/mp3-preview/7856e9b6715632d52da803b626b9932a239fdbb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:padishahpiper","2020-04-21T20:45:58Z"
"spotify:track:7MwzZjPYw5wJUBpS6Ns6va","Mr G","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","spotify:album:7yYix5bdURcdnlmHTaitEz","At Play Vol. 2","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","2009-12-01","https://i.scdn.co/image/ab67616d0000b2730df1c2c5a657c7c9c8b63b49","1","3","321352","https://p.scdn.co/mp3-preview/f3e77eda55a40d69815a98bddddb072ed7520415?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:padishahpiper","2020-04-21T20:47:25Z"
"spotify:track:6sfArKmXzMS70WHzlD7c7g","Homeless","spotify:artist:2w6rxAmCNVKYTBWyxVeW5w","Fatali","spotify:album:74I8Zti24nNO1XrPMjjpCa","Homeless - Promo","spotify:artist:2w6rxAmCNVKYTBWyxVeW5w","Fatali","2010-06-06","https://i.scdn.co/image/ab67616d0000b2736185425882c7a5d6d0057d14","1","1","469920","https://p.scdn.co/mp3-preview/6e909f8104c63b41fc47f8a194160e07003ebacf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:padishahpiper","2020-04-21T20:51:13Z"
"spotify:track:5W3cjX2J3tjhG8zb6u0qHn","Harder, Better, Faster, Stronger","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","4","224693","https://p.scdn.co/mp3-preview/a742fa1962d60094bf86dbcbf6b66d463f67fea9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:padishahpiper","2020-04-21T20:54:36Z"
"spotify:track:5kTBiVnjq9xKmZL9dNs8zL","Come With Us","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:56nVadPbdCs1yGB0AtXSGp","Come With Us","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","2002-01-01","https://i.scdn.co/image/ab67616d0000b273a84e1d8c3a99de8e2e1e6c1a","1","1","297586","https://p.scdn.co/mp3-preview/669ff1c0f4212a3714d37003fe7b1b4e765f833e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:padishahpiper","2020-04-21T20:51:44Z"
"spotify:track:1Ow9ZsMYJ1XmaXmUeKYJGT","Baptism","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","spotify:album:37TeO5usN4vsGSfpg4dPNA","(II)","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","2011-01-01","https://i.scdn.co/image/ab67616d0000b2735ac6226a668978bf43185e97","1","4","251440","https://p.scdn.co/mp3-preview/e9edb36a57d9594d9b7995ae4289fe1d2ffe0334?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:padishahpiper","2020-04-21T20:44:50Z"
"spotify:track:7kXmJwrZGIhDaLT9sNo3ut","Hey Boy Hey Girl","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:1QJP73UumgERuzp3yJSXw3","Surrender","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","1999-01-01","https://i.scdn.co/image/ab67616d0000b27329dc59785f4c767fcbfc9e38","1","9","290493","https://p.scdn.co/mp3-preview/d5d192c719444941253ac13d7133594f558eaf77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:padishahpiper","2020-04-21T20:52:45Z"
"spotify:track:4bz7uB4edifWKJXSDxwHcs","Galvanize","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:715rku55lldqdw9WiEuPgi","Push The Button","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","2005-01-01","https://i.scdn.co/image/ab67616d0000b2738e8f975a2b364769040c8169","1","1","393813","https://p.scdn.co/mp3-preview/d011972cf6178aebd797ce3271807ec21271860d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:padishahpiper","2020-04-21T20:52:57Z"
"spotify:track:47DIDWc46cy6doDwoYKDYy","Another World","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:755TkKLW2Pxab93RQ4RNlb","Further","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","2010-01-01","https://i.scdn.co/image/ab67616d0000b2734f921c48eba76439f7e9a738","1","3","340786","https://p.scdn.co/mp3-preview/538c12bc64bc8ae1d151fce194cc95e12590333b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:padishahpiper","2020-04-21T20:53:24Z"
