"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1c4OpZ2G1MEcEKSknUZjdD","Ceremony - Version 1; 2016 Remaster","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:2ODAEaYlqS88SU4ZZu1bI6","Singles (2016 Remaster)","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","2005-09-30","https://i.scdn.co/image/ab67616d0000b273f142205e336ec0af3e1a4eb0","1","1","278760","https://p.scdn.co/mp3-preview/839ae8845b727ca41c5c2a5ccb24c3118b02c39d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBAAP1500062","spotify:user:padishahpiper","2018-02-10T15:44:56Z"
"spotify:track:1wAvaUHRV7ThdmEgBT3W2A","Everythings Gone Green - 7"" Version; 2015 Remaster","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:2ODAEaYlqS88SU4ZZu1bI6","Singles (2016 Remaster)","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","2005-09-30","https://i.scdn.co/image/ab67616d0000b273f142205e336ec0af3e1a4eb0","1","3","259293","https://p.scdn.co/mp3-preview/a8b5109af0373ac6dda5bedbb3c0f6e61d41df06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","GBAAP1500064","spotify:user:padishahpiper","2018-02-10T15:50:15Z"
"spotify:track:4N42ow0h4JoK68OQwOzsQn","Love Will Tear Us Apart","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","spotify:album:3rPC5Y8e9S6dGGkWvRYPRD","TOTAL","spotify:artist:0yNLKJebCb8Aueb54LYya3, spotify:artist:432R46LaYsJZV2Gmc4jUV5","New Order, Joy Division","2011-06-03","https://i.scdn.co/image/ab67616d0000b273c9ea1ebfc4cb7b2a9937c42d","1","2","206226","https://p.scdn.co/mp3-preview/b8ff978d203c24942b15daa64413b96541f2e684?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBCRL1100212","spotify:user:padishahpiper","2018-02-10T15:43:29Z"
"spotify:track:1YrnDTqvcnUKxAIeXyaEmU","How Soon Is Now? - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:1j57Q5ntVi7crpibb0h4sv","Hatful of Hollow","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984","https://i.scdn.co/image/ab67616d0000b273786b44c75ebf915866523f5b","1","5","408173","https://p.scdn.co/mp3-preview/e3c2d307083f1aa526e3ac5cd662fed101346984?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBCRL1100068","spotify:user:padishahpiper","2022-08-03T17:17:33Z"
"spotify:track:2H1BmB1b6Px9KJXIUpD03u","Never Let Me Down Again - 2006 Remaster","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:4tPRXghD4ago6NYyyfrtES","Music for the Masses (2006 Remaster)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1987-09-28","https://i.scdn.co/image/ab67616d0000b273da32a1816a110aae5a4ecea0","1","1","290493","https://p.scdn.co/mp3-preview/e2ba996bfd1dd59239fd211d8f1ebed08f4214ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBAJH0600228","spotify:user:padishahpiper","2020-10-28T16:35:26Z"
"spotify:track:1luZMYo5dt0HaKiaPjkkYZ","Wishing Well","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","spotify:album:3VhSB8ozURez6qOSptLb15","Workbook","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","1989","https://i.scdn.co/image/ab67616d0000b273c09d0759175534092784264d","1","2","313133","https://p.scdn.co/mp3-preview/2002cf22a94de19c89b8b9624b58f2ae629bf605?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USVI29401086","spotify:user:padishahpiper","2020-10-28T16:25:48Z"
"spotify:track:49gCfmOmL7FOflCHMC5Nz2","Fascination Street - 2010 Remaster","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:0A13JySVHzBoRZFk2o89Wl","Disintegration (2010 Remaster)","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1989-05-02","https://i.scdn.co/image/ab67616d0000b2733ec3e0853e3b84dc64272647","1","7","316173","https://p.scdn.co/mp3-preview/3d78ef8198e5f921ed1a672ecad0dcf3ea7e0d37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USEE10901458","spotify:user:padishahpiper","2023-01-19T00:02:05Z"
"spotify:track:32TKQVwtSGCHIqmbmaNdFj","Dreams Never End - 2015 Remaster","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:2DI73ocB6x1ExxoJbT4QI8","Movement","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","1981-01-13","https://i.scdn.co/image/ab67616d0000b2733799b162f6b365f781b07515","1","1","195306","https://p.scdn.co/mp3-preview/3b518bebe85fb21572882c817dd7668e88bde14e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAAP1500371","spotify:user:padishahpiper","2018-02-10T15:42:27Z"
"spotify:track:2NphJ0mVP7y3qtLt5H5URY","Regret","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:7ha9sBu0lsKuW6PRhfSMzg","Republic","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","1993-05-03","https://i.scdn.co/image/ab67616d0000b273d2466e11179c4daf669eb301","1","1","249840","https://p.scdn.co/mp3-preview/94ecb258c761c2bd6aa8b7325c86c416e2c0a728?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBANP9400060","spotify:user:padishahpiper","2018-02-10T15:41:18Z"
"spotify:track:7LdKMBKthcdBnAqlAIGqCB","See A Little Light","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","spotify:album:3VhSB8ozURez6qOSptLb15","Workbook","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","1989","https://i.scdn.co/image/ab67616d0000b273c09d0759175534092784264d","1","4","212066","https://p.scdn.co/mp3-preview/885dc198cd41318a3504df191902f91f1996b61d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USVI29401087","spotify:user:padishahpiper","2020-10-28T16:27:57Z"
