"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1gkn90ExKRNAOlhDs4RoW0","Working Man","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:57ystaP7WpAOxvCxKFxByS","Rush","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1974-01-01","https://i.scdn.co/image/ab67616d0000b273b5ad3ae448fd8e160c341b7a","1","8","429973","https://p.scdn.co/mp3-preview/1a4df4c4c20004d21f0f7f28e3626deedf5a674e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USMR17407513","spotify:user:padishahpiper","2020-08-05T17:13:49Z"
"spotify:track:54TaGh2JKs1pO9daXNXI5q","Fly By Night","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:3ZtICWkqezf0bBTUwY1Khe","Fly By Night","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1975-02-15","https://i.scdn.co/image/ab67616d0000b27311079bb97e1f95d1a917ce0b","1","5","202200","https://p.scdn.co/mp3-preview/1a7dea50db6ea52de3c5692e8c2b91825969caff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USWWW0201912","spotify:user:padishahpiper","2020-08-05T17:14:27Z"
"spotify:track:0bh40rcAYgtvLgS77L9SRi","Beneath, Between & Behind","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:3ZtICWkqezf0bBTUwY1Khe","Fly By Night","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1975-02-15","https://i.scdn.co/image/ab67616d0000b27311079bb97e1f95d1a917ce0b","1","3","181933","https://p.scdn.co/mp3-preview/2fa0de5c75b924823ba4234c1051b6facb166b50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USMR17500038","spotify:user:padishahpiper","2020-08-05T17:14:35Z"
"spotify:track:5H8xFHau0x3PI1CssO6EaX","2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:5g5aKkI0ExfU4kDvADP6JK","2112","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1976-04-01","https://i.scdn.co/image/ab67616d0000b273eedead7963a4b68347dd56eb","1","1","1233666","https://p.scdn.co/mp3-preview/71be337102c0377512eff9e85c194fdc7c1218f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USMR17600034","spotify:user:padishahpiper","2020-08-05T17:15:28Z"
"spotify:track:4bGkklcgdZvIUtoqIc7wcd","Something For Nothing","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:5g5aKkI0ExfU4kDvADP6JK","2112","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1976-04-01","https://i.scdn.co/image/ab67616d0000b273eedead7963a4b68347dd56eb","1","6","238933","https://p.scdn.co/mp3-preview/238dbcf18cda25e2cba0ec74f04b8350e5d70190?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USMR17600039","spotify:user:padishahpiper","2020-08-05T17:15:37Z"
"spotify:track:4Ilt9N2XASXY60DSEitW5K","A Farewell To Kings","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:18i33u5FvfvgHjZMulpyO2","A Farewell To Kings","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1977-09-01","https://i.scdn.co/image/ab67616d0000b273c3d872d5405c76e3956cbbb6","1","1","349600","https://p.scdn.co/mp3-preview/6340e84c7c91a0f40f49841a3ad29a0dee8bd57d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USMR17780105","spotify:user:padishahpiper","2020-08-05T17:15:55Z"
"spotify:track:4u3oXuVeOGoByIMz9pnOKf","Closer To The Heart","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:18i33u5FvfvgHjZMulpyO2","A Farewell To Kings","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1977-09-01","https://i.scdn.co/image/ab67616d0000b273c3d872d5405c76e3956cbbb6","1","3","171960","https://p.scdn.co/mp3-preview/057092f546266fd04eccf6eff839f81de1ec3f6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USMR17780107","spotify:user:padishahpiper","2020-08-05T17:16:15Z"
"spotify:track:5q7KiSN7znIONR76LAqm7k","Xanadu","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:18i33u5FvfvgHjZMulpyO2","A Farewell To Kings","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1977-09-01","https://i.scdn.co/image/ab67616d0000b273c3d872d5405c76e3956cbbb6","1","2","664853","https://p.scdn.co/mp3-preview/a2ed70e86e9410585726f7469b9837f30987662a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USMR17780106","spotify:user:padishahpiper","2020-08-05T17:16:35Z"
"spotify:track:5cHnoalJPx909Umw8EoroV","The Trees","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:2vrM9ltjKIvNg3nkwXoJuc","Hemispheres","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1978-10-29","https://i.scdn.co/image/ab67616d0000b273fe148db2d296efd0f703e61f","1","3","282506","https://p.scdn.co/mp3-preview/a9cdb52450bfe550d5ce771d5c1a86761c707d54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USMR17880085","spotify:user:padishahpiper","2020-08-05T17:16:53Z"
"spotify:track:2XwYeBzumtjxVbFWwhJpsy","Freewill","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:3nUNxSh2szhmN7iifAKv5i","Permanent Waves","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1980-01-01","https://i.scdn.co/image/ab67616d0000b27306c0d7ebcabad0c39b566983","1","2","321800","https://p.scdn.co/mp3-preview/c789dd76bfe9b4c577a94b416fb735a2d304225b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USMR18070029","spotify:user:padishahpiper","2020-08-05T17:17:08Z"
