"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4bLSow6ssrHFVPLgf73Vgu","BBaacckk && FFoorrtthh","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","spotify:album:0osUxxOu2bGatUixUD8iuo","UUnnrreeaall","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","2020-03-20","https://i.scdn.co/image/ab67616d0000b273827c1a8eb8184be2e03f2c43","1","2","276705","https://p.scdn.co/mp3-preview/8efc407c965f5a4280a4f52bb73bb203e7150c27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FRIDO1912138","spotify:user:padishahpiper","2020-06-23T16:21:47Z"
"spotify:track:1BqdhRbDE6mGbYiugML9MK","Before","spotify:artist:5juOkIIy18sFw9L30syt1Z","Washed Out","spotify:album:6GUrNxKQG0pUt9umzAPdLv","Within and Without","spotify:artist:5juOkIIy18sFw9L30syt1Z","Washed Out","2011-07-12","https://i.scdn.co/image/ab67616d0000b273078619103544a7f688179c8b","1","6","286413","","false","0","USSUB1194506","spotify:user:padishahpiper","2020-07-09T20:15:53Z"
"spotify:track:3CwK0oEtu9bCl0R5nuMzjx","Cyanide Sisters","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:1mh0Y9kHmDJgxVsfsAb6Jt","Cyanide Sisters EP","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2011-01-25","https://i.scdn.co/image/ab67616d0000b2736272670126cc20607a7e1e97","1","1","183609","","false","0","US2J71102801","spotify:user:padishahpiper","2020-07-09T20:16:40Z"
"spotify:track:4H4p1B3GrZHnh71vgPtHQW","Daughter","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:74r6JJ97ipO0CREXP9PMqZ","New Energy","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2017-09-29","https://i.scdn.co/image/ab67616d0000b2733f31769b727102837cb32a63","1","12","295131","https://p.scdn.co/mp3-preview/bd03c70f2e1747a403e2b8bcffa8713a38a53f9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBXNG1746011","spotify:user:padishahpiper","2020-07-09T20:17:02Z"
"spotify:track:7hjJKZwcW0vze3A48dqcCr","L","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:21dbYScNUKn2Y1Vae8lACJ","Awake (Deluxe Version)","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2016-01-15","https://i.scdn.co/image/ab67616d0000b2734c3668d2c7f24a96c4c7ab0c","1","3","277559","","false","0","US2J71400803","spotify:user:padishahpiper","2020-07-09T20:18:11Z"
"spotify:track:4p0Yp2fnqydGVEgIE2p60X","Fanshawe","spotify:artist:0d1j4VJ7gzAJaDslzmjTF0","El Ten Eleven","spotify:album:6bv070I2PgzwGLgYGBxaJW","El Ten Eleven","spotify:artist:0d1j4VJ7gzAJaDslzmjTF0","El Ten Eleven","2005-09-20","https://i.scdn.co/image/ab67616d0000b273ffb0be505d99b703ab6189af","1","7","312000","https://p.scdn.co/mp3-preview/ad45b19e634d5097d024ec096168f855d7043fbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","US37V0517207","spotify:user:padishahpiper","2020-07-09T20:18:37Z"
"spotify:track:17bVoRLAx1ljhHN7vM0rc8","high fives","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:2BKXRpAaq7jZStXo6A10qK","Everything Ecstatic","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2005-06-26","https://i.scdn.co/image/ab67616d0000b273bb56556ad199864c0ffcd282","1","7","308373","https://p.scdn.co/mp3-preview/33ef4250c263a35958a1900a73030e99873f35c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","GBCEL0400359","spotify:user:padishahpiper","2020-07-09T20:19:19Z"
"spotify:track:1WOxGNutRwrbik8BA5f2AY","Immunity","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","spotify:album:1rxWlYQcH945S3jpIMYR35","Immunity","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","2013-06-03","https://i.scdn.co/image/ab67616d0000b273235e762de339c6076aa824dd","1","8","596773","","false","2","GBCEL1300090","spotify:user:padishahpiper","2020-07-09T20:19:37Z"
"spotify:track:3rCtueI7qBN2kZBZnXuk5K","Linked","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6Eb3lH04iEMK0YJ8gk01MR","Linked","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2019-07-01","https://i.scdn.co/image/ab67616d0000b2730e598fe2f3560309382942bb","1","1","369461","https://p.scdn.co/mp3-preview/31b9558a3451d43396d54d759770992466f3c288?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBCFB1900100","spotify:user:padishahpiper","2020-07-09T20:20:24Z"
"spotify:track:0BSJ1iQEmGibLCPMHGtdo7","Lost In Thought","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","spotify:album:7wPJ4V3ueggJxvaYscV9Ou","Opalescent","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","2001","https://i.scdn.co/image/ab67616d0000b27326bf95c327ae756b74c18a1d","1","5","376733","https://p.scdn.co/mp3-preview/fc2362429ecb8d833db8b636881d3303e9e5c435?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBDDN9900061","spotify:user:padishahpiper","2020-07-09T20:20:38Z"
"spotify:track:1sotD6Cn8aOtUsL0bd5HTJ","Never Mess With Sunday","spotify:artist:3Gaqw2nGyE7yM3rcRSzE3U","Yppah","spotify:album:61bYJTYERgYGSgFUamgTCa","Ninja Tune XX (Volume 2)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-09-20","https://i.scdn.co/image/ab67616d0000b27348e2a667de482192fddfeae0","1","6","196000","https://p.scdn.co/mp3-preview/19b7f73dfc05e96c2adcdb0decfe7d4a8bc132fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBCFB1002229","spotify:user:padishahpiper","2020-07-09T20:21:18Z"
"spotify:track:7GC0ixULAfuEiDkmLzqTgt","...Of Your Fake Dimension","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:4cXAcWU9jjDPTAAM8JyDmK","Iteration","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2017-06-16","https://i.scdn.co/image/ab67616d0000b273e050440d0ca483b679e83b68","1","1","207984","","false","0","US2J71709601","spotify:user:padishahpiper","2020-07-09T20:21:40Z"
"spotify:track:7xiz4KBUIHkCKBKBaLRFYQ","Privilege Escalation","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:2Takb3WbmLXRVvXiFfnjnk","Persuasion System","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2019-05-17","https://i.scdn.co/image/ab67616d0000b2737ac75f3e72f2756097c75e7c","1","8","357853","","false","0","US2J71903708","spotify:user:padishahpiper","2020-07-09T20:22:09Z"
"spotify:track:3OhwaetItNaTXxn0mr9SkN","Samurai","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:7wozLC9PHgpjeb4aIZcI1Q","Bambro Koyo Ganda","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2017-06-05","https://i.scdn.co/image/ab67616d0000b273886640409cf3f748408ed18e","1","3","341594","https://p.scdn.co/mp3-preview/ed9eb4141782070a133d8de41c0bf89b2e1ab1b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBCFB1700272","spotify:user:padishahpiper","2020-07-09T20:22:33Z"
"spotify:track:05vajmV6LbINFD5fGBS9my","Silicon Tare","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:1f4CWU2GxNA2LeTPOSp1RS","Silicon Tare","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2016-04-01","https://i.scdn.co/image/ab67616d0000b27398ea26fa6dc1a2733aed84dd","1","4","242709","","false","0","US2J71506304","spotify:user:padishahpiper","2020-07-09T20:22:47Z"
"spotify:track:1yChcR9KozoD5zs8QJL7bi","sleep, eat food, have visions","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:2BKXRpAaq7jZStXo6A10qK","Everything Ecstatic","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2005-06-26","https://i.scdn.co/image/ab67616d0000b273bb56556ad199864c0ffcd282","1","9","479866","https://p.scdn.co/mp3-preview/6c0544590fcf5e85348994515808a353002c6d56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","GBCEL0400361","spotify:user:padishahpiper","2020-07-09T20:22:58Z"
"spotify:track:62LRJyUMu4OOtOrNgO6hCP","(This Is) The Dream Of Evan And Chan - Remastered","spotify:artist:1jf3CssdtSksxNa3uIpPzS","Dntel","spotify:album:3FQT62A6yAqjzfPZLgRnGh","Life Is Full Of Possibilities (Deluxe)","spotify:artist:1jf3CssdtSksxNa3uIpPzS","Dntel","2011-10-25","https://i.scdn.co/image/ab67616d0000b273519a7a5424af1eff920888a1","1","9","344973","","false","0","USSUB1195509","spotify:user:padishahpiper","2020-07-09T20:23:38Z"
"spotify:track:2ZIaH69kaz55RM4Pjx6KXl","Two Thousand and Seventeen","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:74r6JJ97ipO0CREXP9PMqZ","New Energy","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2017-09-29","https://i.scdn.co/image/ab67616d0000b2733f31769b727102837cb32a63","1","2","252255","https://p.scdn.co/mp3-preview/4b2868aff6ad4aa10dfdb39508ac9922c1084af5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBXNG1744401","spotify:user:padishahpiper","2020-07-09T20:23:56Z"
