"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5DQnITC4klFrWq8wukLUUQ","Detroit Has a Skyline","spotify:artist:7lmde7T1WJPFwv1eR6melP","Superchunk","spotify:album:7pJOnYL59zetNPuxP3mMTg","Here's Where the Strings Come In (Remastered)","spotify:artist:7lmde7T1WJPFwv1eR6melP","Superchunk","1995","https://i.scdn.co/image/ab67616d0000b27355bd79797f0f5261af08f68f","1","6","170320","","false","0","USMRG1109006","spotify:user:padishahpiper","2021-01-28T00:42:15Z"
"spotify:track:5PurHGjwfAQel15O4ZIiGu","7/4 (Shoreline)","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","spotify:album:0y7KfUbof07yf2bHFYdPJZ","Broken Social Scene","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","2005-10-11","https://i.scdn.co/image/ab67616d0000b273587227ac29ff1f83ccbd1623","1","3","293840","https://p.scdn.co/mp3-preview/35dc4b2f8c599d74a9f638bdf90cbc89c429c435?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","CAAA10501403","spotify:user:padishahpiper","2021-01-28T00:43:39Z"
"spotify:track:4YFcGTdgmEuw8xTO4XrxbB","Zero - Remastered 2012","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:55RhFRyQFihIyGf61MgcfV","Mellon Collie And The Infinite Sadness (Deluxe Edition)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1995","https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6","1","4","160173","https://p.scdn.co/mp3-preview/4828580ac51a241f9e80d7380334600fdaeca761?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USVI21200895","spotify:user:padishahpiper","2021-01-28T01:01:01Z"
"spotify:track:5773KSWFzg9kCc8yazjbSt","Deceptacon","spotify:artist:2n6FviARgtjjimZXu18uRM","Le Tigre","spotify:album:0dSSZGzoukzrFBnG07J45i","Le Tigre","spotify:artist:2n6FviARgtjjimZXu18uRM","Le Tigre","1999-10-26","https://i.scdn.co/image/ab67616d0000b2735a89b59fec31efd8f780a6bb","1","1","184626","https://p.scdn.co/mp3-preview/887de474061aba5b31d41fbc19e78031757284f2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","TCABE1211301","spotify:user:padishahpiper","2021-01-28T01:03:06Z"
"spotify:track:4BUMLahhHwt4U3gWZVCBdi","Starseed","spotify:artist:1lqW59DUEKqvcHc8mVWBtH","Our Lady Peace","spotify:album:6hnMN6eI1uxEg1iWbbVhPl","Naveed","spotify:artist:1lqW59DUEKqvcHc8mVWBtH","Our Lady Peace","1995-10-26","https://i.scdn.co/image/ab67616d0000b273e429e770f3105ab9d3412868","1","3","244040","https://p.scdn.co/mp3-preview/502ce22fff7c8ec34b8fa29210012a771873f1a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","CAE249400030","spotify:user:padishahpiper","2021-01-28T01:04:05Z"
"spotify:track:1hlIdWH3aUGZw8FUE3P9T2","Going Out Of My Head","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","spotify:album:4q9EafI4cNCb3yMjEPoPCB","Better Living Through Chemistry","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","1996-01-01","https://i.scdn.co/image/ab67616d0000b273735f0edc60dca6bfdceecd49","1","3","314240","https://p.scdn.co/mp3-preview/cf0e8d474ebc25e0f795289280b8cf3ed48c8738?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","GBBMQ9700013","spotify:user:padishahpiper","2021-01-28T01:04:34Z"
"spotify:track:1FTSo4v6BOZH9QxKc3MbVM","Song 2 - 2012 Remaster","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","spotify:album:7HvIrSkKGJCzd8AKyjTJ6Q","Blur (Special Edition)","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","1997-02-10","https://i.scdn.co/image/ab67616d0000b273de114203356c1f7b136960b6","1","2","121160","https://p.scdn.co/mp3-preview/2c2b4ad08b6ef072182e9b38c386f54623aef4fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBAYE1200348","spotify:user:padishahpiper","2021-01-28T01:04:58Z"
"spotify:track:5lPXKmlRLwpO3OxmYnof8c","Visionary","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","spotify:album:1By3l3EcAlNZXJvSOHFJ98","Warehouse: Songs And Stories","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","1987","https://i.scdn.co/image/ab67616d0000b27349e8e701be825d40d27ca57a","1","10","152573","https://p.scdn.co/mp3-preview/9196ac6d2ba925b0b3283e6519657118adc2f5c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USWB10100597","spotify:user:padishahpiper","2021-01-28T01:05:47Z"
"spotify:track:0iHZnbbFHDO9MzHWlJI0Hb","Romantic Rights","spotify:artist:18H0sAptzdwid08XGg1Lcj","Death From Above 1979","spotify:album:07sQdQsdK2Pxh48FOvYgce","You're A Woman, I'm A Machine","spotify:artist:18H0sAptzdwid08XGg1Lcj","Death From Above 1979","2004-09-28","https://i.scdn.co/image/ab67616d0000b27320c1014763114394502012a3","1","2","195106","https://p.scdn.co/mp3-preview/61146a324d6bb2ba8903218cd205c5cc0830d7ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","CAL450490202","spotify:user:padishahpiper","2021-01-28T01:06:51Z"
"spotify:track:24Dr7i66mAru2lUDaAE6xu","Tell 'Em","spotify:artist:59pWgeY26Q6yJy37QvJflh","Sleigh Bells","spotify:album:1IWkF6zpOq73txmrYpljIT","Treats","spotify:artist:59pWgeY26Q6yJy37QvJflh","Sleigh Bells","2010-06-01","https://i.scdn.co/image/ab67616d0000b273bea1032f5deb40192525a60e","1","1","176426","","false","0","USQE91000029","spotify:user:padishahpiper","2021-01-28T01:07:29Z"
