"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0xUzr3YfnBzdZa21UNDojX","Alex Chilton","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","spotify:album:1dXWzQaQR2CSEoIKGMciCD","Pleased to Meet Me","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","1987-03-03","https://i.scdn.co/image/ab67616d0000b273012842aab53dee76076da65a","1","2","195706","https://p.scdn.co/mp3-preview/b2d0cf1df4311a9fa20749bc2bca850612be87f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USRE18700003","spotify:user:padishahpiper","2018-11-16T17:52:43Z"
"spotify:track:6bHdc4wvRGaNWnFga18dB5","It's Not Peculiar","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","spotify:album:1By3l3EcAlNZXJvSOHFJ98","Warehouse: Songs And Stories","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","1987","https://i.scdn.co/image/ab67616d0000b27349e8e701be825d40d27ca57a","1","14","249706","https://p.scdn.co/mp3-preview/eeaedf35e070a210f0bb2ebd5654851821e4d582?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USWB10100601","spotify:user:padishahpiper","2018-11-16T18:12:11Z"
"spotify:track:0oYVSTay1EyC1JrYUgIruz","Stevie Nix","spotify:artist:3qkZBMz5JgmRN9u5wwhRC6","The Hold Steady","spotify:album:6dwLmhIIdFcaAlJXXqgtRq","Separation Sunday (Deluxe Version)","spotify:artist:3qkZBMz5JgmRN9u5wwhRC6","The Hold Steady","2005-05-04","https://i.scdn.co/image/ab67616d0000b2736f3cdc06d9ccee75f57fbbd6","1","6","325600","https://p.scdn.co/mp3-preview/b27a29ced89e0c104476990871be06219aec0376?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USA560533361","spotify:user:padishahpiper","2018-11-16T18:08:35Z"
"spotify:track:1A5V1sxyCLpKJezp75tUXn","Closing Time","spotify:artist:1TqQi97nqeiuOJrIFv5Sw0","Semisonic","spotify:album:4JDBx5wQ82jb8PjLYPBP8L","20th Century Masters: The Millennium Collection: Best Of Semisonic","spotify:artist:1TqQi97nqeiuOJrIFv5Sw0","Semisonic","2003-01-01","https://i.scdn.co/image/ab67616d0000b273dec0d479b10bccff532074ed","1","1","274160","https://p.scdn.co/mp3-preview/fd77534ba47387a006a95c7430d6664beafd7df4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USMC19800013","spotify:user:padishahpiper","2018-11-16T18:29:04Z"
"spotify:track:7LdKMBKthcdBnAqlAIGqCB","See A Little Light","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","spotify:album:3VhSB8ozURez6qOSptLb15","Workbook","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","1989","https://i.scdn.co/image/ab67616d0000b273c09d0759175534092784264d","1","4","212066","https://p.scdn.co/mp3-preview/885dc198cd41318a3504df191902f91f1996b61d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USVI29401087","spotify:user:padishahpiper","2018-11-16T18:44:21Z"
"spotify:track:5lPXKmlRLwpO3OxmYnof8c","Visionary","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","spotify:album:1By3l3EcAlNZXJvSOHFJ98","Warehouse: Songs And Stories","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","1987","https://i.scdn.co/image/ab67616d0000b27349e8e701be825d40d27ca57a","1","10","152573","https://p.scdn.co/mp3-preview/9196ac6d2ba925b0b3283e6519657118adc2f5c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USWB10100597","spotify:user:padishahpiper","2018-11-16T18:11:55Z"
"spotify:track:41TVMXb9THdtTlo2KojUDe","Somebody to Shove (2022 Remaster)","spotify:artist:02da1vDJ2hWqfK7aJL6SJm","Soul Asylum","spotify:album:3EFhsxrJoH3yE3r8bHheE6","Grave Dancers Union (2022 Remaster)","spotify:artist:02da1vDJ2hWqfK7aJL6SJm","Soul Asylum","1992-10-06","https://i.scdn.co/image/ab67616d0000b273817095aab443a6f0ce6dd86a","1","1","195360","https://p.scdn.co/mp3-preview/46e1440935cdf26957212673c8d6a3c24e87cf01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USSM19200234","spotify:user:padishahpiper","2018-11-16T18:12:46Z"
"spotify:track:5Yhtl4uzxrAigO0IbiaEmz","Can't Hardly Wait","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","spotify:album:1dXWzQaQR2CSEoIKGMciCD","Pleased to Meet Me","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","1987-03-03","https://i.scdn.co/image/ab67616d0000b273012842aab53dee76076da65a","1","11","183226","https://p.scdn.co/mp3-preview/eab50fb2585a839c3ab8dc3ac498491c26767c26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USRE18700005","spotify:user:padishahpiper","2018-11-16T17:52:54Z"
"spotify:track:6eAgYOkZry9MLhWOS6BsQb","Turtledove","spotify:artist:4KKOBfwZxt68dDkjXNTeZD","Trip Shakespeare","spotify:album:76VSkqtHqg8lmHtTXEqz8V","Across The Universe","spotify:artist:4KKOBfwZxt68dDkjXNTeZD","Trip Shakespeare","1990-01-01","https://i.scdn.co/image/ab67616d0000b27361bfc19701567970a061d993","1","1","216533","https://p.scdn.co/mp3-preview/6f8db6ae2ff741c7ed40b993a48e36eb2ce8cb9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USUM70842517","spotify:user:padishahpiper","2018-11-16T18:34:49Z"
"spotify:track:4o1zi6PeR3Nf54oW37cwL0","Broadway (So Many People)","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:4xqiQd6N06VKV7sSbz79PL","The Great Destroyer","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","2005-01-25","https://i.scdn.co/image/ab67616d0000b27326ef0371fcf8fbbf5b1b047c","1","10","434306","","false","0","USSUB0400268","spotify:user:padishahpiper","2018-11-16T18:35:42Z"
