"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1LwP9g1Hjbs64jXM2Qsxry","Just Like Honey","spotify:artist:4rjlerN21ygkIhmUv55irs","The Jesus and Mary Chain","spotify:album:2t1hVEwp82QebO7lq21Vto","Psychocandy (Expanded Version)","spotify:artist:4rjlerN21ygkIhmUv55irs","The Jesus and Mary Chain","1985-11-18","https://i.scdn.co/image/ab67616d0000b2734b5f115b26a0236a4e502eb9","1","1","182493","https://p.scdn.co/mp3-preview/cda3d39f6fb9729cf4234692b0ad5a27ae7027a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBAHT0200220","spotify:user:padishahpiper","2018-08-24T03:24:47Z"
"spotify:track:58AWfmYbSeMywgJtXkey7Q","Vapour Trail - 2001 Remaster","spotify:artist:0WPY9nnBy01s5QOt4o4oQX","Ride","spotify:album:4fW7CblaSvdhPWmcCFgZbQ","Nowhere (Expanded)","spotify:artist:0WPY9nnBy01s5QOt4o4oQX","Ride","1990-10-15","https://i.scdn.co/image/ab67616d0000b273f0e3d47ac6d6d2cbe14cf8f2","1","8","257666","https://p.scdn.co/mp3-preview/39acc4af6436529390e15d4654b88f64b1ede5de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USRE11300032","spotify:user:padishahpiper","2018-08-24T03:02:55Z"
"spotify:track:338gPBomyqx33wfeF1AGOd","Girlfriend","spotify:artist:2idymNTKUdnTxforkb12Mw","Matthew Sweet","spotify:album:0SZjTgnyODlELJWopuCt8w","Girlfriend (Legacy Edition)","spotify:artist:2idymNTKUdnTxforkb12Mw","Matthew Sweet","1991","https://i.scdn.co/image/ab67616d0000b27320dd34995f582d7f6ba99c8e","1","3","220000","https://p.scdn.co/mp3-preview/f83d77e3420f1ae4db806a6078e9d3442cfb7922?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USVR19100001","spotify:user:padishahpiper","2018-08-24T03:36:58Z"
"spotify:track:3vNzDPSTgUr1d812rkaCvU","Breadcrumb Trail","spotify:artist:4IwOItqRhsIoRuD5HP4vyC","Slint","spotify:album:0cp3HJ6szImZfnVSPHDqAU","Spiderland","spotify:artist:4IwOItqRhsIoRuD5HP4vyC","Slint","1991-03-15","https://i.scdn.co/image/ab67616d0000b2733c1d085164d95d5bf4c322bb","1","1","355533","","false","0","USTG39106401","spotify:user:padishahpiper","2018-08-24T02:53:42Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/57ca3a4c21af572cfbfef1f185436ee45b956936?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USWB10101903","spotify:user:padishahpiper","2018-08-24T02:59:38Z"
"spotify:track:2RG3KoPJ4OUk9wR3rNsojK","Belong","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:6yEuIwTQpciH1qtj7mP5GK","Out Of Time (25th Anniversary Edition)","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1991-03-12","https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd","1","7","246546","https://p.scdn.co/mp3-preview/269b263c9290859e22d18dd61619fbdd841fe259?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USC4R1605378","spotify:user:padishahpiper","2018-08-24T03:54:55Z"
"spotify:track:0jmyo9QOmFbjDCYpNaPDhy","Black Metallic","spotify:artist:1QPWAsWIjRcTfvY5uH8dov","Catherine Wheel","spotify:album:7LLZLkkBTR42Kb9JPRAzKb","Ferment","spotify:artist:1QPWAsWIjRcTfvY5uH8dov","Catherine Wheel","1992-06-09","https://i.scdn.co/image/ab67616d0000b273f60e81bb6989d19fe3dea7e8","1","3","438906","https://p.scdn.co/mp3-preview/4b8e4220d14d729e84da967d7c82fbce449161ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USWWW0134805","spotify:user:padishahpiper","2018-08-24T03:25:22Z"
"spotify:track:41TVMXb9THdtTlo2KojUDe","Somebody to Shove (2022 Remaster)","spotify:artist:02da1vDJ2hWqfK7aJL6SJm","Soul Asylum","spotify:album:3EFhsxrJoH3yE3r8bHheE6","Grave Dancers Union (2022 Remaster)","spotify:artist:02da1vDJ2hWqfK7aJL6SJm","Soul Asylum","1992-10-06","https://i.scdn.co/image/ab67616d0000b273817095aab443a6f0ce6dd86a","1","1","195360","https://p.scdn.co/mp3-preview/46e1440935cdf26957212673c8d6a3c24e87cf01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USSM19200234","spotify:user:padishahpiper","2018-08-24T03:11:20Z"
"spotify:track:3z5ggGtcs4t8pizW521gW9","Pretend We're Dead","spotify:artist:2zMQOJ4Cyl4BYbw6WqaO3h","L7","spotify:album:0z7Dc7FRsDH7E4kj32mKyM","Bricks Are Heavy","spotify:artist:2zMQOJ4Cyl4BYbw6WqaO3h","L7","1992","https://i.scdn.co/image/ab67616d0000b273946c2a344a47393f80170cdc","1","3","235093","https://p.scdn.co/mp3-preview/ee3c937dfd7038fa87dad4ec89c2ecb8060ba830?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USRH10901858","spotify:user:padishahpiper","2018-08-24T03:33:39Z"
"spotify:track:7yThIhNzpgDBIGoL2y1y6u","Start Choppin'","spotify:artist:267VY6GX5LyU5c9M85ECZQ","Dinosaur Jr.","spotify:album:5mJss6O9hjbeESfqoBX1xM","Where You Been","spotify:artist:267VY6GX5LyU5c9M85ECZQ","Dinosaur Jr.","1993-02-09","https://i.scdn.co/image/ab67616d0000b273e01ceb6f3a9751ec5d1391ab","1","2","340186","https://p.scdn.co/mp3-preview/d3e8cf3b320a5c83f25dd2715671bf1b93e15240?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBAHT9203686","spotify:user:padishahpiper","2018-08-24T03:27:19Z"
