"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:10NlLzAqfzw09h1CIdHtGC","Tracy","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","spotify:album:5adTU5fGiMKVJDazJhpW5l","Young Team","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","1997-10-21","https://i.scdn.co/image/ab67616d0000b2732331e1d1bc728f6b40c96645","1","5","439933","","false","0","GBCGR9760007","spotify:user:padishahpiper","2020-10-29T06:04:28Z"
"spotify:track:1pBGC12f7GFdbyyEy8KwtJ","Press Pause","spotify:artist:4iVhFmG8YCCEHANGeUUS9q","Pretty Lights","spotify:album:4LcmZzFiH4gmNk8meb66iO","A Color Map of the Sun (Deluxe Version)","spotify:artist:4iVhFmG8YCCEHANGeUUS9q","Pretty Lights","2013-07-02","https://i.scdn.co/image/ab67616d0000b273b0039ac10431be630ca43e76","1","2","289287","https://p.scdn.co/mp3-preview/d9cbd763a36cf14a01bd8229fd191872ae2ccd00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USQY51397802","spotify:user:padishahpiper","2022-10-12T04:54:56Z"
"spotify:track:5IapIlqooJJ0CmJmrEY8Ir","Sweet Tides","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","spotify:album:7JK0l9nae3EcV6C1lz4LlG","Radio Retaliation","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","2008-09-23","https://i.scdn.co/image/ab67616d0000b27380206152319ab371ab8f351c","1","15","288933","","false","0","USESL0814015","spotify:user:padishahpiper","2020-10-29T06:04:57Z"
"spotify:track:5773KSWFzg9kCc8yazjbSt","Deceptacon","spotify:artist:2n6FviARgtjjimZXu18uRM","Le Tigre","spotify:album:0dSSZGzoukzrFBnG07J45i","Le Tigre","spotify:artist:2n6FviARgtjjimZXu18uRM","Le Tigre","1999-10-26","https://i.scdn.co/image/ab67616d0000b2735a89b59fec31efd8f780a6bb","1","1","184626","https://p.scdn.co/mp3-preview/887de474061aba5b31d41fbc19e78031757284f2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","TCABE1211301","spotify:user:padishahpiper","2020-11-12T01:35:44Z"
"spotify:track:3xogCrlDsnIZ7nQo8VvRL6","Kids Will Be Skeletons","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","spotify:album:1k2uLH7mwB72zbepvM8rR4","Happy Songs for Happy People","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","2003-06-09","https://i.scdn.co/image/ab67616d0000b2730f65da27c1b96335e297c08b","1","3","327173","https://p.scdn.co/mp3-preview/be369f185b101ab5591253dd01861aba2c0dd97a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBENL0300086","spotify:user:padishahpiper","2022-10-12T04:56:03Z"
"spotify:track:5DQnITC4klFrWq8wukLUUQ","Detroit Has a Skyline","spotify:artist:7lmde7T1WJPFwv1eR6melP","Superchunk","spotify:album:7pJOnYL59zetNPuxP3mMTg","Here's Where the Strings Come In (Remastered)","spotify:artist:7lmde7T1WJPFwv1eR6melP","Superchunk","1995","https://i.scdn.co/image/ab67616d0000b27355bd79797f0f5261af08f68f","1","6","170320","","false","0","USMRG1109006","spotify:user:padishahpiper","2021-01-28T01:54:05Z"
"spotify:track:6GtX0jaNL8IjVQfrDBx81z","Bullet With Butterfly Wings - Remastered 2012","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:55RhFRyQFihIyGf61MgcfV","Mellon Collie And The Infinite Sadness (Deluxe Edition)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1995","https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6","1","6","258466","https://p.scdn.co/mp3-preview/b9e4fc4cbeb98d63b24c432976555725a545f554?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USVI21200897","spotify:user:padishahpiper","2021-02-03T05:24:27Z"
"spotify:track:46JctixNCWuVAk8ISk5kli","Sundriped","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:1BejCdTWzMNr1PKoozBx52","Cyanide Sisters EP","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2011-01-25","https://i.scdn.co/image/ab67616d0000b2738942e9c0001c603869310a26","1","2","245933","https://p.scdn.co/mp3-preview/5e23b20687487055f80ac29d1f7abd9165902327?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","US2J71102802","spotify:user:padishahpiper","2022-10-09T00:50:32Z"
"spotify:track:5RQ2HMjTOBJOWK9Me6cpsy","Bout des doigts","spotify:artist:30uiS1n3uIGXJEYFR1GVDy","The Brian Jonestown Massacre","spotify:album:1s16vFypthYKIcJwhgDeUm","Bout des doigts","spotify:artist:30uiS1n3uIGXJEYFR1GVDy","The Brian Jonestown Massacre","2016-06-10","https://i.scdn.co/image/ab67616d0000b273aba0f3a8e7f08fa45067c4d7","1","2","426331","https://p.scdn.co/mp3-preview/d967b8bf44eb1a7b0c6be2a15658582bbc818f8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBN7R1400138","spotify:user:padishahpiper","2022-10-09T00:51:24Z"
"spotify:track:5pvmhSKAEGovYtUQW8xqJp","Stare at the Sun","spotify:artist:3sWLSYm3MFYosc4AZhwajg","Ringo Deathstarr","spotify:album:6nbPtKlhPst5q52OuVgPhb","Pure Mood","spotify:artist:3sWLSYm3MFYosc4AZhwajg","Ringo Deathstarr","2015-11-20","https://i.scdn.co/image/ab67616d0000b273dc22c6e6c9cffa91a6362615","1","3","259957","https://p.scdn.co/mp3-preview/a7fb5a515dc5c8c61ee38b97cfb78ef8230f8df5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QM7281575593","spotify:user:padishahpiper","2022-10-09T00:51:31Z"
