"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:64FQId1zlu45pAoH4gXvAu","Dreambender","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:3HR1jXEtOCeikUAd3fNiWq","In Decay","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2012-07-16","https://i.scdn.co/image/ab67616d0000b273955ae0de4ebdbeda809e0185","1","3","260000","","false","0","US2J71206003","spotify:user:padishahpiper","2017-10-05T03:31:17Z"
"spotify:track:5C6BbrGRGOzcadaqXwLhm5","We Work Nights","spotify:artist:6xS3zemJD9h94iueQvGqVk","Gold Panda","spotify:album:3QmT8WQ85Sc0bqkM0VAONw","Half Of Where You Live","spotify:artist:6xS3zemJD9h94iueQvGqVk","Gold Panda","2013-09-09","https://i.scdn.co/image/ab67616d0000b273b2ec33f7a81b1b31f4826b44","1","7","357773","","false","0","US2J71308207","spotify:user:padishahpiper","2017-10-05T03:36:19Z"
"spotify:track:6OI4SUhPhLFQva56RiB1oM","Scan The Ways","spotify:artist:0zCGwfjfccjoEE7vorQKy3","Ms. John Soda","spotify:album:1NZ6I91KXlPziKzdBvsNMA","Notes And The Like","spotify:artist:0zCGwfjfccjoEE7vorQKy3","Ms. John Soda","2006-03-03","https://i.scdn.co/image/ab67616d0000b2733edf2f8a8f0701f7d1c8a818","1","3","203800","https://p.scdn.co/mp3-preview/633afa61b557733a9eb3dd180dc6262367e3e4a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","DEX260606403","spotify:user:padishahpiper","2017-10-05T04:06:59Z"
"spotify:track:629Cjw0fUyZUMkBjnjttDR","Places","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","spotify:album:7BjSjxv8CfoUXRTyW329x2","Bad Vibes","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","2011-08-09","https://i.scdn.co/image/ab67616d0000b273411076d5833584631e930c98","1","2","302210","","false","0","US25X1083118","spotify:user:padishahpiper","2017-10-05T04:29:13Z"
"spotify:track:0Ya2WSUWOSd1h2AcHciq5g","If Rah - Radio Edit","spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa","Underworld","spotify:album:4L9dkMglcgAdkup0nQVZK1","If Rah (Remixes)","spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa","Underworld","2016-04-04","https://i.scdn.co/image/ab67616d0000b2730244191a0a45297bf709fe62","1","1","214347","https://p.scdn.co/mp3-preview/e89b91b2711cf984926aec0bda0bcf0a07e86538?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","GBJJY1600017","spotify:user:padishahpiper","2017-10-05T03:15:58Z"
"spotify:track:6EOJ03maEfKc5fpo4uwMtS","High","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","spotify:album:3nxJeow0e6aDhlyVLj7PMp","High","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","2012-01-30","https://i.scdn.co/image/ab67616d0000b2733fb959425d8fb0e9595fa8a6","1","1","223778","https://p.scdn.co/mp3-preview/b1808d40fb9a581c129091265435e5907065ff48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QM4DW1722067","spotify:user:padishahpiper","2023-01-31T17:27:02Z"
"spotify:track:6Q3jL19AxEKwqXbyaI7bnL","Tight","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","spotify:album:5KpkBGmZssHpDbdZnkRVMn","Mouth / Tight - EP","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","2012-12-18","https://i.scdn.co/image/ab67616d0000b273c4b91f641a9ecbf0bd8dfa80","1","4","223509","","false","0","USZMA1200074","spotify:user:padishahpiper","2017-10-05T04:04:38Z"
"spotify:track:6Sf7rZtL2hCqqrnu6d9XKZ","Spectre - Bibio Remix","spotify:artist:5oOhM2DFWab8XhSdQiITry, spotify:artist:0qzzGu8qpbXYpzgV52wOFT","Tycho, Bibio","spotify:album:21dbYScNUKn2Y1Vae8lACJ","Awake (Deluxe Version)","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2016-01-15","https://i.scdn.co/image/ab67616d0000b2734c3668d2c7f24a96c4c7ab0c","1","15","258265","","false","0","US2J71402101","spotify:user:padishahpiper","2017-10-05T03:28:44Z"
"spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE","Aquarium","spotify:artist:0IVapwlnM3dEOiMsHXsghT","Nosaj Thing","spotify:album:3L4wUhGelZ8wyJ13O1jerU","Views/Octopus EP","spotify:artist:0IVapwlnM3dEOiMsHXsghT","Nosaj Thing","2006-01-01","https://i.scdn.co/image/ab67616d0000b273cef7d8e9957c127ef104018a","1","4","184000","https://p.scdn.co/mp3-preview/cbe2b3871f7061c734a794d2cc56048aa0d36053?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USTC10662957","spotify:user:padishahpiper","2017-10-05T03:50:32Z"
"spotify:track:6PB1ccffcxDUvsJtViNEdo","Thrown","spotify:artist:6X8lhZ7YaRUBlOsOYimlyD","Kiasmos","spotify:album:5M7H7J3LJfIk9zqcDJVi6T","Kiasmos","spotify:artist:6X8lhZ7YaRUBlOsOYimlyD","Kiasmos","2014-10-27","https://i.scdn.co/image/ab67616d0000b2735bc340bc4ea2679a2a54d7d0","1","5","539229","","false","0","GBWZD1406205","spotify:user:padishahpiper","2017-10-05T03:52:17Z"
