"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3XZKylgjOC4SHdoIK4gd9X","Spectre - Bibio Remix","spotify:artist:5oOhM2DFWab8XhSdQiITry, spotify:artist:0qzzGu8qpbXYpzgV52wOFT","Tycho, Bibio","spotify:album:1IfAJS95MDac2dt3bSKwKE","Awake Remixes","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2016-01-15","https://i.scdn.co/image/ab67616d0000b273640a4042bd04c1db48d1ff75","1","7","258265","","false","0","US2J71402101","spotify:user:padishahpiper","2018-07-06T21:42:17Z"
"spotify:track:4v8Zcrb6kxKLokntjpSqyc","Strong Again (Teach Me to Feel)","spotify:artist:3MZHEsxGNxPt6WIMwDCby2","Bvdub","spotify:album:38DH3KrVKVGKASqc4GZvBP","Born In Tokyo","spotify:artist:3MZHEsxGNxPt6WIMwDCby2","Bvdub","2013","https://i.scdn.co/image/ab67616d0000b273314b65eabcbd91de4f8f6bea","1","3","698182","","false","0","USHMD1321403","spotify:user:padishahpiper","2018-07-06T21:43:04Z"
"spotify:track:2rxBZkJX2MXrsFEJrSWi27","Atoms For Peace (Four Tet Remix)","spotify:artist:4CvTDPKA6W06DRfBnZKrau, spotify:artist:7Eu1txygG6nJttLHbZdQOh","Thom Yorke, Four Tet","spotify:album:0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2008","https://i.scdn.co/image/ab67616d0000b2730932e0e949d183be7dfa4c3a","1","5","352266","","false","0","GBBKS0700623","spotify:user:padishahpiper","2018-07-06T21:45:43Z"
"spotify:track:4zSbFrERDuBdZ1Bio9uee4","Looped","spotify:artist:6X8lhZ7YaRUBlOsOYimlyD","Kiasmos","spotify:album:5M7H7J3LJfIk9zqcDJVi6T","Kiasmos","spotify:artist:6X8lhZ7YaRUBlOsOYimlyD","Kiasmos","2014-10-27","https://i.scdn.co/image/ab67616d0000b2735bc340bc4ea2679a2a54d7d0","1","3","360705","","false","0","GBWZD1406203","spotify:user:padishahpiper","2018-07-06T21:46:07Z"
"spotify:track:0KdqnfkXehHQQZYCiRZGpe","Revolver","spotify:artist:2UoNSVTAosNF8nIOjp1V8s","South London Ordnance","spotify:album:2DlD4wH4XqvEb1FJbUcVq9","Revolver / Transmission Funk","spotify:artist:2UoNSVTAosNF8nIOjp1V8s","South London Ordnance","2013-03-18","https://i.scdn.co/image/ab67616d0000b2738ab89584764302cac4d6ae08","1","1","355187","https://p.scdn.co/mp3-preview/3e141421bc8cc857627653e017d7d887c2a7ef72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","GBHQT1200096","spotify:user:padishahpiper","2018-07-06T21:46:52Z"
"spotify:track:3H4exceNzDQZd5gi0hS70f","Black Swan (Cristian Vogel Spare Parts Remix)","spotify:artist:4CvTDPKA6W06DRfBnZKrau, spotify:artist:0eNVBq4ee0qY2FCY3oSorx","Thom Yorke, Cristian Vogel","spotify:album:0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2008","https://i.scdn.co/image/ab67616d0000b2730932e0e949d183be7dfa4c3a","1","7","362000","","false","0","GBBKS0700624","spotify:user:padishahpiper","2018-07-06T21:45:50Z"
"spotify:local:Ulrich+Schnauss:A+Long+Way+to+Fall:I+Take+Comfort+in+Your+Ignorance:358","I Take Comfort in Your Ignorance","","Ulrich Schnauss","","A Long Way to Fall","","","","","0","0","358000","","false","0","","spotify:user:padishahpiper","2018-07-16T18:49:01Z"
"spotify:track:6Q3jL19AxEKwqXbyaI7bnL","Tight","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","spotify:album:5KpkBGmZssHpDbdZnkRVMn","Mouth / Tight - EP","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","2012-12-18","https://i.scdn.co/image/ab67616d0000b273c4b91f641a9ecbf0bd8dfa80","1","4","223509","","false","0","USZMA1200074","spotify:user:padishahpiper","2018-07-06T21:51:05Z"
"spotify:track:42t4SGdsofHKTMAYJwCFt1","Moments","spotify:artist:46Ce0QmI1mE2bl5VQ4P9N8, spotify:artist:7l2TbOpPHzfF5rlzILQvIp","Lapalux, Py","spotify:album:427LvfjhU9XQV3OVnBaAWo","When You're Gone","spotify:artist:46Ce0QmI1mE2bl5VQ4P9N8","Lapalux","2012-02-07","https://i.scdn.co/image/ab67616d0000b27333a9164511968e60a7ad273b","1","2","293768","","false","0","US25X1083602","spotify:user:padishahpiper","2018-07-06T21:51:44Z"
"spotify:track:3oGqaG8lbdMzw4kgRb0CYz","Places","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","spotify:album:3VpOUMVf32y2WQasgqmGPn","Bad Vibes","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","2011-08-09","https://i.scdn.co/image/ab67616d0000b2738334c3c5a224533c9cbe460c","1","2","302210","","false","0","US25X1083118","spotify:user:padishahpiper","2018-07-06T21:52:17Z"
"spotify:track:2SPTGg9SC5MT1FwNX4IYfx","Greenland","spotify:artist:6HCnsY0Rxi3cg53xreoAIm","Emancipator","spotify:album:1KHKPYKo4h8btHa8u3wjEB","Safe In the Steep Cliffs","spotify:artist:6HCnsY0Rxi3cg53xreoAIm","Emancipator","2010-06-29","https://i.scdn.co/image/ab67616d0000b273362ac7cb4dddfe003ccfc79d","1","1","191066","","false","0","US2wu0901516","spotify:user:padishahpiper","2018-07-06T21:52:31Z"
"spotify:local:Sad+City:Ten+Years+Of+Phonica:Polymath+%28Original+Mix%29:359","Polymath (Original Mix)","","Sad City","","Ten Years Of Phonica","","","","","0","0","359000","","false","0","","spotify:user:padishahpiper","2018-07-16T18:47:43Z"
"spotify:track:1NbTAQl4KAh2PvkhVatC3M","Use of Weapons","spotify:artist:2UoNSVTAosNF8nIOjp1V8s","South London Ordnance","spotify:album:6DrcDQYtUM3s5zDjKcG4uX","Use of Weapons","spotify:artist:2UoNSVTAosNF8nIOjp1V8s","South London Ordnance","2016-09-02","https://i.scdn.co/image/ab67616d0000b273670c24f81b63d4149338735a","1","1","359600","https://p.scdn.co/mp3-preview/7faad3e9217b184342367617d4f0ca6e019e2759?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA2P1680769","spotify:user:padishahpiper","2018-07-06T21:54:48Z"
