"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4lteJuSjb9Jt9W1W7PIU2U","Derezzed - Remixed by The Glitch Mob","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:3a9qv6NLHnsVxJUtKOMHvD","Daft Punk, The Glitch Mob","spotify:album:382ObEPsp2rxGrnsizN5TX","TRON: Legacy Reconfigured","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2011-01-01","https://i.scdn.co/image/ab67616d0000b27326597c053b38c9cf93f8f3a9","1","1","262240","https://p.scdn.co/mp3-preview/529f09c6af4e23ee90f7a42ee984c93ec49f7320?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USWD11156366","spotify:user:padishahpiper","2020-04-21T20:43:50Z"
"spotify:track:48n92l7OnLEURhalUBtsl7","We Can Make The World Stop","spotify:artist:3a9qv6NLHnsVxJUtKOMHvD","The Glitch Mob","spotify:album:6TU45s9eTkim2b7HJCRDF1","We Can Make the World Stop - EP","spotify:artist:3a9qv6NLHnsVxJUtKOMHvD","The Glitch Mob","2011-07-12","https://i.scdn.co/image/ab67616d0000b2730272b80e7311f476905c440e","1","1","325908","https://p.scdn.co/mp3-preview/f84b9a2fce587d707698231d01dac5bb3f692996?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USBMD1100001","spotify:user:padishahpiper","2020-04-21T20:44:14Z"
"spotify:track:5QmolkpuE6IfPdr7j2MGn5","Celestica","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","spotify:album:37TeO5usN4vsGSfpg4dPNA","(II)","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","2011-01-01","https://i.scdn.co/image/ab67616d0000b2735ac6226a668978bf43185e97","1","2","228400","","false","0","GBUM71003565","spotify:user:padishahpiper","2020-04-21T20:52:24Z"
"spotify:track:3vVlScRCPisn6VPs40VdL2","Chemical Beats","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:1Bmuyq89rXZJNK1w8pauEg","Exit Planet Dust","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","1995-01-01","https://i.scdn.co/image/ab67616d0000b2732d47d65f2938c9da2ff7f57c","1","6","290333","https://p.scdn.co/mp3-preview/eded24df45180f970949d7422146b153e746eeb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBAAA9500062","spotify:user:padishahpiper","2020-04-21T20:45:58Z"
"spotify:track:7MwzZjPYw5wJUBpS6Ns6va","Mr G","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","spotify:album:7yYix5bdURcdnlmHTaitEz","At Play Vol. 2","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","2009-12-01","https://i.scdn.co/image/ab67616d0000b2730df1c2c5a657c7c9c8b63b49","1","3","321352","https://p.scdn.co/mp3-preview/1c1f6eafa9be917db2b4aad56f6e32cc17e85fe5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","CAPA30700247","spotify:user:padishahpiper","2020-04-21T20:47:25Z"
"spotify:track:6sfArKmXzMS70WHzlD7c7g","Homeless","spotify:artist:2w6rxAmCNVKYTBWyxVeW5w","Fatali","spotify:album:74I8Zti24nNO1XrPMjjpCa","Homeless - Promo","spotify:artist:2w6rxAmCNVKYTBWyxVeW5w","Fatali","2010-06-06","https://i.scdn.co/image/ab67616d0000b2736185425882c7a5d6d0057d14","1","1","469920","https://p.scdn.co/mp3-preview/2fe3924a2923c8684150df0f1bf3716039d61651?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USQY51040308","spotify:user:padishahpiper","2020-04-21T20:51:13Z"
"spotify:track:5W3cjX2J3tjhG8zb6u0qHn","Harder, Better, Faster, Stronger","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","4","224693","https://p.scdn.co/mp3-preview/18372aae97b8d78de63f3fa200cc36a6eef5e98e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBDUW0000059","spotify:user:padishahpiper","2020-04-21T20:54:36Z"
"spotify:track:5kTBiVnjq9xKmZL9dNs8zL","Come With Us","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:56nVadPbdCs1yGB0AtXSGp","Come With Us","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","2002-01-01","https://i.scdn.co/image/ab67616d0000b273a84e1d8c3a99de8e2e1e6c1a","1","1","297586","https://p.scdn.co/mp3-preview/54d677f4f2af8fdc0971aac4e7b5544dd705c53a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBAAA0100912","spotify:user:padishahpiper","2020-04-21T20:51:44Z"
"spotify:track:1Ow9ZsMYJ1XmaXmUeKYJGT","Baptism","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","spotify:album:37TeO5usN4vsGSfpg4dPNA","(II)","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","2011-01-01","https://i.scdn.co/image/ab67616d0000b2735ac6226a668978bf43185e97","1","4","251440","","false","0","GBUM71001705","spotify:user:padishahpiper","2020-04-21T20:44:50Z"
"spotify:track:7kXmJwrZGIhDaLT9sNo3ut","Hey Boy Hey Girl","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:1QJP73UumgERuzp3yJSXw3","Surrender","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","1999-01-01","https://i.scdn.co/image/ab67616d0000b27329dc59785f4c767fcbfc9e38","1","9","290493","https://p.scdn.co/mp3-preview/e499b55c4c7593ce09379b8c180a79c72628d111?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBAAA9900303","spotify:user:padishahpiper","2020-04-21T20:52:45Z"
