"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7M1CTJj9MQ16YTux6gvV57","Conqueror","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","spotify:album:1ZmyrykItqsn5VFr1bWcgl","Conqueror","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","2007-03-01","https://i.scdn.co/image/ab67616d0000b273014b83bd19075adaca881253","1","1","490000","https://p.scdn.co/mp3-preview/d18d8d909b989e79f31d8fb91c6eb78bf2acd9da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZMEM2080701","spotify:user:padishahpiper","2022-01-28T18:23:32Z"
"spotify:track:3gWbd9TaqSbRRt6R60rlx2","Drought","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2esq7JskfTToz92bPphSaO","Australasia","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2003","https://i.scdn.co/image/ab67616d0000b273639360127020831408b77a44","1","2","503746","https://p.scdn.co/mp3-preview/4dc1aadba8f29a10bb14d7270c3d2bbb092680f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USALX0500065","spotify:user:padishahpiper","2022-01-28T18:40:55Z"
"spotify:track:0q7XIS0F51wfERHZuxD1wI","Firmament","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:7hSwIfP1OzgaaahxFCaEBj","Heliocentric","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2010-04-13","https://i.scdn.co/image/ab67616d0000b27372355a1b8bd9de8ceafbe55e","1","2","449120","https://p.scdn.co/mp3-preview/d4b9e2f7c40d0b55b8c68290688f796168845724?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USMBR1007290","spotify:user:padishahpiper","2022-01-28T18:40:20Z"
"spotify:track:3jagGO7eHHuaD53ibehkux","Blood and Thunder","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:6khFoLWnJZDQvZ7Pijym3b","Leviathan","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2004-08-31","https://i.scdn.co/image/ab67616d0000b27300388d66c87c2c0033849bfd","1","1","228586","https://p.scdn.co/mp3-preview/8b34dc989432523386f059bda8ef6217b35ee9d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","US2640462201","spotify:user:padishahpiper","2022-01-28T18:58:42Z"
"spotify:track:7brHKGKFdRhzReovMw1T8z","Freya","spotify:artist:0q32a3GRCjDxS4EIrC7YVY","The Sword","spotify:album:6HKwV4gDgBrvLVEv1SQw5r","Age Of Winters","spotify:artist:0q32a3GRCjDxS4EIrC7YVY","The Sword","2006-02-14","https://i.scdn.co/image/ab67616d0000b273b685ff96bab37a27c35d2ac4","1","3","274400","https://p.scdn.co/mp3-preview/19506cf6529a1225bb863a55d35937c8d7608217?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USKDO0600003","spotify:user:padishahpiper","2022-01-28T19:09:19Z"
"spotify:track:2xIeWNz9hiB2tCVKKGWmmw","In Fiction (Remastered)","spotify:artist:2vsXeWGC8rILp3rpSN2Fyk","ISIS","spotify:album:1ZQqzuRfHzQ5FuCupRAhHR","Panopticon (Remastered)","spotify:artist:2vsXeWGC8rILp3rpSN2Fyk","ISIS","2004","https://i.scdn.co/image/ab67616d0000b273e3c7e4228e78c5e7ff88d1ae","1","3","552514","https://p.scdn.co/mp3-preview/341992b0e4a2bf78b6018bce194e25eb98c27ee9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QMDA71483995","spotify:user:padishahpiper","2022-01-28T18:23:04Z"
"spotify:track:0OiY9hjId5qDAalAccHrRo","Red in Tooth and Claw","spotify:artist:0HJQZHbKgYyWCDc8uVko6S","Rosetta","spotify:album:0rDyWAWgOVuZKzuMhByzmv","Wake/Lift","spotify:artist:0HJQZHbKgYyWCDc8uVko6S","Rosetta","2007-10-02","https://i.scdn.co/image/ab67616d0000b2731e8789defb071a6cde6b43b7","1","1","734946","https://p.scdn.co/mp3-preview/9c50b40063a2773008fd544e5d0a275651b75bb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USCHW0702301","spotify:user:padishahpiper","2022-02-04T21:47:34Z"
"spotify:track:1Sb2dgS6ruZnJYNQ3SxLHd","Locust Star","spotify:artist:1KHydwFySZY3YcWyo2q2dF","Neurosis","spotify:album:6HBRtTolIqgDVJXBwtyYPV","Through Silver In Blood","spotify:artist:1KHydwFySZY3YcWyo2q2dF","Neurosis","1996-04-02","https://i.scdn.co/image/ab67616d0000b273ec05ef763d730902c115ca5c","1","5","348640","https://p.scdn.co/mp3-preview/760e3f34070722ad2e16574cda6a8669c7340407?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","US2649693805","spotify:user:padishahpiper","2022-01-28T18:31:05Z"
"spotify:track:5g9J2nfsl4O2Z38XI75rQ1","Enter","spotify:artist:0AZ3VR0YbFcS0Kgei7L2QF","Russian Circles","spotify:album:5xaDIee4u4HwXA9ScjOMKI","Enter","spotify:artist:0AZ3VR0YbFcS0Kgei7L2QF","Russian Circles","2006","https://i.scdn.co/image/ab67616d0000b273ff5cd8230c1265a8672d6460","1","4","474093","https://p.scdn.co/mp3-preview/79d66ecec8b3106bb726eed112cefbb9743b30ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US2M60610074","spotify:user:padishahpiper","2022-01-28T18:52:39Z"
"spotify:track:7buPFQOzCpihXg3FLdl81i","Far From Fields","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:6pn0lPqFK30I1gszgYLvfF","City Of Echoes","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2007","https://i.scdn.co/image/ab67616d0000b273f0a112e68b4684c4bd2408e7","1","7","317853","https://p.scdn.co/mp3-preview/a255706ba25e07ef42a9b122ef34641d0c437fdc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USALX0500889","spotify:user:padishahpiper","2022-01-28T18:41:10Z"
